entity,entity_method,value,match_phrase,match_method,match_is_entity
אב,מילוי,523,הסבירות,אלבם,False
אב,מילוי,523,מטריקס,אלבם,False
אב,מילוי,523,שפיץ חבד,אלבם,False
אב,מילוי,523,אורי,אתבש,True
אב,מילוי,523,ביטקוין,אתבש,True
אב,מילוי,523,דיבור,אתבש,False
אב,מילוי,523,המרכבה,אתבש,False
אב,מילוי,523,וירא,אתבש,False
אב,מילוי,523,יום השבת,אתבש,False
אב,מילוי,523,מחשבת המלך,אתבש,False
אב,מילוי,523,עתיד לבוא,גדול,False
אב,מילוי,523,ויכלו הכפלה,מילוי,False
אב,מילוי,523,לחזות בנעם יהוה,מסתתר,False
אב,מילוי,523,עתיד לבוא,רגיל,False
אב,אתבש,700,ולקץ ימים,אלבם,False
אב,אתבש,700,צמח דויד נסתר- מסתתר,אלבם,False
אב,אתבש,700,בו דויד,אתבש,False
אב,אתבש,700,גואל,אתבש,True
אב,אתבש,700,צומח למלך ישראל,אתבש,False
אב,אתבש,700,כח אלהים יהוה,גדול,False
אב,אתבש,700,צים,גדול,False
אב,אתבש,700,ניסן,קדמי,True
אב,אתבש,700,קטטה,קדמי,False
אבן,סידורי,17,שפל,אלבם,False
אבן,סידורי,17,מרק,אתבש,False
אבן,סידורי,17,נפש,אתבש,True
אבן,סידורי,17,עתנ,אתבש,False
אבן,סידורי,17,פרס,אתבש,True
אבן,סידורי,17,טוב,גדול,False
אבן,סידורי,17,הוא אחד,מסתתר,False
אבן,סידורי,17,זוג בבואה,מסתתר,False
אבן,סידורי,17,דם,סידורי,True
אבן,סידורי,17,טוב,סידורי,False
אבן,סידורי,17,טוב,רגיל,False
אבן,מסתתר,49,ראש,אלבם,True
אבן,מסתתר,49,רב,אלבם,False
אבן,מסתתר,49,מסכת,אתבש,False
אבן,מסתתר,49,אוזן,מסתתר,True
אבן,מסתתר,49,אמן,מסתתר,True
אבן,מסתתר,49,היהודים,מסתתר,False
אבן,מסתתר,49,היום ההוא,מסתתר,False
אבן,מסתתר,49,קץ אדום,מסתתר,False
אבן,מסתתר,49,אשליה,סידורי,False
אבן,מסתתר,49,בריפ,סידורי,False
אבן,מסתתר,49,דברים,סידורי,True
אבן,מסתתר,49,דתים,סידורי,False
אבן,מסתתר,49,הנבחר,סידורי,False
אבן,מסתתר,49,העבור,סידורי,False
אבן,מסתתר,49,השטן,סידורי,False
אבן,מסתתר,49,יצמח,סידורי,False
אבן,מסתתר,49,כעת,סידורי,False
אבן,מסתתר,49,ליאור,סידורי,False
אבן,מסתתר,49,מכונה,סידורי,False
אבן,מסתתר,49,נועם,סידורי,True
אבן,מסתתר,49,נחמן,סידורי,False
אבן,מסתתר,49,סוד דויד,סידורי,False
אבן,מסתתר,49,סודי דוד,סידורי,False
אבן,מסתתר,49,סיני,סידורי,True
אבן,מסתתר,49,עוזר,סידורי,False
אבן,מסתתר,49,צבאות,סידורי,True
אבן,מסתתר,49,רוצה,סידורי,False
אבן,מסתתר,49,רפואה,סידורי,True
אבן,מסתתר,49,שאול אוב,סידורי,False
אבן,מסתתר,49,תל אביב,סידורי,True
אבן,מסתתר,49,חבד,קדמי,False
אבן,רגיל,53,אבוא היום,מסתתר,False
אבן,רגיל,53,חכו ליהוה,מסתתר,False
אבן,רגיל,53,מאיה,מסתתר,False
אבן,רגיל,53,אור יהוה,סידורי,False
אבן,רגיל,53,אליהו ק,סידורי,False
אבן,רגיל,53,אנרגיה,סידורי,True
אבן,רגיל,53,בזמן הזה,סידורי,False
אבן,רגיל,53,ביצים,סידורי,False
אבן,רגיל,53,גוף אור,סידורי,False
אבן,רגיל,53,דבקות,סידורי,True
אבן,רגיל,53,הבורסה,סידורי,False
אבן,רגיל,53,היהודים,סידורי,False
אבן,רגיל,53,היום יבוא,סידורי,False
אבן,רגיל,53,הרמב״ם,סידורי,True
אבן,רגיל,53,התור,סידורי,False
אבן,רגיל,53,חיסון,סידורי,True
אבן,רגיל,53,חמצן,סידורי,False
אבן,רגיל,53,יבשר,סידורי,False
אבן,רגיל,53,יעקוב,סידורי,False
אבן,רגיל,53,כולכם,סידורי,False
אבן,רגיל,53,כסא יהוה,סידורי,False
אבן,רגיל,53,כפרה,סידורי,True
אבן,רגיל,53,כתר,סידורי,True
אבן,רגיל,53,לב מבין,סידורי,False
אבן,רגיל,53,לפני,סידורי,False
אבן,רגיל,53,מביא גאולה,סידורי,False
אבן,רגיל,53,מייחל,סידורי,False
אבן,רגיל,53,משנה,סידורי,True
אבן,רגיל,53,ניסן,סידורי,True
אבן,רגיל,53,נשמה,סידורי,True
אבן,רגיל,53,סוד פאי,סידורי,False
אבן,רגיל,53,עפר,סידורי,True
אבן,רגיל,53,פתאם,סידורי,False
אבן,רגיל,53,צמח דוד,סידורי,False
אבן,רגיל,53,קרן,סידורי,False
אבן,רגיל,53,שלנו,סידורי,False
אבן,רגיל,53,שמואל,סידורי,True
אבן,רגיל,53,תורה,סידורי,True
אבן,אלבם,73,הלם,אלבם,False
אבן,אלבם,73,למה,אלבם,False
אבן,אלבם,73,רחם,אתבש,False
אבן,אלבם,73,אני הוא,גדול,False
אבן,אלבם,73,חכמה,גדול,True
אבן,אלבם,73,אבל אשמים,סידורי,False
אבן,אלבם,73,איש אלהים,סידורי,False
אבן,אלבם,73,אל השמש,סידורי,False
אבן,אלבם,73,בטן הנחש,סידורי,False
אבן,אלבם,73,בית שבע,סידורי,False
אבן,אלבם,73,גוג מלך מגוג,סידורי,False
אבן,אלבם,73,הבחירות,סידורי,False
אבן,אלבם,73,הבקר אור,סידורי,False
אבן,אלבם,73,הַבֹּקֶר אוֹר,סידורי,False
אבן,אלבם,73,המלך בשדה,סידורי,False
אבן,אלבם,73,הסמסרה,סידורי,False
אבן,אלבם,73,ואת הארץ,סידורי,False
אבן,אלבם,73,חשך ואור,סידורי,False
אבן,אלבם,73,חשמונאי,סידורי,False
אבן,אלבם,73,יהוה שולח,סידורי,False
אבן,אלבם,73,ישמעאל,סידורי,True
אבן,אלבם,73,כדור בדולח,סידורי,False
אבן,אלבם,73,מנהיגות,סידורי,False
אבן,אלבם,73,משולש,סידורי,False
אבן,אלבם,73,נביא אמתי,סידורי,False
אבן,אלבם,73,סוד הגלות,סידורי,False
אבן,אלבם,73,עת האלף,סידורי,False
אבן,אלבם,73,עתיד לבוא,סידורי,False
אבן,אלבם,73,פרעון,סידורי,False
אבן,אלבם,73,קוונטום,סידורי,True
אבן,אלבם,73,שבועות,סידורי,True
אבן,אלבם,73,שרביטך,סידורי,False
אבן,אלבם,73,תשוקה,סידורי,False
אבן,אלבם,73,תשרי,סידורי,True
אבן,אלבם,73,אני הוא,רגיל,False
אבן,אלבם,73,חכמה,רגיל,True
אבן,קדמי,199,סובב ממלא,אלבם,False
אבן,קדמי,199,סוכות,אתבש,True
אבן,קדמי,199,צדקה,אתבש,True
אבן,קדמי,199,צדקה,גדול,True
אבן,קדמי,199,אדר,מסתתר,True
אבן,קדמי,199,אור,מסתתר,True
אבן,קדמי,199,אייר,מסתתר,True
אבן,קדמי,199,אני הנביא,מסתתר,False
אבן,קדמי,199,טהור,מסתתר,False
אבן,קדמי,199,קץ הימין אובאמה,מסתתר,False
אבן,קדמי,199,בית מקדש שכינה ר יפ,סידורי,False
אבן,קדמי,199,בן דויד יבוא בהיסח הדעת בזמן הזה,סידורי,False
אבן,קדמי,199,בן דויד ןדויד דויד ויד יד ד אני ני י,סידורי,False
אבן,קדמי,199,הוא דויד בן ישי האמיתי בעתה,סידורי,False
אבן,קדמי,199,הוא ישלים מקדשך בזמן הזה,סידורי,False
אבן,קדמי,199,המקדש = רגיל לפני אחרי,סידורי,False
אבן,קדמי,199,זהו זמן גאולתנו האמיתית,סידורי,False
אבן,קדמי,199,מתי שנת גאלת האחרונה,סידורי,False
אבן,קדמי,199,עם ישראל לא יאמין פליאה,סידורי,False
אבן,קדמי,199,רוח אלהים תצלח ביום הדין,סידורי,False
אבן,קדמי,199,שמע ישראל אטום איראני,סידורי,False
אבן,קדמי,199,צדקה,רגיל,True
אבן,מילוי,629,אור חשך,אלבם,False
אבן,מילוי,629,היסח הדעת,אלבם,False
אבן,מילוי,629,צמח דוד רענני,אלבם,False
אבן,מילוי,629,בן דויד,אתבש,False
אבן,מילוי,629,ימחו עמלק בעתה,אתבש,False
אבן,מילוי,629,סוד העברית,אתבש,False
אבן,מילוי,629,בהיסח דעת סוד,גדול,False
אבן,מילוי,629,רוח הקודש,גדול,True
אבן,מילוי,629,טעם,מילוי,False
אבן,מילוי,629,צרה,מילוי,False
אבן,מילוי,629,חיבור עם הרוח,מסתתר,False
אבן,מילוי,629,יהיה שלום בעולם לפני,מסתתר,False
אבן,מילוי,629,רוח הקודש,רגיל,True
אבן,גדול,703,אלוהים אוהב,אלבם,False
אבן,גדול,703,ביידן,אלבם,True
אבן,גדול,703,חלום יהוה,אלבם,False
אבן,גדול,703,מייחל,אלבם,False
אבן,גדול,703,מלכות דוד,אלבם,False
אבן,גדול,703,עמי לא ידע,אלבם,False
אבן,גדול,703,אור היום,אתבש,False
אבן,גדול,703,אתבש,אתבש,False
אבן,גדול,703,הערב רב,אתבש,False
אבן,גדול,703,רוח אלהים,אתבש,False
אבן,גדול,703,אתבש,גדול,False
אבן,גדול,703,הבית יבנה = אחרי,גדול,False
אבן,גדול,703,שבעה באוקטובר,גדול,False
אבן,גדול,703,לי רוח הקודש,מסתתר,False
אבן,גדול,703,פדה בשלום,מסתתר,False
אבן,גדול,703,אתבש,רגיל,False
אבן,גדול,703,ואת הארץ,רגיל,False
אבן,גדול,703,מלכות אין סוף,רגיל,False
אבן,גדול,703,שם המשיח,רגיל,False
אבן,אתבש,709,בהיסח הדעת ב,אלבם,False
אבן,אתבש,709,חשך ואור,אלבם,False
אבן,אתבש,709,פלא המתמטיקה,אלבם,False
אבן,אתבש,709,אישה שפחה,גדול,False
אבן,אתבש,709,בית הבחירה יבנה,גדול,False
אבן,אתבש,709,עשו יפול,מילוי,False
אבן,אתבש,709,אעשה הכל למענך,מסתתר,False
אבן,אתבש,709,תיקון דלילה,מסתתר,False
אבן,אתבש,709,אישה שפחה,רגיל,False
אבן,אתבש,709,מקדש אחרון,רגיל,False
אברהם,סידורי,41,לב,אלבם,True
אברהם,סידורי,41,עמלק,אתבש,True
אברהם,סידורי,41,לטביה,מסתתר,False
אברהם,סידורי,41,עם אחד,מסתתר,False
אברהם,סידורי,41,אור דוד,סידורי,False
אברהם,סידורי,41,אייר,סידורי,True
אברהם,סידורי,41,אלהים,סידורי,True
אברהם,סידורי,41,גילוי,סידורי,True
אברהם,סידורי,41,דקלו,סידורי,False
אברהם,סידורי,41,המים,סידורי,False
אברהם,סידורי,41,המלך,סידורי,False
אברהם,סידורי,41,חיים,סידורי,True
אברהם,סידורי,41,יד אדר ב,סידורי,False
אברהם,סידורי,41,כסא דוד,סידורי,False
אברהם,סידורי,41,נועה,סידורי,True
אברהם,סידורי,41,סור,סידורי,False
אברהם,סידורי,41,סמאל,סידורי,False
אברהם,סידורי,41,צדק,סידורי,True
אברהם,סידורי,41,צים,סידורי,False
אברהם,סידורי,41,רחם,סידורי,False
אברהם,סידורי,41,שנאה,סידורי,False
אברהם,סידורי,41,דוד,קדמי,True
אברהם,אלבם,151,גלות,אלבם,True
אברהם,אלבם,151,עמלק בעתה,אלבם,False
אברהם,אלבם,151,דתים,אתבש,False
אברהם,אלבם,151,השטן,אתבש,False
אברהם,אלבם,151,זלנסקי,אתבש,True
אברהם,אלבם,151,נשימה,אתבש,True
אברהם,אלבם,151,קליפות,אתבש,False
אברהם,אלבם,151,אובססיבי,גדול,False
אברהם,אלבם,151,מקוה,גדול,False
אברהם,אלבם,151,קול יה,גדול,False
אברהם,אלבם,151,מלאך האלהים,מסתתר,False
אברהם,אלבם,151,נקבה,מסתתר,False
אברהם,אלבם,151,סודך פלא,מסתתר,False
אברהם,אלבם,151,קבלה,מסתתר,True
אברהם,אלבם,151,אליוט קצבמן התגלה,סידורי,False
אברהם,אלבם,151,אליוט קצבמן התגלה,סידורי,False
אברהם,אלבם,151,אני הויה לא שיניתי,סידורי,False
אברהם,אלבם,151,אני ישנה וליבי ער,סידורי,False
אברהם,אלבם,151,אשיש בך לעולם ועד,סידורי,False
אברהם,אלבם,151,האלהים הגואל האינסופי,סידורי,False
אברהם,אלבם,151,הגאלה באחישנה עד ט בטבת,סידורי,False
אברהם,אלבם,151,הוא יבוא בזמן הזה בהפתעה,סידורי,False
אברהם,אלבם,151,המקדש ירד בימינו,סידורי,False
אברהם,אלבם,151,השליח האמיתי מיהו,סידורי,False
אברהם,אלבם,151,התחדשות הרצון,סידורי,False
אברהם,אלבם,151,ובעת ההיא ימלט עמך,סידורי,False
אברהם,אלבם,151,ויעקב נסע סכתה,סידורי,False
אברהם,אלבם,151,יעקב יוסף הצדיק,סידורי,False
אברהם,אלבם,151,כי בא כי בא לשפט הארץ,סידורי,False
אברהם,אלבם,151,כסא דוד תכין בזמן הזה,סידורי,False
אברהם,אלבם,151,ליל העשירי בטבת,סידורי,False
אברהם,אלבם,151,מלחמות יה בעמלק,סידורי,False
אברהם,אלבם,151,נרגן מפריד אלוף,סידורי,False
אברהם,אלבם,151,צדק עולמי בזמן הזה,סידורי,False
אברהם,אלבם,151,אובססיבי,רגיל,False
אברהם,אלבם,151,הסוף,רגיל,False
אברהם,אלבם,151,העולם,רגיל,False
אברהם,אלבם,151,מקוה,רגיל,False
אברהם,אלבם,151,קול יה,רגיל,False
אברהם,רגיל,248,טבק,אלבם,False
אברהם,רגיל,248,משנה תלמוד,אלבם,False
אברהם,רגיל,248,סוד מלך,אתבש,False
אברהם,רגיל,248,שורש הנחש,אתבש,False
אברהם,רגיל,248,אוריאל,גדול,True
אברהם,רגיל,248,הויה בחר בי,גדול,False
אברהם,רגיל,248,חזקיה בימינו,גדול,False
אברהם,רגיל,248,כי מלאכיו יצוה,גדול,False
אברהם,רגיל,248,כִּי מַלְאָכָיו יְצַוֶּה,גדול,False
אברהם,רגיל,248,ניצחון,מסתתר,True
אברהם,רגיל,248,סוד רפח,מסתתר,False
אברהם,רגיל,248,סור,מסתתר,False
אברהם,רגיל,248,רמאדן,מסתתר,False
אברהם,רגיל,248,השמש תאיר בחזקה שבעתיים,סידורי,False
אברהם,רגיל,248,מלך ישראל יתגלה בקרוב ממש,סידורי,False
אברהם,רגיל,248,אוריאל,רגיל,True
אברהם,רגיל,248,בצלם אלהים,רגיל,False
אברהם,רגיל,248,הויה בחר בי,רגיל,False
אברהם,רגיל,248,חזקיה בימינו,רגיל,False
אברהם,רגיל,248,כי מלאכיו יצוה,רגיל,False
אברהם,רגיל,248,כִּי מַלְאָכָיו יְצַוֶּה,רגיל,False
אברהם,רגיל,248,צמח דוד עבדך,רגיל,False
אברהם,רגיל,248,רחם,רגיל,False
אברהם,מסתתר,429,כתר,אלבם,True
אברהם,מסתתר,429,שלמה ארצי,אלבם,False
אברהם,מסתתר,429,שרש חי,אלבם,False
אברהם,מסתתר,429,גיהנום,אתבש,True
אברהם,מסתתר,429,יהוה מנחמכם,אתבש,False
אברהם,מסתתר,429,יְהוָה מְנַחֶמְכֶם,אתבש,False
אברהם,מסתתר,429,מלך יום הדין,אתבש,False
אברהם,מסתתר,429,נשימה מעגלית,אתבש,False
אברהם,מסתתר,429,נשימה מעגלית,אתבש,False
אברהם,מסתתר,429,רפאל,אתבש,True
אברהם,מסתתר,429,סיפוק,מילוי,False
אברהם,מסתתר,429,בזמן הזה,קדמי,False
אברהם,אתבש,803,אלף מאתים ושתים,אלבם,False
אברהם,אתבש,803,טילים,אלבם,True
אברהם,אתבש,803,מלכותי,אלבם,False
אברהם,אתבש,803,אזמר ליהוה,אתבש,False
אברהם,אתבש,803,גם ברך יהיה,אתבש,False
אברהם,אתבש,803,חיזור אלהי,אתבש,False
אברהם,אתבש,803,עמלק סלי עין מם למד קוף סמך למד יוד,אתבש,False
אברהם,אתבש,803,רוח אלהים חי,אתבש,False
אברהם,אתבש,803,אני הנבחר בעתה,גדול,False
אברהם,אתבש,803,זרע מלכות בן דוד,מסתתר,False
אברהם,אתבש,803,צמח דוד מזרעו של לוט,מסתתר,False
אברהם,אתבש,803,רוח אלהים תצלח על צמח דוד,מסתתר,False
אברהם,גדול,808,איש תורה אשה תורה,אלבם,False
אברהם,גדול,808,בטבעת המלך,אתבש,False
אברהם,גדול,808,בְּטַבַּעַת הַמֶּלֶךְ,אתבש,False
אברהם,גדול,808,מושיעך בזמן הזה,אתבש,False
אברהם,גדול,808,עת הגאלה,אתבש,False
אברהם,גדול,808,חשך,גדול,False
אברהם,גדול,808,רחם,גדול,False
אברהם,גדול,808,נווה אור,מילוי,False
אברהם,גדול,808,זוגיות אמת,מסתתר,False
אברהם,גדול,808,לא זכו עני ורכב על חמור,מסתתר,False
אברהם,גדול,808,מלכותך,מסתתר,False
אברהם,גדול,808,נקבה,קדמי,False
אברהם,גדול,808,אהבת נשים,רגיל,False
אברהם,גדול,808,נפש משיחך,רגיל,False
אברהם,קדמי,959,אנחנו בניך,אלבם,False
אברהם,קדמי,959,הכנעה הבדלה המתקה,אלבם,False
אברהם,קדמי,959,הפרה אדמה תמימה תמצא בארהב,אלבם,False
אברהם,קדמי,959,חג חנוכה התשפג,אלבם,False
אברהם,קדמי,959,שרביטך,אלבם,False
אברהם,קדמי,959,מלחמת דת בפאריס,אתבש,False
אברהם,קדמי,959,טהרה,מילוי,True
אברהם,קדמי,959,אהבת משיחי,מסתתר,False
אברהם,קדמי,959,יאיר אור משיח,מסתתר,False
אברהם,קדמי,959,כלי קבול,קדמי,False
אברהם,מילוי,1128,ועל יהוה יזעף לבו,אלבם,False
אברהם,מילוי,1128,הגאולה תגיע,אתבש,False
אברהם,מילוי,1128,המלחמה תיפתח מצפון מילוי ללא,אתבש,False
אברהם,מילוי,1128,זוגיות עם אלוהים,אתבש,False
אברהם,מילוי,1128,מי אני ומה אני,אתבש,False
אברהם,מילוי,1128,מלך פרס יחריב את העולם,אתבש,False
אברהם,מילוי,1128,סובב ממלא,אתבש,False
אברהם,מילוי,1128,שבעים עמים יעלו לציון למלחמה השנה,אתבש,False
אדום,סידורי,24,עשר,אלבם,False
אדום,סידורי,24,רשע,אלבם,True
אדום,סידורי,24,שער,אלבם,True
אדום,סידורי,24,ביבי,גדול,False
אדום,סידורי,24,דויד,גדול,False
אדום,סידורי,24,ביבי,מסתתר,False
אדום,סידורי,24,אלוה,סידורי,True
אדום,סידורי,24,ביבי,סידורי,False
אדום,סידורי,24,דויד,סידורי,False
אדום,סידורי,24,מאוד,סידורי,False
אדום,סידורי,24,ביבי,רגיל,False
אדום,סידורי,24,דויד,רגיל,False
אדום,מסתתר,39,רשת,אלבם,True
אדום,מסתתר,39,משעמם,אתבש,False
אדום,מסתתר,39,גול,גדול,False
אדום,מסתתר,39,אדם,מסתתר,False
אדום,מסתתר,39,אמונה,סידורי,True
אדום,מסתתר,39,ארץ,סידורי,True
אדום,מסתתר,39,בטחון,סידורי,False
אדום,מסתתר,39,הבושה,סידורי,False
אדום,מסתתר,39,הדד בן בדד,סידורי,False
אדום,מסתתר,39,הוא הגואל,סידורי,False
אדום,מסתתר,39,הפוך,סידורי,False
אדום,מסתתר,39,וישב,סידורי,False
אדום,מסתתר,39,חודש,סידורי,True
אדום,מסתתר,39,חלק,סידורי,False
אדום,מסתתר,39,טהרה,סידורי,True
אדום,מסתתר,39,יקי,סידורי,False
אדום,מסתתר,39,כבד פה,סידורי,False
אדום,מסתתר,39,לילה,סידורי,True
אדום,מסתתר,39,מבין,סידורי,False
אדום,מסתתר,39,מראה,סידורי,False
אדום,מסתתר,39,משה,סידורי,True
אדום,מסתתר,39,נהר,סידורי,True
אדום,מסתתר,39,סין,סידורי,True
אדום,מסתתר,39,פיל,סידורי,False
אדום,מסתתר,39,צמח,סידורי,False
אדום,מסתתר,39,קנאה,סידורי,True
אדום,מסתתר,39,שאיבה,סידורי,False
אדום,מסתתר,39,שבוי,סידורי,False
אדום,מסתתר,39,שיח,סידורי,False
אדום,מסתתר,39,גול,רגיל,False
אדום,רגיל,51,גל,אלבם,False
אדום,רגיל,51,ראמש,אלבם,False
אדום,רגיל,51,מערכת,אתבש,False
אדום,רגיל,51,משכן,אתבש,False
אדום,רגיל,51,שני,אתבש,False
אדום,רגיל,51,אחד ויחיד,גדול,False
אדום,רגיל,51,אייל,גדול,False
אדום,רגיל,51,מאוד,גדול,False
אדום,רגיל,51,הדד בן בדד,מסתתר,False
אדום,רגיל,51,אחד ויחיד,סידורי,False
אדום,רגיל,51,אין דת,סידורי,False
אדום,רגיל,51,בן גביר,סידורי,True
אדום,רגיל,51,גיהנום,סידורי,True
אדום,רגיל,51,גן עדן,סידורי,True
אדום,רגיל,51,היום ההוא,סידורי,False
אדום,רגיל,51,חסימה,סידורי,False
אדום,רגיל,51,כט אלול,סידורי,False
אדום,רגיל,51,לועזי,סידורי,False
אדום,רגיל,51,מיאתה,סידורי,False
אדום,רגיל,51,מלחמה,סידורי,True
אדום,רגיל,51,מקום,סידורי,False
אדום,רגיל,51,מרפא,סידורי,True
אדום,רגיל,51,סוד הויה,סידורי,False
אדום,רגיל,51,סוד יהוה,סידורי,False
אדום,רגיל,51,פסק,סידורי,False
אדום,רגיל,51,צדיק,סידורי,True
אדום,רגיל,51,צפע,סידורי,False
אדום,רגיל,51,רעיה,סידורי,False
אדום,רגיל,51,שחת,סידורי,False
אדום,רגיל,51,שלמה,סידורי,True
אדום,רגיל,51,אחד ויחיד,רגיל,False
אדום,רגיל,51,אייל,רגיל,False
אדום,רגיל,51,מאוד,רגיל,False
אדום,אלבם,172,מאוד,אלבם,False
אדום,אלבם,172,חושך,אתבש,True
אדום,אלבם,172,חשוך,אתבש,False
אדום,אלבם,172,מזרע ישי,אתבש,False
אדום,אלבם,172,זוג,מילוי,False
אדום,אלבם,172,צמח דוד עבדך,מסתתר,False
אדום,אלבם,172,אחד שתים שלש שבע,סידורי,False
אדום,אלבם,172,בימינו סוד מסתתר,סידורי,False
אדום,אלבם,172,בראק אובאמה הנחש האחרון,סידורי,False
אדום,אלבם,172,גאולה פרטית כללית,סידורי,False
אדום,אלבם,172,דויד בן ישי ואליהו הנביא יבאו,סידורי,False
אדום,אלבם,172,דויד בן ישי ימלך בעתה,סידורי,False
אדום,אלבם,172,הבורא עושה צדק בעולם,סידורי,False
אדום,אלבם,172,השליחות שלי בעתה,סידורי,False
אדום,אלבם,172,חטר מגזע ישי בימינו,סידורי,False
אדום,אלבם,172,לי חכמת המתמטיקה,סידורי,False
אדום,אלבם,172,קץ הסיטרא אחרא בעתה,סידורי,False
אדום,קדמי,177,עם זו,אלבם,False
אדום,קדמי,177,צבאות,אלבם,True
אדום,קדמי,177,תעלת לדה,אלבם,False
אדום,קדמי,177,מספר סימן רמז,אתבש,False
אדום,קדמי,177,תשוקה,אתבש,False
אדום,קדמי,177,אהוביך הכפלה,מסתתר,False
אדום,קדמי,177,אין סוף,מסתתר,False
אדום,קדמי,177,אחישנה אחישנה אחישנה,סידורי,False
אדום,קדמי,177,אני נביאך האמיתי בזמן הזה,סידורי,False
אדום,קדמי,177,ביאתם תהיה בהיסח הדעת,סידורי,False
אדום,קדמי,177,דוד המלך מזרעו של לוט,סידורי,False
אדום,קדמי,177,דרור לישראל מילוי,סידורי,False
אדום,קדמי,177,יזרעאל לא רחמה לא עמי,סידורי,False
אדום,קדמי,177,ירושלם עיר הקדש,סידורי,False
אדום,קדמי,177,מלחמת גוג ומגוג מושיע,סידורי,False
אדום,קדמי,177,נחשף כבודו של הקדוש,סידורי,False
אדום,קדמי,177,סוד יעקב יתגלה בזמן הזה,סידורי,False
אדום,קדמי,177,עשתרת קרנים,סידורי,False
אדום,קדמי,177,עת הישועה מילוי גדול,סידורי,False
אדום,קדמי,177,קץ נשיא אדום בראק אובאמה,סידורי,False
אדום,קדמי,177,מאוד,קדמי,False
אדום,קדמי,177,גן עדן,רגיל,True
אדום,אתבש,590,חושך,אלבם,True
אדום,אתבש,590,חשוך,אלבם,False
אדום,אתבש,590,רוח אלהי,אלבם,False
אדום,אתבש,590,אטומים,אתבש,False
אדום,אתבש,590,אלוה,אתבש,True
אדום,אתבש,590,כתר מלכות דויד שמור,אתבש,False
אדום,אתבש,590,מאוד,אתבש,False
אדום,אתבש,590,מושיע אמתי,אתבש,False
אדום,אתבש,590,מערב ההיכל,אתבש,False
אדום,אתבש,590,קץ הרשע בימינו,אתבש,False
אדום,אתבש,590,תחת הכסא,אתבש,False
אדום,אתבש,590,מי גואלך,גדול,False
אדום,אתבש,590,אני בעל בחירה,מסתתר,False
אדום,אתבש,590,את הקוד,מסתתר,False
אדום,אתבש,590,גוג הוא בראק אובמה,מסתתר,False
אדום,אתבש,590,הוא משיחכם,מסתתר,False
אדום,אתבש,590,השנה,מסתתר,False
אדום,אתבש,590,השפלה,מסתתר,False
אדום,אתבש,590,יום משיח,מסתתר,False
אדום,אתבש,590,משפט הגואל,מסתתר,False
אדום,אתבש,590,קליפת עמלק,מסתתר,False
אדום,אתבש,590,היכל המלך,קדמי,False
אדום,אתבש,590,יד ימינך,קדמי,False
אדום,אתבש,590,אעבודך באהבה,רגיל,False
אדום,אתבש,590,המלכת המלך,רגיל,False
אדום,אתבש,590,כתר מלכות דויד שמור,רגיל,False
