table,pdf_page,printed_page,printed_page_display,letter,column,parasha,source_value,normalized_integer,book,source_anchor,verification_state,ocr_confidence,exception_or_note,arithmetic_checksum_state
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,שלח,,288,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,קרח,,149,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,חקת,,110,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,בלק,,102,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,פנחס,,205,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,מטות,,121,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,מסעי,,143,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,(Bamidbar cumulative subtotal),ה' אלף תנ״א,5451,במדבר,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,consistent_with_component_sum_within_tolerance
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,דברים,,149,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,ואתחנן,,166,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,עקב,,154,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,ראה,,127,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,שופטים,,138,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,תצא,,100,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,תבא,,145,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,נצבים,,38,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,וילך,,48,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,האזינו,,115,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,ברכה,,55,דברים,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ד,right,"TORAH TOTAL (final, colon-terminated)",ז' אלף ל״ו,7036,כל התורה,"pdf p.36 col.right, letter ד paragraph",UNCERTAIN,medium,Final total for letter Dalet across the whole Torah (Bereshit+Shemot portions not independently captured in this pass; cannot fully checksum).,cannot_checksum_missing_bereshit_shemot
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,בראשית,,728,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,נח,,645,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,לך לך,,731,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,וירא,,735,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,חיי שרה,,470,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,תולדת,,370,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,ויצא,,630,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,וישלח,,530,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,וישב,,545,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,מקץ,,577,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,ויגש,,323,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,ויחי,,290,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,(Bereshit cumulative subtotal),ו' אלף רפ״נ,6330,בראשית,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,"ANOMALY: sum of the 12 transcribed Bereshit values above = 6,574, not 6,330 (delta +244). Not resolved -- see anomalies.json A-01. Do not silently correct either figure.",MISMATCH_flagged_A-01
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,שמות,,658,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,וארא,,653,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,בא,,492,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,בשלח,,700,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,יתרו,,225,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,משפטים,,730,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,תרומה,,470,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,תצוה,,470,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,תשא,,730,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,ויקהל,,695,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,פקודי,,406,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Digit-level reads in this run are lower-confidence than the Bereshit run (font/print quality); treat as PASS-1 only.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,(Shemot cumulative subtotal),י״ב אלף ת״נ,12450,שמות,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,(Vayikra cumulative subtotal),כ״ב אלף תשנ״ז,22357,ויקרא,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,Vayikra + Bamidbar per-parasha lines between the Shemot subtotal and this figure were only partially legible in this pass; individual Vayikra/Bamidbar parasha values for letter Heh are UNKNOWN pending re-scan.,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ה,right,"TORAH TOTAL (final, colon-terminated)",כ״ח אלף נ״ה (candidate; alternate reading ב״ח),28055,כל התורה,"pdf p.36 col.right, letter ה paragraph",UNCERTAIN,low,"Thousands-word glyph ambiguous between כ (20) and ב (2); ב״ח אלף (2,008) is arithmetically impossible here (smaller than the already-confirmed 22,357 running total), so כ״ח אלף (28,055) is the only value consistent with monotonic cumulative growth -- flagged as inference-supported reading, not a direct unambiguous glyph read.",resolved_by_monotonicity_inference_not_direct_read
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ו,right,(section marker),,,-,"pdf p.36 col.right, letter ו paragraph",UNCERTAIN,low,"Letter Vav begins at bottom of p.36 right column (""ו. בראשית..."") and continues onto p.36 left column top. Per-parasha values in this pass were not transcribed with confidence sufficient to report individual cells (dense abbreviation + column-break disrupted line tracking). Reporting only the two boundary totals that were legible.",not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ו,left,"(Bereshit-area running total, exact book boundary unclear)",candidate: ל׳/ל״ה/ל״ו אלף range,,unclear,"pdf p.36 col.left, letter ו paragraph",UNKNOWN,low,"Thousands-multiplier word for Vav's running total at the p.36/p.37 boundary was not read with confidence (candidates in the low-30,000s given Vav's known high frequency). Left UNKNOWN rather than guessed.",unresolved
"אותיות התורה (detailed, per-letter)",37,32,"32 (verso, Arabic)",ו,left,"TORAH TOTAL (final, colon-terminated, top of p.37 left column)",ל״א אלף תקל״ו,31536,כל התורה,"pdf p.37 col.left, letter ו paragraph",UNCERTAIN,medium,"Magnitude (31,536) is consistent with Vav being one of the most frequent Torah letters -- plausibility check passes -- but the glyph read was not cross-verified against a component checksum in this pass.",not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,בראשית,,31,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,נח,,24,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,לך לך,,49,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,וירא,,41,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,חיי שרה,,8,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,תולדת,,42,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,ויצא,,48,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,וישלח,,52,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,וישב,,42,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,מקץ,,24,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,ויגש,,27,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,ויחי,,32,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,(Bereshit cumulative subtotal),ה' כ״ח,420,בראשית,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,"Read as ""ה׳ כ׳ח"" (420); thousands-word notation differs from other letters' sections at this point (no אלף/""thousand"" word needed since Zayin's book-subtotal here is under 1,000) -- itself a useful counting-contract data point (the scribe omits אלף when the running total is sub-1,000).",not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,שמות,,44,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,וארא,,39,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,בא,,67,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,בשלח,,41,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,יתרו,,29,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,משפטים,,32,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,תרומה,,52,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,תצוה,,65,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,תשא,,58,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,ויקהל,,59,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,פקודי,,43,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,(Shemot cumulative subtotal),אלף תקנ״א,1551,שמות,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,ויקרא,,75,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,צו,,69,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,שמיני,,42,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,תזריע,,7,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,מצורע,,61,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,אחרי,,44,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,קדושים,,26,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,אמור,,46,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,בהר,,24,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,בחקתי,,30,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,(Vayikra cumulative subtotal),אלף שע״ה,1875,ויקרא,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,נשא,,127,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,בהעלתך,,28,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,שלח,,49,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,קרח,,42,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,חקת,,30,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,בלק,,44,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,פנחס,,39,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,מטות,,51,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,מסעי,,17,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,(Bamidbar cumulative subtotal),אלף תכ״ם,1720,במדבר,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,דברים,,30,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,ואתחנן,,46,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,עקב,,40,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,ראה,,40,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,שופטים,,36,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,תצא,,35,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,תבא,,45,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,נצבים,,19,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,וילך,,25,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,האזינו,,25,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,ברכה,,20,דברים,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ז,left,"TORAH TOTAL (final, colon-terminated)",ב' אלף קצ״ח,2198,כל התורה,"pdf p.36 col.left, letter ז paragraph",UNCERTAIN,medium,"Checksum candidate: 1,720 (Bamidbar cumulative) + Devarim parashiot listed above (30+46+40+40+36+35+45+19+25+25+20=361) = 2,081, vs printed final 2,198 (delta 117). Flagged as ANOMALY A-02 -- not resolved, both figures preserved.",MISMATCH_flagged_A-02
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח (read with residual uncertainty vs ה),left,(section marker),,,-,"pdf p.36 col.left, letter ח (read with residual uncertainty vs ה) paragraph",UNCERTAIN,low,"Drop-cap for this section was read as ה a second time in early passes, then reclassified to ח on magnitude grounds (values ~100-300/parasha are far too small to be a second Heh occurrence, whose Bereshit-only value was already established at 728). Letter IDENTITY here is an INFERENCE from context/magnitude, not a directly-certain glyph read -- see open question OQ-01.",not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,בראשית,,173,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,נח,,235,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,וירא,,182,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,חיי שרה,,127,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
