identity,surface_form,lang,alias_type,canonical_word_id,node_id,source,verification,method_values,related_numbers,graph_links,research_packages,ambiguity,verdict
"צמח דוד/צמח דויד (Branch of David, 2 spellings)",צמח דוד,he,spelling_variant,gematria_words.id,a4649aad-0e86-4689-b16e-4a3fa78c7b44,wp_id:20584,verified,"{""אטבח"": 88, ""אלבם"": 309, ""אתבש"": 355, ""גדול"": 152, ""קדמי"": 717, ""רגיל"": 152, ""מילוי"": 1492, ""מסתתר"": 86, ""ריבוע"": 386, ""סידורי"": 53, ""משולש גדול"": 717, ""אותיות אחרי"": 176, ""אותיות לפני"": 128}",ragil=152 (corpus_phrase_count=18),edges=1,,paired with צמח דויד below,PASS
"צמח דוד/צמח דויד (Branch of David, 2 spellings)",צמח דויד,he,spelling_variant,gematria_words.id,(none),excel_import,verified,"{""אטבח"": 178, ""אלבם"": 609, ""אתבש"": 395, ""גדול"": 162, ""קדמי"": 772, ""רגיל"": 162, ""מילוי"": 1512, ""מסתתר"": 94, ""ריבוע"": 416, ""סידורי"": 63, ""משולש גדול"": 772, ""אותיות אחרי"": 196, ""אותיות לפני"": 137}",ragil=162 (corpus_phrase_count=12),no node_id,,same gap as דוד/דויד -- not connected to the same identity node as צמח דוד,"FAIL -- capability gap, not model failure"
תדמיין (imagine),imagine,en,"transliteration (per word_aliases.alias_type=english, word_aliases.method=transliteration)",word_aliases.word_id,(word_aliases.node_id is NULL),shimon-vip,"verified=true, confidence=0.98","{""אטבח"": 586, ""אלבם"": 685, ""אתבש"": 200, ""גדול"": 1164, ""קדמי"": 1955, ""רגיל"": 514, ""מילוי"": 1076, ""מסתתר"": 502, ""ריבוע"": 2680, ""סידורי"": 73, ""משולש גדול"": 5055, ""אותיות אחרי"": 156, ""אותיות לפני"": 391} [alias itself has no gematria -- Sec.5]",ragil=514 (corpus_phrase_count=35),"no node_id on the alias row -- linkage is via word_id->gematria_words only, never direct to nodes",,"NOTE: ""תדמיין"" is ALSO the real Hebrew word meaning ""you will imagine"" -- coincides with the intended phonetic transliteration, so this case cannot distinguish translation from transliteration on its own",PASS
דרים (dream),dream,en,transliteration,word_aliases.word_id,(NULL),shimon-vip,"verified=true, confidence=0.98","{""אטבח"": 576, ""אלבם"": 371, ""אתבש"": 153, ""גדול"": 814, ""קדמי"": 1005, ""רגיל"": 254, ""מילוי"": 1044, ""מסתתר"": 416, ""ריבוע"": 676, ""סידורי"": 47, ""משולש גדול"": 3455, ""אותיות אחרי"": 375, ""אותיות לפני"": 142}",ragil=254 (corpus_phrase_count=13),no node_id on alias row,,,PASS
פזטיב (positive),positive,en,transliteration,word_aliases.word_id,(NULL),shimon-vip,"verified=true, confidence=0.98","{""אטבח"": 122, ""אלבם"": 636, ""אתבש"": 466, ""גדול"": 108, ""קדמי"": 536, ""רגיל"": 108, ""מילוי"": 999, ""מסתתר"": 84, ""ריבוע"": 477, ""סידורי"": 45, ""משולש גדול"": 536, ""אותיות אחרי"": 131, ""אותיות לפני"": 94}",ragil=108 (corpus_phrase_count=21),no node_id on alias row,,,PASS
הפי דרים (happy dream),happy dream,en,transliteration,word_aliases.word_id,(NULL),shimon-vip,"verified=true, confidence=0.98","{""אטבח"": 691, ""אלבם"": 747, ""אתבש"": 289, ""גדול"": 909, ""קדמי"": 1480, ""רגיל"": 349, ""מילוי"": 1160, ""מסתתר"": 561, ""ריבוע"": 861, ""סידורי"": 79, ""משולש גדול"": 3930, ""אותיות אחרי"": 491, ""אותיות לפני"": 225}",ragil=349 (corpus_phrase_count=10),no node_id on alias row,,"multi-word phonetic transliteration, not a single-token alias -- alias_norm handles this fine (no schema strain)",PASS
לבון (realize) / ריאלז (realize),realize,en,"translation (word_aliases.alias_type=translation) attached to word ""לבון""",word_aliases.word_id,(NULL),wa-vip,verified=true,"{""אטבח"": 382, ""אלבם"": 124, ""אתבש"": 409, ""גדול"": 738, ""קדמי"": 324, ""רגיל"": 88, ""מילוי"": 614, ""מסתתר"": 76, ""ריבוע"": 188, ""סידורי"": 34, ""משולש גדול"": 3424, ""אותיות אחרי"": 110, ""אותיות לפני"": 66}",ragil=88 (corpus_phrase_count=15),no node_id,,"AMBIGUITY: the English string ""realize"" is used as an alias for BOTH לבון (meaning-based translation) AND ריאלז (phonetic transliteration, next row) -- two DIFFERENT Hebrew words share one English alias string. The model does not merge them (each alias row points to its own distinct word_id) -- correct behavior, but confirms one English string can legitimately fan out to multiple unrelated Hebrew identities, and nothing currently warns a researcher of the collision",PASS (ambiguity correctly NOT auto-merged)
לבון (realize) / ריאלז (realize),realize,en,"transliteration (word_aliases.alias_type=english) attached to word ""ריאלז""",word_aliases.word_id,(NULL),shimon-vip,"verified=true, confidence=0.98","{""אטבח"": 252, ""אלבם"": 430, ""אתבש"": 533, ""גדול"": 248, ""קדמי"": 984, ""רגיל"": 248, ""מילוי"": 782, ""מסתתר"": 251, ""ריבוע"": 1110, ""סידורי"": 50, ""משולש גדול"": 984, ""אותיות אחרי"": 370, ""אותיות לפני"": 535}",ragil=248 (corpus_phrase_count=25),no node_id,,"see ambiguity note on the row above -- same English string, unrelated Hebrew identity",PASS (ambiguity correctly NOT auto-merged)
משיח (Messiah),Messiah,en,"transliteration (nodes.language_bridge, relationship_type=transliteration)","n/a (node-graph mechanism, not word_aliases)",language_bridge node id 6c53dbe7...,curated (Zuriel),"human_verified=true, evidence_level=medium","{""אטבח"": 202, ""אלבם"": 412, ""אתבש"": 112, ""גדול"": 358, ""קדמי"": 1331, ""רגיל"": 358, ""מילוי"": 878, ""מסתתר"": 552, ""ריבוע"": 1088, ""סידורי"": 52, ""משולש גדול"": 1331, ""אותיות אחרי"": 479, ""אותיות לפני"": 246} [foreign form itself not gematria-computed -- Sec.5]",ragil=358 (corpus_phrase_count=58),"entity--has_language_bridge-->bridge--bridges_to-->foreign_word (real edges, edge_count(משיח)=32)",topic_card@358,,PASS
פילוט (pilot),pilot,en,transliteration (language_bridge),n/a,language_bridge node id b10b8183...,curated (Zuriel),"human_verified=true, evidence_level=medium","{""אטבח"": 185, ""אלבם"": 587, ""אתבש"": 196, ""גדול"": 135, ""קדמי"": 631, ""רגיל"": 135, ""מילוי"": 616, ""מסתתר"": 117, ""ריבוע"": 551, ""סידורי"": 54, ""משולש גדול"": 631, ""אותיות אחרי"": 167, ""אותיות לפני"": 112}",ragil=135 (corpus_phrase_count=12),entity--has_language_bridge-->bridge--bridges_to-->foreign_word,,"anagram of טיפול (treatment) -- same letters, different order, unrelated identity/meaning; 11 of 13 method values coincide (position-independent methods), 2 differ (מסתתר, ריבוע) -- textbook ""do not merge by similarity"" case (Sec.4)",PASS
משיח (Messiah) -- Russian,мессия,ru,transliteration (language_bridge),n/a,language_bridge node id a62cc410...,curated (Zuriel),"human_verified=true, evidence_level=medium","(non-Hebrew script -- no canonical gematria method exists for Cyrillic; correctly NOT computed, per Sec.5)",ragil=358 (corpus_phrase_count=58),entity--has_language_bridge-->bridge--bridges_to-->foreign_word(lang=ru),topic_card@358,,PASS
סוד (Secret) -- Zuriel-attributed alias,Secret,en,"shared_value (language_bridge, method=English Ordinal)",n/a,language_bridge node id b58240b4...,concept seed (curated) . engine-verified,"human_verified=true, evidence_level=strong","{""אטבח"": 50, ""אלבם"": 144, ""אתבש"": 188, ""גדול"": 70, ""קדמי"": 286, ""רגיל"": 70, ""מילוי"": 576, ""מסתתר"": 56, ""ריבוע"": 196, ""סידורי"": 25, ""משולש גדול"": 286, ""אותיות אחרי"": 82, ""אותיות לפני"": 58}",ragil=70 (corpus_phrase_count=15),edges(סוד)=14,,,PASS
"בנק (bank) -- Zuriel-attributed, anagram control case",בנק,he,"canonical (anagram_of=נקב, per gematria_words.metadata... actually per nodes type=word metadata)",gematria_words.id,(none),promoted:raw_docx_v2 / research_contribution source=צוריאל on the nodes type=word twin,verified=true,"{""אטבח"": 148, ""אלבם"": 51, ""אתבש"": 313, ""גדול"": 152, ""קדמי"": 793, ""רגיל"": 152, ""מילוי"": 704, ""מסתתר"": 98, ""ריבוע"": 206, ""סידורי"": 35, ""משולש גדול"": 793, ""אותיות אחרי"": 263, ""אותיות לפני"": 131}",ragil=152 (corpus_phrase_count=18),"no node_id on gematria_words row (a separate nodes type=word row for בנק exists with the anagram metadata, but is not the same row as the linked gematria_words entry)",,"CONTROL CASE: בנק and נקב share the exact same ragil=152 as an ANAGRAM, and both also happen to numerically coincide with צמח דוד (=152) -- three entirely unrelated identities (bank / hole / Branch-of-David) sharing one gematria value. Confirms shared numeric value is NOT identity and must never be auto-merged (Sec.4)",PASS (correctly distinguished)
"נקב (hole) -- Zuriel-attributed, anagram control case",נקב,he,canonical (anagram_of=בנק),gematria_words.id,(none),promoted:raw_docx_v2 / research_contribution source=צוריאל,verified=true,"{""אטבח"": 148, ""אלבם"": 51, ""אתבש"": 313, ""גדול"": 152, ""קדמי"": 793, ""רגיל"": 152, ""מילוי"": 704, ""מסתתר"": 148, ""ריבוע"": 352, ""סידורי"": 35, ""משולש גדול"": 793, ""אותיות אחרי"": 263, ""אותיות לפני"": 131}",ragil=152 (corpus_phrase_count=18),no node_id,,"see בנק row above -- same 152-value coincidence, confirmed NOT the same identity as בנק or צמח דוד",PASS (correctly distinguished)
כהן (priest/Cohen),כהן,he,canonical,gematria_words.id,6fcc9246-096c-4adb-8a5d-e8f81640990b,excel_import,verified,"{""אטבח"": 385, ""אלבם"": 473, ""אתבש"": 129, ""גדול"": 725, ""קדמי"": 285, ""רגיל"": 75, ""מילוי"": 221, ""מסתתר"": 60, ""ריבוע"": 120, ""סידורי"": 30, ""משולש גדול"": 3385, ""אותיות אחרי"": 96, ""אותיות לפני"": 54}",ragil=75 (corpus_phrase_count=22),edges=10,topic_card@75;convergence_node@75,,PASS
אלהים (God/Elohim),אלהים,he,canonical,gematria_words.id,383a8992-c630-4fb5-9c48-525cf1b73e1a,excel_import,verified,"{""אטבח"": 574, ""אלבם"": 403, ""אתבש"": 560, ""גדול"": 646, ""קדמי"": 321, ""רגיל"": 86, ""מילוי"": 300, ""מסתתר"": 89, ""ריבוע"": 200, ""סידורי"": 41, ""משולש גדול"": 2771, ""אותיות אחרי"": 118, ""אותיות לפני"": 463}",ragil=86 (corpus_phrase_count=14),edges=7,topic_card@86;convergence_node@86,vip_source=שמעון חיימוב -- researcher-attributed corpus row independently linked to a node,PASS
משיח -- 3-language cluster (he/en/ru),משיח,he,canonical,gematria_words.id,b0658bfe-85c8-4feb-8fc9-9037c3397b83,manual,verified,"{""אטבח"": 202, ""אלבם"": 412, ""אתבש"": 112, ""גדול"": 358, ""קדמי"": 1331, ""רגיל"": 358, ""מילוי"": 878, ""מסתתר"": 552, ""ריבוע"": 1088, ""סידורי"": 52, ""משולש גדול"": 1331, ""אותיות אחרי"": 479, ""אותיות לפני"": 246}",ragil=358 (corpus_phrase_count=58),edges=32 (includes both the English and Russian language_bridge chains),topic_card@358,"anchors the cluster: he canonical + Messiah(en) + мессия(ru), both foreign forms verified transliterations of the SAME identity, both routed through the identical entity->language_bridge->foreign_word edge pattern -- proves the graph already supports N-language fan-out from one Hebrew identity without a new table",PASS
הבטחה (promise) -- UNVERIFIED alias case,promise,en,"shared_value (language_bridge, method=Reverse Reduction)",n/a,language_bridge node id da161192...,language_links (auto),"human_verified=FALSE, evidence_level=medium","{""אטבח"": 21, ""אלבם"": 480, ""אתבש"": 590, ""גדול"": 29, ""קדמי"": 114, ""רגיל"": 29, ""מילוי"": 1279, ""מסתתר"": 14, ""ריבוע"": 81, ""סידורי"": 29, ""משולש גדול"": 114, ""אותיות אחרי"": 34, ""אותיות לפני"": 24}",ragil=29 (corpus_phrase_count=?),entity--has_language_bridge-->bridge--bridges_to-->foreign_word,,the one language_bridge case in this sample where human_verified=false -- demonstrates the model already distinguishes verified from unverified aliases (Sec.3 VERIFICATION dimension) without needing a new field,PASS
נצחון (victory) -- interpretive-evidence case,victory,en,"translation (language_bridge, method mixes En Ordinal 112 . He ragil 204)",n/a,language_bridge node id 22c3561a...,חידוש צוריאל . אומת במנוע,"human_verified=true, evidence_level=interpretive (weakest tier seen)","{""אטבח"": 366, ""אלבם"": 193, ""אתבש"": 163, ""גדול"": 854, ""קדמי"": 942, ""רגיל"": 204, ""מילוי"": 756, ""מסתתר"": 168, ""ריבוע"": 696, ""סידורי"": 60, ""משולש גדול"": 4042, ""אותיות אחרי"": 236, ""אותיות לפני"": 172}",ragil=204 (corpus_phrase_count=14),entity--has_language_bridge-->bridge--bridges_to-->foreign_word,,"evidence_level=interpretive is the models own honest self-labeling of a weaker cross-language match -- shown here as-is, not upgraded",PASS
טיפול (treatment),treatment,en,translation-value (language_bridge),n/a,language_bridge node id 472a9f62...,curated (Zuriel),"human_verified=true, evidence_level=medium","{""אטבח"": 185, ""אלבם"": 587, ""אתבש"": 196, ""גדול"": 135, ""קדמי"": 631, ""רגיל"": 135, ""מילוי"": 616, ""מסתתר"": 169, ""ריבוע"": 367, ""סידורי"": 54, ""משולש גדול"": 631, ""אותיות אחרי"": 167, ""אותיות לפני"": 112}",ragil=135 (corpus_phrase_count=12),entity--has_language_bridge-->bridge--bridges_to-->foreign_word,,,PASS
שיחה (conversation),conversation,en,translation-value (language_bridge),n/a,language_bridge node id 2f108a0a...,curated (Zuriel),"human_verified=true, evidence_level=medium","{""אטבח"": 147, ""אלבם"": 480, ""אתבש"": 192, ""גדול"": 323, ""קדמי"": 1201, ""רגיל"": 323, ""מילוי"": 813, ""מסתתר"": 295, ""ריבוע"": 1251, ""סידורי"": 44, ""משולש גדול"": 1201, ""אותיות אחרי"": 435, ""אותיות לפני"": 220}",ragil=323 (corpus_phrase_count=8),entity--has_language_bridge-->bridge--bridges_to-->foreign_word,,,PASS
כס (throne),throne,en,"shared_value (language_bridge, method=English Ordinal)",n/a,language_bridge node id aea31371...,(none listed),"human_verified=true, evidence_level=strong","{""אטבח"": 120, ""אלבם"": 404, ""אתבש"": 38, ""גדול"": 80, ""קדמי"": 330, ""רגיל"": 80, ""מילוי"": 220, ""מסתתר"": 40, ""ריבוע"": 100, ""סידורי"": 26, ""משולש גדול"": 330, ""אותיות אחרי"": 100, ""אותיות לפני"": 60}",ragil=80 (corpus_phrase_count=?),entity--has_language_bridge-->bridge--bridges_to-->foreign_word,,,PASS
עבד (slave),slave,en,"shared_value (language_bridge, method=Reverse Ordinal)",n/a,language_bridge node id bfcf3009...,(none listed),"human_verified=true, evidence_level=strong","{""אטבח"": 44, ""אלבם"": 105, ""אתבש"": 407, ""גדול"": 76, ""קדמי"": 338, ""רגיל"": 76, ""מילוי"": 976, ""מסתתר"": 70, ""ריבוע"": 218, ""סידורי"": 22, ""משולש גדול"": 338, ""אותיות אחרי"": 88, ""אותיות לפני"": 64}",ragil=76 (corpus_phrase_count=10),entity--has_language_bridge-->bridge--bridges_to-->foreign_word,,,PASS
SPECIAL TEST Path A: word->number (Messiah),Messiah -> משיח -> 358 -> existing research structure,en->he,transliteration then live-engine,gematria_words.id (משיח),b0658bfe-85c8-4feb-8fc9-9037c3397b83,curated (Zuriel) + live fn_all_methods_full,alias verified; gematria live-recomputed and matches stored רגיל=358,"NAME/WORD ""Messiah"" -> alias/variant (language_bridge, transliteration) -> Hebrew canonical ""משיח"" -> live gematria (13 methods, רגיל=358 גדול=358 ...) -> number 358","358 (corpus_phrase_count=58, richest form in this sample)",entity(משיח)--has_language_bridge-->bridge--bridges_to-->foreign_word(Messiah); edges(משיח)=32,topic_card@358,,"PASS -- full chain walked live, no step assumed"
SPECIAL TEST Path B: number->word (358),"358 -> cardinal_wording -> ""שלוש מאות חמישים ושמונה"" -> existing corpus row",he,"generated (Numeric Language generator, unchanged since Phase 1-4)",gematria_words.id (שלוש מאות חמישים ושמונה),(none),"generator + live fn_all_methods_full (reused, not modified)",generated text confirmed byte-identical to an existing gematria_words.phrase row (already found independently in Phase 5s reconciliation),"NUMBER 358 -> generated Hebrew wording (digit_read=""שלוש חמש שמונה"" [no corpus match]; cardinal_wording=""שלוש מאות חמישים ושמונה"" [EXISTS in gematria_words, ragil=1898]) -> alias/variant layer reachable via the same word_aliases/language_bridge mechanism as any other corpus word","358 (source) -> 1898 (ragil of the generated phrases own gematria -- a DIFFERENT number, proving identity(358) != gematria-of-its-own-name(1898), Sec.5)","no node_id on this row -- not yet promoted to the graph, same disclosed gap as other un-promoted corpus rows",,"the digit_read form (""שלוש חמש שמונה"") has NO corpus match at all -- only the cardinal_wording form does. Confirms the two generation types are not equally represented in real usage, consistent with Numeric Language Phase 1-4 findings","PASS -- bidirectionality demonstrated using the SAME infrastructure both directions, per Sec.8"
