id,original_phrase,source,resolved_corpus_role,method_mention_type,n_distinct_canonical_methods,multi_method_flag,method_mentioned,canonical_method_id,research_expression,claimed_value,instruction_confidence,verification_state,has_engine_verified_mismatch,has_engine_verified_match,candidate_labels,temporal_markers,issue_group
4bf45bbc-91f3-478f-94df-d7de70faeacc,המלחמה תפרוץ בחודש הבא רת,excel_import,thematic_corpus,candidate_method,0,no,רת,CANDIDATE_ROSHEI_TEVOT,המלחמה תפרוץ בחודש הבא,,low,not_applicable,no,no,רת,,candidate_method_not_in_registry
523a577e-0b65-4dc6-a093-d88b568f8085,בית המקדש המקדש ירד ב2016 - סת,excel_import,numeric_word_construct,candidate_method,1,no,סת,רגיל,בית המקדש המקדש ירד ב,2016,low,engine_verified_mismatch,yes,no,סת,,candidate_method_not_in_registry
5298a246-499a-46f6-804a-d0f31ffe2dbb,1335 1290 22 12 - רת -7810-גדול ומלים -1202- סת,excel_import,archival_raw,candidate_method,1,no,רת|גדול|סת,CANDIDATE_ROSHEI_TEVOT|גדול|CANDIDATE_SOFEI_TEVOT,1335 1290 22 12|7810|ומלים -1202,7810||,high|low|low,not_applicable|not_applicable|not_applicable,no,no,סת|רת,,candidate_method_not_in_registry
5726230d-ed78-4787-b72b-b8cb42098666,משיח (רגיל ישר והפוך),excel_import,thematic_corpus,candidate_method,0,no,רגיל ישר והפוך,CANDIDATE_RAGIL_YASHAR_HAFUCH,משיח,,low,not_applicable,no,no,רגיל ישר והפוך,,candidate_method_not_in_registry
63745d65-41df-4a29-8b41-722f36326fc2,266 644- רגיל -1202 רת,excel_import,research_vocabulary,candidate_method,1,no,רגיל|רת,רגיל|CANDIDATE_ROSHEI_TEVOT,266 644|1202,1202|,high|low,engine_verified_mismatch|not_applicable,yes,no,רת,,candidate_method_not_in_registry
646aa48d-8104-488a-bed1-ba93c41d0630,אשרי המחכה ל1335 -רת,excel_import,thematic_corpus,candidate_method,1,no,רת,רגיל,אשרי המחכה ל,1335,low,engine_verified_mismatch,yes,no,רת,,candidate_method_not_in_registry
680e8248-7251-4bcf-b5c2-7524d6426c8a,זמן ביאת המשיח בספר דניאל פרק יב 1290 1335 - סת,excel_import,research_vocabulary,candidate_method,1,no,סת,רגיל,זמן ביאת המשיח בספר דניאל פרק יב 1290,1335,low,engine_verified_mismatch,yes,no,סת,,candidate_method_not_in_registry
72c33f16-4b1b-4838-846e-b623c11dc276,337 יודע סוד צמח דוד המלך -איק בכר-776-סת -1437-אתבש,excel_import,research_vocabulary,candidate_method,1,no,סת|אתבש,CANDIDATE_SOFEI_TEVOT|אתבש,337 יודע סוד צמח דוד המלך -איק בכר|1437,1437|,high|low,not_applicable|not_applicable,no,no,סת,,candidate_method_not_in_registry
84c662b5-ed48-4e82-a555-c49e26d6d3d9,1335 1290 התגלותי כבן דוד האמיתי האחרון - סת,excel_import,personal_or_restricted,candidate_method,0,no,סת,CANDIDATE_SOFEI_TEVOT,1335 1290 התגלותי כבן דוד האמיתי האחרון,,low,not_applicable,no,no,סת,,candidate_method_not_in_registry
8764e97b-bbdb-4f96-8bc2-0826274a5e22,צמח דוד 644 - רת,excel_import,numeric_word_construct,candidate_method,1,no,רת,רגיל,צמח דוד,644,low,engine_verified_mismatch,yes,no,רת,,candidate_method_not_in_registry
919ef8fe-cac7-4c32-b17a-b71effa2b052,2216 סוד המשיח- סת -4240-רגיל ומסתתר,excel_import,thematic_corpus,candidate_method,2,no,סת|רגיל|מסתתר,CANDIDATE_SOFEI_TEVOT|רגיל|מסתתר,2216 סוד המשיח|4240|ו,4240||,high|low|low,not_applicable|not_applicable|not_applicable,no,no,סת,,candidate_method_not_in_registry
9c915472-6765-411f-9346-43a8940b88b2,יהוה יפיל את בראק חוסיין אובאמה -590-סת,excel_import,thematic_corpus,candidate_method,1,no,סת,רגיל,יהוה יפיל את בראק חוסיין אובאמה,590,low,engine_verified_mismatch,yes,no,סת,,candidate_method_not_in_registry
a1656908-cc14-47cd-98b8-6f9deb615618,רגיל רת,sod1820,public_core,candidate_method,1,no,רגיל|רת,רגיל|CANDIDATE_ROSHEI_TEVOT,|,|,low|low,not_applicable|not_applicable,no,no,רת,,candidate_method_not_in_registry
b33b080c-59bc-4bad-b88d-dddbd46d4df4,בן דויד יצמח למשיח אחרון עד 22 12 = סת,excel_import,research_vocabulary,candidate_method,0,no,סת,CANDIDATE_SOFEI_TEVOT,בן דויד יצמח למשיח אחרון עד 22 12 =,,low,not_applicable,no,no,סת,,candidate_method_not_in_registry
b5e47069-d7eb-4d3f-8d0e-85253fc99397,בשורת הגאולה על ידי אליהו הנביא - רת,excel_import,thematic_corpus,candidate_method,0,no,רת,CANDIDATE_ROSHEI_TEVOT,בשורת הגאולה על ידי אליהו הנביא,,low,not_applicable,no,no,רת,,candidate_method_not_in_registry
ba02e084-fd80-4a52-9069-ea2af1d8e7a5,בשורת מלך המשיח בימינו-לפני - 434- סת,excel_import,thematic_corpus,candidate_method,1,no,סת,רגיל,בשורת מלך המשיח בימינו-לפני,434,low,engine_verified_mismatch,yes,no,סת,לפני,candidate_method_not_in_registry
ba9536f8-de36-4bba-bcc6-067740f0c9af,מתי אתגלה ב22 12 -רת-לפי אחת,excel_import,personal_or_restricted,candidate_method,1,no,רת,רגיל,מתי אתגלה ב22,12,low,engine_verified_mismatch,yes,no,רת,,candidate_method_not_in_registry
bcb1da81-dd3c-46d2-b057-3cfb3629a9d1,סוד דניאל הנביא 1335- סת - לפי אחת,excel_import,archival_raw,candidate_method,1,no,סת,רגיל,סוד דניאל הנביא,1335,low,engine_verified_mismatch,yes,no,סת,,candidate_method_not_in_registry
be3d45e0-e934-4d23-b0ec-6bcedd1e6c38,באו 396- 676 סת,excel_import,research_vocabulary,candidate_method,1,no,סת,רגיל,באו 396,676,low,engine_verified_mismatch,yes,no,סת,,candidate_method_not_in_registry
cb08e6dc-166e-4954-831a-5fc42f3b790a,644 צמח דוד - רת,excel_import,numeric_word_construct,candidate_method,0,no,רת,CANDIDATE_ROSHEI_TEVOT,644 צמח דוד,,low,not_applicable,no,no,רת,,candidate_method_not_in_registry
d96b8d93-ab64-4061-88e2-20a9c83ed1bc,צמח דוד 644- רת,excel_import,research_vocabulary,candidate_method,1,no,רת,רגיל,צמח דוד,644,low,engine_verified_mismatch,yes,no,רת,,candidate_method_not_in_registry
dc5b6ecc-220c-4289-9050-62f93b92f59b,בחרתי אותך לגאול את עם ישראל -רת סת,excel_import,research_vocabulary,candidate_method,0,no,רת|סת,CANDIDATE_ROSHEI_TEVOT|CANDIDATE_SOFEI_TEVOT,בחרתי אותך לגאול את עם ישראל|בחרתי אותך לגאול את עם ישראל,|,low|low,not_applicable|not_applicable,no,no,סת|רת,,candidate_method_not_in_registry
e07d5b91-d790-4f17-bcaf-e8aca8d98f3a,שורש דויד ב2015 -5520- סת,excel_import,research_vocabulary,candidate_method,1,no,סת,רגיל,שורש דויד ב2015,5520,low,engine_verified_mismatch,yes,no,סת,,candidate_method_not_in_registry
e35475c6-c207-4769-8fa5-3f8cc35b8861,דויד מלך ישראל (רגיל ישר והפוך),excel_import,research_vocabulary,candidate_method,0,no,רגיל ישר והפוך,CANDIDATE_RAGIL_YASHAR_HAFUCH,דויד מלך ישראל,,low,not_applicable,no,no,רגיל ישר והפוך,,candidate_method_not_in_registry
e8d216ff-b3de-4af3-aa4f-cbc0c17acbca,צמח דוד רת,sod1820,public_core,candidate_method,0,no,רת,CANDIDATE_ROSHEI_TEVOT,צמח דוד,,low,not_applicable,no,no,רת,,candidate_method_not_in_registry
f7585413-203c-4dc6-b019-d4ff14fc34fa,רָנִּי וְשִׂמְחִי בַּת־צִיוֹן כִּי הִנְנִי־בָא וְשָֽׁכַנְתִּי בְתוֹכֵךְ נְאֻם־יְהוָֽה׃ - ניקוד -- 566 סת,excel_import,thematic_corpus,candidate_method,1,no,סת,רגיל,רָנִּי וְשִׂמְחִי בַּת־צִיוֹן כִּי הִנְנִי־בָא וְשָֽׁכַנְתִּי בְתוֹכֵךְ נְאֻם־יְהוָֽה׃ - ניקוד,566,low,engine_verified_mismatch,yes,no,סת,,candidate_method_not_in_registry
fcf63e41-27d7-4ce6-9f0f-510ee8207f12,הוא משיחכם באלפיים חמש עשרה - סת,excel_import,numeric_word_construct,candidate_method,0,no,סת,CANDIDATE_SOFEI_TEVOT,הוא משיחכם באלפיים חמש עשרה,,low,not_applicable,no,no,סת,,candidate_method_not_in_registry
0002e48c-696d-4bf0-aa55-0225650b1f0f,הישועה בימינו 644 - אתבש - 1100 לפני,excel_import,numeric_word_construct,multi_method_instruction,1,yes,אתבש,אתבש,הישועה בימינו,1100,high,engine_verified_mismatch,yes,no,,לפני,systematic_engine_verification_mismatch
004a33ef-58e7-49f4-86f2-9b951fa082f9,הוא הצדיק הנסתר-3962- משולש,excel_import,research_vocabulary,multi_method_instruction,1,yes,משולש,רגיל,הוא הצדיק הנסתר,3962,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
01625343-f922-4dcf-84b6-a676bfb7dcb3,יהיה אחד * 26 - מסתתר,excel_import,numeric_word_construct,multi_method_instruction,1,yes,מסתתר,רגיל,יהיה אחד,26,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
0201af93-bb71-4453-99df-738c8bebcb44,הסוף לבנקים ב = 396 רגיל ואותיות,excel_import,numeric_word_construct,method_result_claim,1,no,רגיל,רגיל,הסוף לבנקים ב =,396,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
02e2f7b3-a0b2-4467-b395-935d75f643a1,דמשק תיפל בית מקדש 3850 ריבוע,excel_import,numeric_word_construct,multi_method_instruction,1,yes,ריבוע,רגיל,דמשק תיפל בית מקדש,3850,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
03bc233b-def3-48ee-abbf-59a093573a43,הסוף לסוחרי העבדים ב =1692 ריבוע רגיל,excel_import,numeric_word_construct,multi_method_instruction,1,yes,ריבוע|רגיל,רגיל|רגיל,הסוף לסוחרי העבדים ב =|הסוף לסוחרי העבדים ב =,1692|,low|low,engine_verified_mismatch|not_applicable,yes,no,,,systematic_engine_verification_mismatch
03d6a104-c442-4898-b6d4-01ec6cd87354,סוד 533 337 - פי 5 - מסתתר 14370 - לפני 11180 - ריבוע 33070,excel_import,numeric_word_construct,multi_method_instruction,2,yes,מסתתר|ריבוע,מסתתר|ריבוע,סוד 533 337 - פי 5|14370 - לפני 11180,14370|33070,high|high,engine_verified_mismatch|not_verifiable,yes,no,,לפני,systematic_engine_verification_mismatch
08b05a76-25de-47a3-b89f-614d2198737c,"וְקָרָאת אֶתְכֶם הָרָעָה,בזמן הזה -רגיל ומסתתר -1820- מילוי ללא- 1118-אלבם",excel_import,thematic_corpus,multi_method_instruction,4,yes,רגיל|מסתתר|מילוי|אלבם,רגיל|מסתתר|מילוי|אלבם,"וְקָרָאת אֶתְכֶם הָרָעָה,בזמן הזה|ו|1820|ללא- 1118",|1820||,low|high|low|low,not_applicable|engine_verified_mismatch|not_applicable|not_applicable,yes,no,,,systematic_engine_verification_mismatch
09817eed-2a59-4a6d-8e06-01b23e1c2132,המשיח בעוד 29 יום -לפני -3630-רגיל ומסתתר -=פי 5,excel_import,thematic_corpus,multi_method_instruction,2,yes,רגיל|מסתתר,רגיל|מסתתר,המשיח בעוד 29 יום -לפני|ו,3630|,low|low,engine_verified_mismatch|not_applicable,yes,no,,לפני,systematic_engine_verification_mismatch
0b7fd319-4a77-4060-beeb-0a4888d7d157,סוף לאבטלה בימינו = 363 מסתתר רגיל,excel_import,numeric_word_construct,multi_method_instruction,1,yes,מסתתר|רגיל,רגיל|רגיל,סוף לאבטלה בימינו =|סוף לאבטלה בימינו =,363|,low|low,engine_verified_mismatch|not_applicable,yes,no,,,systematic_engine_verification_mismatch
0cae3991-079c-4c2b-be4d-b9a35ddd784b,אָנֹכִי אָנֹכִי הוּא מְנַחֶמְכֶם = 1430 משולש,excel_import,thematic_corpus,multi_method_instruction,1,yes,משולש,רגיל,אָנֹכִי אָנֹכִי הוּא מְנַחֶמְכֶם =,1430,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
0e77037c-cdcb-46ed-b86a-9f86dfb2562c,סוד 3960 - מילוי,excel_import,numeric_word_construct,multi_method_instruction,1,yes,מילוי,רגיל,סוד,3960,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
0f25d4a6-9797-4d3e-88a9-88705e660015,התמדה 506 מילוי בלבד,excel_import,numeric_word_construct,multi_method_instruction,1,yes,מילוי בלבד,רגיל,התמדה,506,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
0fcbe92b-f4e9-490a-b88f-eea46813d515,אמחה את זכר עמלק ב 781 מילוי,excel_import,numeric_word_construct,multi_method_instruction,1,yes,מילוי,רגיל,אמחה את זכר עמלק ב,781,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
10616358-c80b-4287-b58d-cb58842039fd,דוד המלך מסתתר 2701,excel_import,numeric_word_construct,method_result_claim,1,no,מסתתר,מסתתר,דוד המלך,2701,high,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
1083efe8-524e-4849-a50c-81e46b2872b6,396 יגאלנו ב2015 -לפני רזא -386 -מיקום האות - 3750 רגיל,excel_import,research_vocabulary,method_result_claim,1,no,רגיל,רגיל,396 יגאלנו ב2015 -לפני רזא -386 -מיקום האות,3750,low,engine_verified_mismatch,yes,no,,לפני,systematic_engine_verification_mismatch
122736a2-e8d9-40b9-be8b-88f87b51a2fd,רחמים גדולים - רגיל ומילוי - משולש 1518,excel_import,numeric_word_construct,multi_method_instruction,4,yes,גדול|רגיל|מילוי|משולש,גדול|רגיל|מילוי|קדמי,רחמים|ים|ו|רחמים,|||1518,low|low|low|high,not_applicable|not_applicable|not_applicable|engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
1238749e-14cf-4454-aa6c-5819100e3a39,אני בראתי 2600 משולש,excel_import,personal_or_restricted,multi_method_instruction,1,yes,משולש,רגיל,אני בראתי,2600,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
127eecea-a61b-4b5c-a104-743e9548bd86,396 דויד בן ישי - רגיל ומסתתר - 12020 - ריבוע,excel_import,numeric_word_construct,multi_method_instruction,3,yes,רגיל|מסתתר|ריבוע,רגיל|מסתתר|ריבוע,396 דויד בן ישי|ו|12020,|12020|,low|high|low,not_applicable|engine_verified_mismatch|not_applicable,yes,no,,,systematic_engine_verification_mismatch
12edb52d-1c3d-46cd-977b-f3f9da5d8857,מיהו בן דויד ב 781- מילוי ללא,excel_import,research_vocabulary,multi_method_instruction,1,yes,מילוי,רגיל,מיהו בן דויד ב,781,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
1350f9fd-a225-4a58-8d4b-03ec4b20577b,הסוף לשוק ההון בימינו = 775 רגיל ומילים,excel_import,numeric_word_construct,method_result_claim,1,no,רגיל,רגיל,הסוף לשוק ההון בימינו =,775,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
13f53193-af50-446c-bc2f-2868958f0ad4,סוד המשיח האחרון 1335-גדול -לפי-אחת,excel_import,archival_raw,multi_method_instruction,1,yes,גדול,רגיל,סוד המשיח האחרון,1335,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
15154a3e-4f93-4245-877c-af9741d0d62c,המלך 1335- גדול ואותיות -לפי אחד,excel_import,archival_raw,multi_method_instruction,1,yes,גדול,רגיל,המלך,1335,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
17014f65-11d8-4796-ae96-42c59cdc669a,מלחמת העולם תחל הקיץ מסתתר 5333 משולש,excel_import,numeric_word_construct,multi_method_instruction,2,yes,מסתתר|משולש,מסתתר|קדמי,מלחמת העולם תחל הקיץ|5333,5333|,high|low,engine_verified_mismatch|not_applicable,yes,no,,,systematic_engine_verification_mismatch
19d39b18-0604-4616-b7d4-826bd6638608,אחדות ישראל 644 אותיות לפני,excel_import,numeric_word_construct,multi_method_instruction,1,yes,אותיות לפני,רגיל,אחדות ישראל,644,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
1a92a168-1a45-4b7d-bbc1-bbeb481042ab,מי צומח למלך ישראל ?מסתתר 5 - אתבש 3750,excel_import,numeric_word_construct,multi_method_instruction,2,yes,מסתתר|אתבש,מסתתר|אתבש,מי צומח למלך ישראל ?|5,5|3750,high|high,engine_verified_mismatch|not_verifiable,yes,no,,,systematic_engine_verification_mismatch
1c7a632c-c810-44c3-916d-b869109db809,שנת גאולתנו 776- מילוי,excel_import,research_vocabulary,multi_method_instruction,1,yes,מילוי,רגיל,שנת גאולתנו,776,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
1eb79907-ce2f-48d2-8246-4d96f450c3b1,לי דרגת 11111 - משולש -לפי אחד,excel_import,personal_or_restricted,multi_method_instruction,1,yes,משולש,רגיל,לי דרגת,11111,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
20a2993c-2afb-41b9-907f-a619233a3b86,הגאלה האחרונה 1335- אתבש,excel_import,archival_raw,multi_method_instruction,1,yes,אתבש,רגיל,הגאלה האחרונה,1335,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
22a85483-b93b-4579-af14-9c0b73272c71,644 במלכות - 1396 מסתתר,excel_import,numeric_word_construct,multi_method_instruction,1,yes,מסתתר,רגיל,644 במלכות,1396,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
235216b7-773b-4183-ac3d-92eb2bf5f3a9,1948 אליהו הנביא בימינו - מסתתר 1506,excel_import,numeric_word_construct,method_result_claim,1,no,מסתתר,מסתתר,1948 אליהו הנביא בימינו,1506,high,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
24b60bdd-9678-489c-93ba-a352b40eccea,אור מלך המשיח שאול מסתתר 1363 אחרי,excel_import,archival_raw,method_result_claim,1,no,מסתתר,מסתתר,אור מלך המשיח שאול,1363,high,engine_verified_mismatch,yes,no,,אחרי,systematic_engine_verification_mismatch
2548ed27-3c68-44d7-898b-f6d453147052,הסוף למטוסי הקרב בימינו = 2756 מילוי רגיל,excel_import,numeric_word_construct,multi_method_instruction,1,yes,מילוי|רגיל,רגיל|רגיל,הסוף למטוסי הקרב בימינו =|הסוף למטוסי הקרב בימינו =,2756|,low|low,engine_verified_mismatch|not_applicable,yes,no,,,systematic_engine_verification_mismatch
26322037-306a-4725-b3bc-fac5ba0a3a79,המשיח האחרון האמיתי 396 -אטבח,excel_import,thematic_corpus,multi_method_instruction,1,yes,אטבח,רגיל,המשיח האחרון האמיתי,396,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
2660ff76-72ab-4782-95f6-580342143590,1692 - מסתתר (אחד) - רגיל 2133,excel_import,numeric_word_construct,multi_method_instruction,2,yes,מסתתר|רגיל,מסתתר|רגיל,1692|אחד,|2133,low|high,not_applicable|engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
26fe9632-80a9-444e-b56e-4772e1a13798,מתי יבוא דויד בן ישי 644 אותיות לפני,excel_import,numeric_word_construct,multi_method_instruction,1,yes,אותיות לפני,רגיל,מתי יבוא דויד בן ישי,644,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
271a0658-7723-4718-9db2-b84370dbee5b,גרזן . מילוי בלבד. הרגיל 260 וכן יש 676,excel_import,numeric_word_construct,multi_method_instruction,2,yes,מילוי בלבד|רגיל,מילוי בלבד|רגיל,גרזן|ה,|260,low|high,not_applicable|engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
283182dc-eda2-42be-b2a5-898419abf37a,יהיה דרגת היחידה 11111 -אטבח,excel_import,archival_raw,multi_method_instruction,1,yes,אטבח,רגיל,יהיה דרגת היחידה,11111,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
28456ba4-6b6f-41e3-9368-11bed86eb27b,סוף לריבית = 1692 רגיל ומסתתר,excel_import,numeric_word_construct,multi_method_instruction,2,yes,רגיל|מסתתר,רגיל|מסתתר,סוף לריבית =|ו,1692|,low|low,engine_verified_mismatch|not_applicable,yes,no,,,systematic_engine_verification_mismatch
285ac82c-05ba-4e15-831a-c6bbfe23eeea,נסיון 533 אתבש,excel_import,numeric_word_construct,multi_method_instruction,1,yes,אתבש,רגיל,נסיון,533,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
287a15f7-eff7-4315-bf7c-49135ebe5dcc,המשיח יבוא 776 -אתבש,excel_import,thematic_corpus,multi_method_instruction,1,yes,אתבש,רגיל,המשיח יבוא,776,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
2bb86a84-390a-4a08-a31e-ffb21e9da4bd,גאולה 396 -אטבח,excel_import,research_vocabulary,multi_method_instruction,1,yes,אטבח,רגיל,גאולה,396,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
2c2dc4a2-de37-420b-aabb-a827ed3d681a,יהוה מסתיר את הגאל האחרון -1820 מסתתר,excel_import,thematic_corpus,multi_method_instruction,1,yes,מסתתר,רגיל,יהוה מסתיר את הגאל האחרון,1820,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
2ddfe7ab-ef71-4235-a12e-8258e9b481c9,סוד המשיח 533- מסתתר,excel_import,thematic_corpus,multi_method_instruction,1,yes,מסתתר,רגיל,סוד המשיח,533,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
2de7b823-d34a-4c67-a991-e93d49ee66f1,סוד המשיח 1820 - מסתתר גדול -לפי אחת,excel_import,thematic_corpus,multi_method_instruction,1,yes,מסתתר גדול,רגיל,סוד המשיח,1820,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
2e463dc1-94ff-4b21-a984-fae937999646,אחד ארבע שבע ושתיים (1472) רגיל 1424 - מסתתר 2216,excel_import,numeric_word_construct,multi_method_instruction,2,yes,רגיל|מסתתר,רגיל|מסתתר,אחד ארבע שבע ושתיים|1424,1424|2216,high|high,engine_verified_match|engine_verified_mismatch,yes,yes,,,systematic_engine_verification_mismatch
2f43b8d1-eb7c-4624-9b87-7b1de1010271,הסוף לטרור בימינו = 717 רגיל ומילים,excel_import,numeric_word_construct,method_result_claim,1,no,רגיל,רגיל,הסוף לטרור בימינו =,717,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
31037963-a9af-4f22-8954-c974d819ffa1,הסוף לשליטים = 775 מסתתר רגיל,excel_import,numeric_word_construct,multi_method_instruction,1,yes,מסתתר|רגיל,רגיל|רגיל,הסוף לשליטים =|הסוף לשליטים =,775|,low|low,engine_verified_mismatch|not_applicable,yes,no,,,systematic_engine_verification_mismatch
32467d9b-feb9-452f-ad2a-8ec399d85edf,צמח משיח בן דויד מצפה לשכינה =1118- אתבש,excel_import,thematic_corpus,multi_method_instruction,1,yes,אתבש,רגיל,צמח משיח בן דויד מצפה לשכינה =,1118,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
33d6d95c-7120-48ce-a6f4-d8d7abf5dea5,האמת תהיה נעדרת ב 776 = 2936 רגיל,excel_import,numeric_word_construct,method_result_claim,1,no,רגיל,רגיל,האמת תהיה נעדרת ב 776 =,2936,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
3468e323-c44a-4acc-a3e1-455e472469a0,מלכות שמים תתגלה ב776- גדול,excel_import,research_vocabulary,multi_method_instruction,1,yes,גדול,רגיל,מלכות שמים תתגלה ב,776,low,engine_verified_mismatch,yes,no,,,systematic_engine_verification_mismatch
