id,original_phrase,numeric_expression,parse_type,parsed_number,parse_confidence,roundtrip_status,gematria_values,self_numeric_hit,cross_research_hits,year_overlap,method_claim_overlap,target_overlap,generated_existing_match,ambiguity_reason,special_flags,source,category_prior
11,אלף שמונה מאות עשרים,"אלף, מאות, עשרים, שמונה",D_year_expression,1820,high,normalized_roundtrip,1579,False,,False,,,,,A_words_denote:1820,excel_import,numeric_quantity
12,אלפיים וחמש עשרה,"אלפיים, חמש, עשרה",D_year_expression,2015,high,exact_roundtrip,1100,False,,True,,,2015,,,excel_import,numeric_quantity
13,אלפיים שש עשרה,"אלפיים, עשרה, שש",D_year_expression,2016,high,normalized_roundtrip,1346,False,,True,,,,,,excel_import,numeric_quantity
14,אלפים וחמש עשרה,"אלפים, חמש, עשרה",D_year_expression,2015,high,alternate_valid_form,1090,False,,False,,,,,,excel_import,numeric_quantity
15,חמש מאות שלושים ושלוש,"חמש, מאות, שלוש, שלושים",B_cardinal_number,533,high,exact_roundtrip,2123,False,,False,,,533,,,excel_import,numeric_quantity
16,חמשת אלפים שבע מאות שבעים ושש,"אלפים, חמשת, מאות, שבע, שבעים, שש",B_cardinal_number,5776,high,exact_roundtrip,2756,False,,True,,,,,,excel_import,numeric_quantity
17,חמשת אלפים שבע מאות שמונים וארבע,"אלפים, ארבע, חמשת, מאות, שבע, שמונים",B_cardinal_number,5784,high,exact_roundtrip,2453,False,,True,,,,,,excel_import,numeric_quantity
18,עשר,עשר,B_cardinal_number,10,high,exact_roundtrip,570,False,,False,,,,,,excel_import,numeric_quantity
19,שבעים ושלש,"שבעים, שלש",B_cardinal_number,73,high,normalized_roundtrip,1058,False,,False,,,,,,excel_import,numeric_quantity
20,שבעים ושש,"שבעים, שש",B_cardinal_number,76,high,exact_roundtrip,1028,False,,False,,,,,,excel_import,numeric_quantity
21,שלוש מאות חמישים ושמונה,"חמישים, מאות, שלוש, שמונה",B_cardinal_number,358,high,exact_roundtrip,1898,False,,False,,,358,,,excel_import,numeric_quantity
22,שש מאות ששים וארבע,"ארבע, מאות, שש, ששים",B_cardinal_number,664,high,alternate_valid_form,1976,False,,False,,,,,,excel_import,numeric_quantity
23,אחת,אחת,B_cardinal_number,1,high,exact_roundtrip,409,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
24,ארבע,ארבע,B_cardinal_number,4,high,exact_roundtrip,273,False,,False,,,4,,,promoted:raw_docx_v2,numeric_quantity
25,ארבע מאות,"ארבע, מאות",B_cardinal_number,400,high,exact_roundtrip,720,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
26,ארבעים,ארבעים,B_cardinal_number,40,high,exact_roundtrip,323,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
27,חמש,חמש,B_cardinal_number,5,high,exact_roundtrip,348,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
28,חמשים,חמשים,B_cardinal_number,50,high,alternate_valid_form,398,False,,False,,strong_number_source:50,,,A_words_denote:50,promoted:raw_docx_v2,numeric_quantity
29,מאה,מאה,B_cardinal_number,100,high,exact_roundtrip,46,False,,False,,,100,,,promoted:raw_docx_v2,numeric_quantity
30,מאתיים,מאתיים,B_cardinal_number,200,high,exact_roundtrip,501,False,research_interest:501,False,,strong_number_target:501,,,B_gematria_hits:501,promoted:raw_docx_v2,numeric_quantity
31,מיליון,מיליון,B_cardinal_number,1000000,high,no_roundtrip,146,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
32,עשרה,עשרה,B_cardinal_number,10,high,alternate_valid_form,575,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
33,רבבה,רבבה,B_cardinal_number,10000,high,no_roundtrip,209,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
34,שבע,שבע,B_cardinal_number,7,high,exact_roundtrip,372,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
35,שבעה,שבעה,B_cardinal_number,7,high,alternate_valid_form,377,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
36,שבעים,שבעים,B_cardinal_number,70,high,exact_roundtrip,422,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
37,שבעים אלף,"אלף, שבעים",B_cardinal_number,70000,high,no_roundtrip,533,False,research_interest:533,False,,,,,,promoted:raw_docx_v2,numeric_quantity
38,שבעים ואחד,"אחד, שבעים",B_cardinal_number,71,high,alternate_valid_form,441,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
39,שלוש,שלוש,B_cardinal_number,3,high,exact_roundtrip,636,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
40,שלש,שלש,B_cardinal_number,3,high,normalized_roundtrip,630,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
41,שלשה,שלשה,B_cardinal_number,3,high,alternate_valid_form,635,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
42,שלשים,שלשים,B_cardinal_number,30,high,normalized_roundtrip,680,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
43,שמונה,שמונה,B_cardinal_number,8,high,exact_roundtrip,401,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
44,שמונה עשרה,"עשרה, שמונה",B_cardinal_number,18,high,exact_roundtrip,976,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
45,שש,שש,B_cardinal_number,6,high,exact_roundtrip,600,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
46,שש מאות אלף,"אלף, מאות, שש",B_cardinal_number,600000,high,no_roundtrip,1158,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
47,ששה,ששה,B_cardinal_number,6,high,alternate_valid_form,605,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
48,ששים,ששים,B_cardinal_number,60,high,alternate_valid_form,650,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
49,ששת,ששת,B_cardinal_number,6,high,alternate_valid_form,1000,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
50,שתי,שתי,B_cardinal_number,2,high,alternate_valid_form,710,False,,False,,,,,,promoted:raw_docx_v2,numeric_quantity
51,תשעה,תשעה,B_cardinal_number,9,high,alternate_valid_form,775,False,research_interest:775,False,,,,,,promoted:raw_docx_v2,numeric_quantity
52,תשעים,תשעים,B_cardinal_number,90,high,exact_roundtrip,820,False,,False,,strong_number_source:90,90,,A_words_denote:90,promoted:raw_docx_v2,numeric_quantity
53,אפס,אפס,B_cardinal_number,0,high,exact_roundtrip,141,False,,False,,,,,,sod1820,numeric_quantity
54,תשע,תשע,B_cardinal_number,9,high,exact_roundtrip,770,False,,False,,,,,,wp_id:36710,numeric_quantity
55,אחת אחת אפס אפס,"אחת, אפס",A_digit_sequence,1100,high,alternate_valid_form,1100,True,,False,,,,,,auto:תיעוד אירועים wp6463,numeric_sequence
56,אחד אפס אפס אפס,"אחד, אפס",A_digit_sequence,1000,high,exact_roundtrip,436,False,,False,,,,,,excel_import,numeric_sequence
57,אחת שלש שלש חמש,"אחת, חמש, שלש",A_digit_sequence,1335,high,alternate_valid_form,2017,False,,False,,,,,,excel_import,numeric_sequence
58,ארבע ארבע אחד,"אחד, ארבע",A_digit_sequence,441,high,exact_roundtrip,559,False,,False,,,,,,excel_import,numeric_sequence
59,ארבע שתיים ארבע ארבע,"ארבע, שתיים",A_digit_sequence,4244,high,exact_roundtrip,1579,False,,False,,,,,,excel_import,numeric_sequence
60,חמש מאות שלושים ושלוש שלוש שלוש שבע,"חמש, מאות, שבע, שלוש, שלושים",A_digit_sequence,,high,no_roundtrip,3767,False,,False,,,,,,excel_import,numeric_sequence
61,חמש שבע שבע שש,"חמש, שבע, שש",A_digit_sequence,5776,high,exact_roundtrip,1692,False,research_interest:1692;hub:1692,False,,,,,,excel_import,numeric_sequence
62,חמשים ושבע שבעים ושש,"חמשים, שבע, שבעים, שש",A_digit_sequence,5776,high,alternate_valid_form,1804,False,,False,,,,,,excel_import,numeric_sequence
63,עשרים עשרים,עשרים,A_digit_sequence,2020,high,alternate_valid_form,1240,False,,False,,,,,,excel_import,numeric_sequence
64,שבע שבע שש,"שבע, שש",A_digit_sequence,776,high,exact_roundtrip,1344,False,,False,,strong_number_source:776,776,,A_words_denote:776,excel_import,numeric_sequence
65,שבעים ושש בשבע שמונה אחת,"אחת, שבע, שבעים, שמונה, שש",A_digit_sequence,,high,no_roundtrip,2212,False,anchor:2212,False,,,,,,excel_import,numeric_sequence
66,שבעים ושש חמשים ושבע,"חמשים, שבע, שבעים, שש",A_digit_sequence,7657,high,alternate_valid_form,1804,False,,False,,,,,,excel_import,numeric_sequence
67,שש ארבע ארבע,"ארבע, שש",A_digit_sequence,644,high,exact_roundtrip,1146,False,,False,,strong_number_source:644,644,,A_words_denote:644,excel_import,numeric_sequence
68,ארבעה וחמשה,"ארבעה, חמשה",A_digit_sequence,45,high,alternate_valid_form,637,False,,False,,strong_number_source:45,,,A_words_denote:45,promoted:raw_docx_v2,numeric_sequence
69,שבעה שבעת,"שבעה, שבעת",A_digit_sequence,,high,no_roundtrip,1149,False,,False,,,,,,promoted:raw_docx_v2,numeric_sequence
70,אחת ארבע שבע ושתיים,"אחת, ארבע, שבע, שתיים",A_digit_sequence,1472,high,alternate_valid_form,1820,False,anchor:1820,False,,,,,B_gematria_hits:1820,sod1820,numeric_sequence
71,שלש חמש חמש,"חמש, שלש",A_digit_sequence,355,high,normalized_roundtrip,1326,False,,False,,,,,,sod1820,numeric_sequence
72,שבעים שנה,שבעים,E_mixed_numeric_phrase,70,medium,no_roundtrip,777,False,anchor:777,False,,,,,,auto:תיעוד אירועים wp11082,mixed_numeric_phrase
73,בית שבע,שבע,E_mixed_numeric_phrase,7,medium,no_roundtrip,784,False,,False,,,,,,auto:תיעוד אירועים wp11557,mixed_numeric_phrase
74,עשרים כסף,עשרים,E_mixed_numeric_phrase,20,medium,no_roundtrip,780,False,,False,,,,,,auto:תיעוד אירועים wp16571,mixed_numeric_phrase
75,קרית שמונה,שמונה,E_mixed_numeric_phrase,8,medium,no_roundtrip,1111,False,research_interest:1111,False,,strong_number_target:1111,,,B_gematria_hits:1111,auto:תיעוד אירועים wp19498,mixed_numeric_phrase
76,כביש אחד,אחד,F_ambiguous,,,no_roundtrip,345,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,auto:תיעוד אירועים wp19647,mixed_numeric_phrase
77,ביידן ארבעים ושש,"ארבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1005,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,auto:תיעוד אירועים wp22588,mixed_numeric_phrase
78,ארבע עשרה תינוקות,"ארבע, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,False,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,auto:תיעוד אירועים wp27374,mixed_numeric_phrase
79,שבעת ימי המילואים,שבעת,E_mixed_numeric_phrase,7,medium,no_roundtrip,974,False,anchor:974,False,,,,,,auto:תיעוד אירועים wp27754,mixed_numeric_phrase
80,חמש שנים,"חמש, שנים",E_mixed_numeric_phrase,,low,no_roundtrip,748,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,auto:תיעוד אירועים wp32852,mixed_numeric_phrase
81,כטבם צימד שלוש,שלוש,E_mixed_numeric_phrase,3,medium,no_roundtrip,851,False,,False,,,,,,auto:תיעוד אירועים wp33462,mixed_numeric_phrase
82,עם אחד,אחד,F_ambiguous,,,no_roundtrip,123,False,anchor:123,False,,strong_number_target:123,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:123,auto:תיעוד אירועים wp34138,mixed_numeric_phrase
83,ארבעים וחמש ימים,"ארבעים, חמש",E_mixed_numeric_phrase,,low,no_roundtrip,777,False,anchor:777,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,auto:תיעוד אירועים wp34433,mixed_numeric_phrase
84,בן שני,שני,F_ambiguous,,,no_roundtrip,412,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,auto:תיעוד אירועים wp34433,mixed_numeric_phrase
85,מלחמת ששת הימים,ששת,E_mixed_numeric_phrase,6,medium,no_roundtrip,1623,False,,False,,,,,,auto:תיעוד אירועים wp34433,mixed_numeric_phrase
86,שבע השנים,"שבע, שנים",E_mixed_numeric_phrase,,low,no_roundtrip,777,False,anchor:777,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,auto:תיעוד אירועים wp34433,mixed_numeric_phrase
87,זמן השבע,שבע,E_mixed_numeric_phrase,7,medium,no_roundtrip,474,False,anchor:474;hub:474,False,,strong_number_target:474,,,B_gematria_hits:474,auto:תיעוד אירועים wp36007,mixed_numeric_phrase
88,הקטן יהיה לאלף,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,335,False,,False,,,,,,auto:תיעוד אירועים wp36103,mixed_numeric_phrase
89,שלש מאות כסף,"מאות, שלש",E_mixed_numeric_phrase,,low,no_roundtrip,1237,False,anchor:1237,False,,strong_number_target:1237,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1237,auto:תיעוד אירועים wp36103,mixed_numeric_phrase
90,חמש שתים אחד,"חמש, שתים, אחד",A_digit_sequence,521,high,alternate_valid_form,1111,False,research_interest:1111,False,,strong_number_target:1111,,,B_gematria_hits:1111,auto:תיעוד אירועים wp36110,numeric_sequence
91,אחד באפריל,אחד,F_ambiguous,,,no_roundtrip,336,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,auto:תיעוד אירועים wp36317,mixed_numeric_phrase
92,אחד באפריל תשפו,אחד,F_ambiguous,,,no_roundtrip,1122,False,,True,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,auto:תיעוד אירועים wp36317,mixed_numeric_phrase
93,שבעה ילדים נספו,שבעה,E_mixed_numeric_phrase,7,medium,no_roundtrip,667,False,,False,,,,,,auto:תיעוד אירועים wp3951,mixed_numeric_phrase
94,ההסכם שלשים לשישי יכשל,שלשים,E_mixed_numeric_phrase,30,medium,no_roundtrip,1820,False,anchor:1820,False,,,,,B_gematria_hits:1820,auto:תיעוד אירועים wp4561,mixed_numeric_phrase
95,תשעה באב,תשעה,E_mixed_numeric_phrase,9,medium,no_roundtrip,780,False,,True,,,,,,auto:תיעוד אירועים wp4561,mixed_numeric_phrase
96,הגירה לאירופה התשעה,תשעה,E_mixed_numeric_phrase,9,medium,no_roundtrip,1335,False,research_interest:1335,True,,,,,,auto:תיעוד אירועים wp4941,mixed_numeric_phrase
97,ההגירה ההמונית בשנת התשעה,תשעה,E_mixed_numeric_phrase,9,medium,no_roundtrip,2276,False,,True,,,,,,auto:תיעוד אירועים wp4941,mixed_numeric_phrase
98,חמור בן מאה גוונים משיח בן דוד,מאה,E_mixed_numeric_phrase,100,medium,no_roundtrip,891,False,,False,,,,,,cleanup_sample30,mixed_numeric_phrase
99,את הפסח בארבעה עשר,"ארבעה, עשר",E_mixed_numeric_phrase,,low,no_roundtrip,1404,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,community,mixed_numeric_phrase
100,שבע יפול צדיק,שבע,E_mixed_numeric_phrase,7,medium,no_roundtrip,702,False,,False,,,,,,community,mixed_numeric_phrase
101,את הכבש אחד תעשה בבקר,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,contribution:צבי (OPOC),mixed_numeric_phrase
102,והיה יום אחד,אחד,F_ambiguous,,,no_roundtrip,95,False,research_interest:95,False,,strong_number_target:95,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:95,contribution:צבי (OPOC),mixed_numeric_phrase
103,ורועה אחד יהיה לכלם,אחד,F_ambiguous,,,no_roundtrip,450,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,contribution:צבי (OPOC),mixed_numeric_phrase
104,שנים עשר אנחנו אחים,"עשר, שנים",E_mixed_numeric_phrase,,low,no_roundtrip,1144,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,contribution:צבי (OPOC),mixed_numeric_phrase
105,ששים אמה,ששים,E_mixed_numeric_phrase,60,medium,no_roundtrip,696,False,research_interest:696,False,,,,,,contribution:צבי (OPOC),mixed_numeric_phrase
106,תורה אחת,אחת,F_ambiguous,,,no_roundtrip,1020,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,contribution:צבי (OPOC),mixed_numeric_phrase
107,חמשה חומשי תורה,חמשה,E_mixed_numeric_phrase,5,medium,no_roundtrip,1328,False,,False,,,,,,entity_expansion_v1,mixed_numeric_phrase
108,(חמור בן מאה גוונים משיח בן דוד)=891!,מאה,E_mixed_numeric_phrase,100,medium,no_roundtrip,,False,,False,,,,,,excel_import,mixed_numeric_phrase
109,1692 - מסתתר (אחד) - רגיל 2133,אחד,F_ambiguous,,,no_roundtrip,,False,,False,unresolved_mismatch,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
110,2660 3370 6440 5140 5330 3960 עשרה - רגיל ומסתתר,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,18200,False,,False,no_claim_verified,,,,,excel_import,mixed_numeric_phrase
111,434 בעשרים ושנים דצמבר אלפים חמש עשרה,"אלפים, חמש, עשרה, עשרים, שנים",E_mixed_numeric_phrase,,low,no_roundtrip,3630,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
112,אדם אלף דלת מם,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,670,False,hub:670,False,,,,,,excel_import,mixed_numeric_phrase
113,אובמה גוג יעלה לציון בראש שבעים עמים ∆,שבעים,E_mixed_numeric_phrase,70,medium,no_roundtrip,5776,False,,False,,,,,,excel_import,mixed_numeric_phrase
114,אחד אחד אחד אחד אפס סופי תיבות,"אחד, אפס",E_mixed_numeric_phrase,,low,no_roundtrip,1167,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
115,אחד אחד שתים (יחוד הויה אלוה,"אחד, אחד, שתים",E_mixed_numeric_phrase,,low,no_roundtrip,776,False,anchor:776,False,,strong_number_target:776,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:776,excel_import,mixed_numeric_phrase
116,אחד ארבע שבע ושתיים (1472) רגיל 1424 - מסתתר 2216,"אחד, ארבע, שבע, שתיים",E_mixed_numeric_phrase,,low,no_roundtrip,1424,False,,False,unresolved_mismatch,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
117,אחד ויחיד,אחד,F_ambiguous,,,no_roundtrip,51,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
118,אחד מעיר,אחד,F_ambiguous,,,no_roundtrip,333,False,anchor:333,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
119,אחד שתים שלוש שבע,"אחד, שתים, שלוש, שבע",A_digit_sequence,1237,high,alternate_valid_form,1771,False,,False,,strong_number_source:1237,,,A_words_denote:1237,excel_import,numeric_sequence
120,אחד שתים שלש שבע,"אחד, שתים, שלש, שבע",A_digit_sequence,1237,high,alternate_valid_form,1765,False,,False,,strong_number_source:1237,,,A_words_denote:1237,excel_import,numeric_sequence
121,אחשף בכי ליהוה המלוכה בעשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1573,False,,False,,,,,,excel_import,mixed_numeric_phrase
122,אחת אחת אפס אפס ר ישרפוך,"אחת, אפס",E_mixed_numeric_phrase,,low,no_roundtrip,1916,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
123,אחת ארבע שבע ושתיים = 1820 (1472),"אחת, ארבע, שבע, שתיים",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,False,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,excel_import,mixed_numeric_phrase
124,אין עוד מלבדו אפס זולתו,אפס,E_mixed_numeric_phrase,0,medium,no_roundtrip,813,False,,False,,,,,,excel_import,mixed_numeric_phrase
125,אליהו הנביא יתגלה אלי בעשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1599,False,,False,,,,,,excel_import,mixed_numeric_phrase
126,אליהו הנביא עשרה בטבת (מילוי),עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,3580,False,,False,no_claimed_value,,,,,excel_import,mixed_numeric_phrase
127,אליהו יבא בעוד עשרים וששה יום=פי 5,"עשרים, ששה",E_mixed_numeric_phrase,,low,no_roundtrip,7170,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
128,אלף 12358,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,111,False,anchor:111;research_interest:111,False,,strong_number_target:111,,,B_gematria_hits:111,excel_import,mixed_numeric_phrase
129,אלף מאתים ושתים (1202),אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,1358,False,,False,,,,,,excel_import,mixed_numeric_phrase
130,אלף מאתים ושתים 1358,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,1871,False,,False,,,,,,excel_import,mixed_numeric_phrase
131,אלף מאתים שלושים ושבע,"אלף, שבע, שלושים",E_mixed_numeric_phrase,,low,no_roundtrip,1666,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
132,אלף מאתים שלושים ושבע התגלות,"אלף, שבע, שלושים",E_mixed_numeric_phrase,,low,no_roundtrip,2510,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
133,אלף מטר יציאה,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,476,False,,False,,,,,,excel_import,mixed_numeric_phrase
134,אלף שמונה מאות ועשרים משיח,"אלף, מאות, עשרים, שמונה",E_mixed_numeric_phrase,,low,no_roundtrip,1943,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
135,אלפיים ושבע עשרה - מקדש,"אלפיים, עשרה, שבע",E_mixed_numeric_phrase,,low,no_roundtrip,1568,False,,True,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
136,אמונה באל אחד,אחד,F_ambiguous,,,no_roundtrip,148,False,anchor:148,False,,strong_number_target:148,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:148,excel_import,mixed_numeric_phrase
137,אמלוך באלפיים שש עשרה-מסתתר =פי 5,"אלפיים, עשרה, שש",E_mixed_numeric_phrase,,low,no_roundtrip,3960,False,research_interest:3960,True,no_claimed_value,strong_number_target:3960,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:3960,excel_import,mixed_numeric_phrase
138,אמשח למשיח בעוד שלשים ושבעה יום,"שבעה, שלשים",E_mixed_numeric_phrase,,low,no_roundtrip,1938,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
139,אני אפס אפסים,אפס,E_mixed_numeric_phrase,0,medium,no_roundtrip,393,False,,False,,,,,,excel_import,mixed_numeric_phrase
140,אפס 1371 414 555 661,אפס,E_mixed_numeric_phrase,0,medium,no_roundtrip,141,False,,False,,,,,,excel_import,mixed_numeric_phrase
141,אקבל דרגת היחידה בעוד שלשים יום,שלשים,E_mixed_numeric_phrase,30,medium,no_roundtrip,1600,False,,False,,,,,,excel_import,mixed_numeric_phrase
142,אקבל שבעים ושלש,"שבעים, שלש",E_mixed_numeric_phrase,,low,no_roundtrip,1191,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
143,ארבע שלוש ארבע ∆ (434 = משיח בן דויד),"ארבע, שלוש",E_mixed_numeric_phrase,,low,no_roundtrip,4456,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
144,אשרי המחכה לעשרה בטבת 776 -מילולי ללא =פי 5,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,59000,False,,False,,,,,,excel_import,mixed_numeric_phrase
145,אתגלה בעתה בשנה החדשה ב22 12 -לי אחד - 7810- מילוי,אחד,F_ambiguous,,,no_roundtrip,3860,False,,False,unresolved_mismatch,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
146,אתה המלך האחד,אחד,F_ambiguous,,,no_roundtrip,519,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
147,ב״שית אלף שנין תבוא הגאולה״ = 1692 רגיל !!,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,,False,,False,engine_verified,,,,,excel_import,mixed_numeric_phrase
148,בהיכל יהוה קדוש אבקר בעשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1796,False,,False,,,,,,excel_import,mixed_numeric_phrase
