phrase,source,researcher,verified,corpus_role,target_value,package_cluster,availability_state,confidence,reason_rule,sensitivity,notes_provenance
אני הגואל האמתי האחרון,excel_import,,True,thematic_corpus,832,none,public_expanded,MEDIUM,verified_default,normal,לפני
אני הנבחר לגואל,excel_import,,True,thematic_corpus,396,none,public_expanded,MEDIUM,verified_default,normal,717 - אלבם
אני הנבחר לגואל האמתי האחרון,excel_import,,False,research_vocabulary,1122,none,deep_research,MEDIUM,unverified_with_notes,normal,אחרי רגיל
אני הנבחר למשיחך,excel_import,,True,thematic_corpus,734,none,public_expanded,MEDIUM,verified_default,normal,מילוי ללא מילה
אני הנבחר למשיחך האמיתי,excel_import,,True,thematic_corpus,1200,none,public_expanded,MEDIUM,verified_default,normal,מילוי ללא מילה
אני הנבחר למשיחם,excel_import,,True,thematic_corpus,754,none,public_expanded,MEDIUM,verified_default,normal,רגיל ומשולש
אני מלך המשיח,excel_import,,True,thematic_corpus,514,none,public_expanded,MEDIUM,verified_default,normal,מסתתר
אני מלך המשיח בזמן הזה,excel_import,,False,research_vocabulary,630,none,deep_research,MEDIUM,unverified_with_notes,normal,לפני
אני מלך המשיח בעתה,excel_import,,True,thematic_corpus,991,none,public_expanded,MEDIUM,verified_default,normal,משולש
אני משיח אחרון,excel_import,,True,thematic_corpus,684,none,public_expanded,MEDIUM,verified_default,normal,אטבח - 358 אות שניה
אני משיח אמיתי,excel_import,,True,thematic_corpus,880,none,public_expanded,MEDIUM,verified_default,normal,מקור עם ∆ (סימן משולש/קדמי)
אני משיח בן דויד,excel_import,,True,thematic_corpus,495,none,public_expanded,MEDIUM,verified_default,normal,לפני פליאה
אני משיח בן דויד ∆,excel_import,,False,research_vocabulary,1821,none,deep_research,LOW,unverified_bare,normal,(none)
אני משיח יהוה לפני,excel_import,,True,thematic_corpus,615,none,public_expanded,MEDIUM,verified_default,normal,אני משיח יהוה לפני
אני משיח עבד יהוה לפני-11340- מילוי דה מילוי,excel_import,,False,research_vocabulary,781,none,deep_research,MEDIUM,unverified_with_notes,normal,אני משיח עבד יהוה לפני - 11340 - מילוי דה מילוי
אני משיחו האמיתי האחרון,excel_import,,True,thematic_corpus,1161,none,public_expanded,MEDIUM,verified_default,normal,משולש=פי 5
אני משיחו האמתי רגיל ומילוי,excel_import,,False,research_vocabulary,1226,none,deep_research,LOW,unverified_bare,normal,אני משיחו האמתי רגיל ומילוי
אני משיחך מילו ללא,excel_import,,True,thematic_corpus,586,none,public_expanded,MEDIUM,verified_default,normal,(none)
אני משיחם האמתי,excel_import,,True,thematic_corpus,915,none,public_expanded,MEDIUM,verified_default,normal,אטבח
אני נבחר יהוה האחרון למשיח,excel_import,,False,research_vocabulary,1005,none,deep_research,MEDIUM,unverified_with_notes,normal,אחרי
אני נבחר יהוה האחרון למשיחו,excel_import,,False,research_vocabulary,1011,none,deep_research,MEDIUM,unverified_with_notes,normal,משולש
אני נבחר יהוה האחרון למשיחו האמיתי,excel_import,,False,research_vocabulary,1477,none,deep_research,MEDIUM,unverified_with_notes,normal,מילוי ללא
אני נבחר יהוה האחרון למשיחך,excel_import,,False,research_vocabulary,1025,none,deep_research,MEDIUM,unverified_with_notes,normal,משולש
אני נביאך משיחך בימינו ועוד אותיות,excel_import,,False,research_vocabulary,1549,none,deep_research,LOW,unverified_bare,normal,(none)
אני סוד משיח יהוה,excel_import,,True,thematic_corpus,515,none,public_expanded,MEDIUM,verified_default,normal,לפני
אני עבדך משיחך,excel_import,,True,thematic_corpus,535,none,public_expanded,MEDIUM,verified_default,normal,אתבש - פי 5
אני צומח למשיח ישראל,excel_import,,True,thematic_corpus,1134,none,public_expanded,MEDIUM,verified_default,normal,396 - אות שניה
אני צמח המשיח,excel_import,,True,thematic_corpus,562,none,public_expanded,MEDIUM,verified_default,normal,אתבש - אחרי - 3630 - 6440 - רגיל ואתבש - 6600 - רגיל ומסתתר
אני צמח המשיח האמתי,excel_import,,True,thematic_corpus,1018,none,public_expanded,MEDIUM,verified_default,normal,מילוי בלבד גדול - מיקום האות 358 - מילוי 3580
אני צמח המשיח האמתי האחרון,excel_import,,False,research_vocabulary,1288,none,deep_research,MEDIUM,unverified_with_notes,normal,1134 - מילוי =פי 5
אני צמח המשיח מזרע דוד,excel_import,,False,research_vocabulary,893,none,deep_research,MEDIUM,unverified_with_notes,normal,מסתתר
אני צמח המשיח מזרע דוד בזמן הזה,excel_import,,False,research_vocabulary,1009,none,deep_research,MEDIUM,unverified_with_notes,normal,מסתתר
אני צמח המשיח מזרע דוד בימינו,excel_import,,False,research_vocabulary,1011,none,deep_research,MEDIUM,unverified_with_notes,normal,לפני
אני שורש משיח אחרון,excel_import,,True,thematic_corpus,1490,none,public_expanded,MEDIUM,verified_default,normal,אטבח
אנכי משיח אחרון כל אות שניה,excel_import,,False,research_vocabulary,1526,none,deep_research,LOW,unverified_bare,normal,(none)
ארבע שלוש ארבע ∆ (434 = משיח בן דויד),excel_import,,False,research_vocabulary,4456,none,deep_research,LOW,unverified_bare,normal,ארבע שלוש ארבע ∆ (434 = משיח בן דויד)
אשלח לכם את מלך המשיח,excel_import,,False,research_vocabulary,1283,none,deep_research,MEDIUM,unverified_with_notes,normal,רגיל ומלים=פי 5
אשרי המחכה ל1335 -רת,excel_import,,False,research_vocabulary,644,none,deep_research,MEDIUM,unverified_with_notes,normal,אשרי המחכה ל1335 - רת
אשרי המחכה לביאת המשיח,excel_import,,True,thematic_corpus,1395,none,public_expanded,MEDIUM,verified_default,normal,מילוי ללא=פי 5
אשרי המחכה למשיח ל1335-רת --פי 5-אחרי גדול 20160,excel_import,,False,research_vocabulary,3370,none,deep_research,MEDIUM,unverified_with_notes,normal,אשרי המחכה למשיח ל1335 - רת - פי 5 - אחרי גדול 20160
אשרי המשיח האמיתי בא בעתה,excel_import,,False,research_vocabulary,1820,none,deep_research,LOW,unverified_bare,normal,(none)
אשריך אתה המשיח 4240,excel_import,,False,research_vocabulary,18200,none,deep_research,LOW,unverified_bare,normal,אשריך אתה המשיח 4240
את מי בחרת למלך המשיח בזמן הזה - אחרי,excel_import,,False,research_vocabulary,3480,none,deep_research,LOW,unverified_bare,normal,את מי בחרת למלך המשיח בזמן הזה - אחרי
אתגלה כמשיח בעוד שבועיים,excel_import,,True,thematic_corpus,1337,none,public_expanded,MEDIUM,verified_default,normal,(none)
אתגלה כמשיח בשנה הנוכחית,excel_import,,True,thematic_corpus,1673,none,public_expanded,MEDIUM,verified_default,normal,לפני
אתה גואלי האחרון,excel_import,,True,thematic_corpus,726,none,public_expanded,MEDIUM,verified_default,normal,(none)
אתה גואלי האחרון =פי 5 2510-לפני,excel_import,,False,research_vocabulary,3630,none,deep_research,MEDIUM,unverified_with_notes,normal,אתה גואלי האחרון =פי 5 2510 - לפני
אתה המשיח האחרון,excel_import,,True,thematic_corpus,1039,none,public_expanded,MEDIUM,verified_default,normal,אתבש
אתה השליח שלי לגאולה האמתית האחרונה,excel_import,,False,research_vocabulary,2305,none,deep_research,MEDIUM,unverified_with_notes,normal,מילוי
אתה משיחי האחרון,excel_import,,True,thematic_corpus,1044,none,public_expanded,MEDIUM,verified_default,normal,(none)
אתה נבחרי למשיח האחרון,excel_import,,True,thematic_corpus,1334,none,public_expanded,MEDIUM,verified_default,normal,רגיל לפני אחרי =פי 5
אתה נבחרי למשיח האמתי,excel_import,,True,thematic_corpus,1520,none,public_expanded,MEDIUM,verified_default,normal,(none)
אתה נבחרת למשיח בזמן הזה - אחרי =פי 5,excel_import,,False,research_vocabulary,15200,none,deep_research,LOW,unverified_bare,normal,אתה נבחרת למשיח בזמן הזה - אחרי =פי 5
אתה נבחרת למשיח בזמן הזה - משולש,excel_import,,False,research_vocabulary,5900,none,deep_research,LOW,unverified_bare,normal,אתה נבחרת למשיח בזמן הזה - משולש
אתה נבחרת למשיחי -לפני פי 5,excel_import,,False,research_vocabulary,5140,none,deep_research,MEDIUM,unverified_with_notes,normal,אתה נבחרת למשיחי - לפני פי 5
אתה רוצה אותי כמשיחך,excel_import,,True,thematic_corpus,1522,none,public_expanded,MEDIUM,verified_default,normal,משולש
אתה רוצה אותי כמשיחך האחרון,excel_import,,False,research_vocabulary,1792,none,deep_research,MEDIUM,unverified_with_notes,normal,מיקום - פי 5
אתה תהיה המשיח האמיתי האחרון,excel_import,,False,research_vocabulary,1925,none,deep_research,MEDIUM,unverified_with_notes,normal,מילוי - 363 - אות שלישית
אתה תהיה מלך המשיח האמיתי האחרון,excel_import,,False,research_vocabulary,2015,none,deep_research,MEDIUM,unverified_with_notes,normal,477 - אות שניה
אתעבר ברוחו של משיח ביטבת,excel_import,,False,research_vocabulary,2006,none,deep_research,MEDIUM,unverified_with_notes,normal,סופי תיבות
אתעבר ברוחו של משיח בימינו,excel_import,,False,research_vocabulary,1701,none,deep_research,MEDIUM,unverified_with_notes,normal,לפני - 6500 משולש
אתר המשיח כי לה המלוכה,excel_import,,False,research_vocabulary,1135,none,deep_research,MEDIUM,unverified_with_notes,normal,רגיל + מילוי
ב״שית אלף שנין תבוא הגאולה״ = 1692 רגיל !!,excel_import,,False,research_vocabulary,,none,deep_research,LOW,unverified_bare,normal,ב״שית אלף שנין תבוא הגאולה״ = 1692 רגיל !!
בדרגת מלך המשיח,excel_import,,True,thematic_corpus,1062,none,public_expanded,MEDIUM,verified_default,normal,משולש גדול
בוא המשיח עד עת קץ,excel_import,,False,research_vocabulary,1106,none,deep_research,MEDIUM,unverified_with_notes,normal,רגיל ואתבש
בוא משיח שתים אפס אחת חמש,excel_import,,False,research_vocabulary,2015,none,deep_research,MEDIUM,unverified_with_notes,normal,781 - אות שלישית
בזמן הזה משיח,excel_import,,True,thematic_corpus,474,none,public_expanded,MEDIUM,verified_default,normal,(none)
בחמש שבע שבע שש משיח בן יוסף,excel_import,,False,research_vocabulary,2260,none,deep_research,MEDIUM,unverified_with_notes,normal,משולש
בחרת אותי לגואל ישראל האחרון -אחרי,excel_import,,False,research_vocabulary,3580,none,deep_research,MEDIUM,unverified_with_notes,normal,בחרת אותי לגואל ישראל האחרון - אחרי
בחרת את עבדך משיחך,excel_import,,True,thematic_corpus,1485,none,public_expanded,MEDIUM,verified_default,normal,בחרת את עבדך משיחך
בחרתי בך למשיחי ב2015 - מסתתר,excel_import,,False,research_vocabulary,3630,none,deep_research,LOW,unverified_bare,normal,בחרתי בך למשיחי ב2015 - מסתתר
בטו ניסן אהיה בחזקת משיח,excel_import,,False,research_vocabulary,1083,none,deep_research,MEDIUM,unverified_with_notes,normal,מילוי ללא - גדול ואותיות 1738
ביאת אליהו והמשיח בהיסח הדעת,excel_import,,False,research_vocabulary,1398,none,deep_research,MEDIUM,unverified_with_notes,normal,מסתתר - 1212 אטבח
ביאת אליהו והמשיח האמיתי בהיסח הדעת,excel_import,,False,research_vocabulary,1864,none,deep_research,MEDIUM,unverified_with_notes,normal,לפני
ביאת הגאל 1335 1290- גדול ואותיות -לפי אחד,excel_import,,False,research_vocabulary,4340,none,deep_research,MEDIUM,unverified_with_notes,normal,ביאת הגאל 1335 1290 - גדול ואותיות - לפי אחד
ביאת הגואל במוצאי השמיטה הזה,excel_import,,False,research_vocabulary,993,none,deep_research,MEDIUM,unverified_with_notes,normal,משולש
ביאת הגואל במצאי השמיטה הזה,excel_import,,False,research_vocabulary,987,none,deep_research,MEDIUM,unverified_with_notes,normal,ריבוע
ביאת הגואל בשנה הנוכחית,excel_import,,True,thematic_corpus,1314,none,public_expanded,MEDIUM,verified_default,normal,פי 5 - רגיל לפני אחרי
ביאת הגואל האחרון במצאי שמיטה,excel_import,,False,research_vocabulary,1235,none,deep_research,MEDIUM,unverified_with_notes,normal,מדבר רבה
ביאת הגואל האמיתי,excel_import,,True,thematic_corpus,924,none,public_expanded,MEDIUM,verified_default,normal,פי 5 - ריבוע לפני 3480
ביאת הגואל האמיתי האחרון בשנה הבאה,excel_import,,False,research_vocabulary,1564,none,deep_research,MEDIUM,unverified_with_notes,normal,לפני
ביאת הגואל השנה,excel_import,,True,thematic_corpus,818,none,public_expanded,MEDIUM,verified_default,normal,(none)
