id,phrase,source,resolved_corpus_role,dimensions,decision,evidence_notes,in_method_mentions_type,csv_numword_category,csv_yeartime_category
7e2ca998-e626-494e-8826-351ac82c3642,יהוה יערוך נר למשיח ב2015- לפני לפי אחת,excel_import,thematic_corpus,numeric_instruction_suffix|year_time_expression|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש) ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,year_in_phrase
87d3e5af-2ebc-4337-9f8f-67205566eb12,סוד יהוה המספר 1335 בספר דניאל - לפי אחת,excel_import,archival_raw,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
8e305a8f-1225-4edf-a10f-606d2e2b28ca,צמח דוד יקבל דרגת יחידה 11111 ב22 12 -לפי אחת -פי 5,excel_import,research_vocabulary,numeric_instruction_suffix|year_time_expression,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש)",,ambiguous,
8f26c793-06d5-4eee-8c34-a0a681d7d6fa,ביום ההוא יהיה יהוה אחד,excel_import,thematic_corpus,lexical_thematic_content,lexical_thematic_content,"""אחד""/""אחת"" כאן = הד תיאולוגי (שמע-ישראל ""ה' אחד""), לא בנייה מספרית — false positive של סורק המספרים-במילים",,ambiguous,
8fb0c065-74d1-481f-9b7f-27c8f98f5dcb,עד עת קץ 1335-גדול ומלים-לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
9252dc31-1d86-4311-9d3e-452d39c8c2df,מלך המשיח 11111- אחרי -לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,
9a9af1c4-7f7e-4658-a60a-0fd7596d14ba,ביאת המשיח 1335 1290- לפי אחד - אתבש,excel_import,research_vocabulary,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-research_instruction",research_instruction,ambiguous,
aefcfc94-6a02-4ff9-af98-3b40103ca28c,צמח דוד ב1335-אתבש -לפי אחד,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
af442225-bf44-40f8-aac7-0ec096b9c252,ביאת הגאל 1335 1290- גדול ואותיות -לפי אחד,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
b4c49f0e-c69c-4023-8f24-fd280013cf27,סוד מלאך דניאל 1335 1290- לפני -לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,
b54029f9-9f7f-4148-bb03-961e2646cb56,סודך 1290 ו1335-אתבש לפי אחד,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
b5b79781-8a69-4164-807b-f140f51fb083,התגלות צמח דוד ב22 12 - מסתתר לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|year_time_expression|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש) ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
ba9536f8-de36-4bba-bcc6-067740f0c9af,מתי אתגלה ב22 12 -רת-לפי אחת,excel_import,personal_or_restricted,numeric_instruction_suffix|year_time_expression|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש) ; מופיע גם ב-Method Mentions כ-candidate_method",candidate_method,ambiguous,
bcb1da81-dd3c-46d2-b057-3cfb3629a9d1,סוד דניאל הנביא 1335- סת - לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-candidate_method",candidate_method,ambiguous,
c47cb51e-a3a9-49d8-adf4-76767e32bf49,התגלות אליהו הנביא פלאית ב22 12 - לפי אחד,excel_import,archival_raw,numeric_instruction_suffix|year_time_expression,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש)",,ambiguous,
c582a964-5b96-4936-a602-a7de9b9ff541,אבקר בהילכך ב22 12 - לפני - לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|year_time_expression|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש) ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,
c6ebaeb0-79af-49e9-b80e-b5cdb6f3ed5d,המשיח יקבל דרגת יחידה 11111 ב22 12 -לפי אחת -פי 5,excel_import,research_vocabulary,numeric_instruction_suffix|year_time_expression,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש)",,ambiguous,
cc251802-2f3d-4960-b5de-f44ecfbe5df4,דרגת קודש 11111 -7170-מילוי רגיל -לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-multi_method_instruction",multi_method_instruction,ambiguous,
d01b965b-e192-4a82-aaaa-6353837506a2,המשיח 1335 1290-לפני -לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,
deb9036c-7338-44bb-b58b-32cd912d5152,11111 דרגת משיח -- אטבח -66 אטבח לפי אחת,excel_import,archival_raw,numeric_instruction_suffix|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מופיע גם ב-Method Mentions כ-method_result_claim",method_result_claim,ambiguous,
e09928d1-b54c-443c-9877-acffd7e80c06,אלף שלש מאות שלשים וחמשה 1335 -לפי אחד,excel_import,numeric_word_construct,numeric_instruction_suffix|numeric_word_construct,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; כבר סווג ב-Master כ-numeric_word_construct (רשימת/רצף מספרים אמיתי)",,ambiguous,
eab7fd69-4722-4ebf-bf95-91a0b9574eab,יהוה יצמיח קרן לדוד ב2015 - לפי אחת - אחרי,excel_import,archival_raw,numeric_instruction_suffix|year_time_expression|method_instruction,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש) ; מופיע גם ב-Method Mentions כ-lexical_use",lexical_use,ambiguous,year_in_phrase
f333e9e9-5bea-4447-b208-867e84db5d02,11111 דרגת היחידה- לפי אחת,excel_import,archival_raw,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
f50b84b3-ec4b-4904-a710-5860590ebe91,משיח יהוה יקבל דרגת יחידה 11111-לפי אחת,excel_import,research_vocabulary,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
f65d764a-effc-4241-8601-02259e906b10,התגלות פלאית ב22 12 - לפי אחד,excel_import,archival_raw,numeric_instruction_suffix|year_time_expression,multiple_valid_dimensions,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה ; מכיל תבנית שנה/תאריך (4 ספרות 19xx/20xx, או יום-חודש)",,ambiguous,
f9e19f2e-cc09-4f67-a4d5-56c580eb2679,יהוה אחד בימינו,excel_import,thematic_corpus,lexical_thematic_content,lexical_thematic_content,"""אחד""/""אחת"" כאן = הד תיאולוגי (שמע-ישראל ""ה' אחד""), לא בנייה מספרית — false positive של סורק המספרים-במילים",,ambiguous,
fc54d775-3910-434d-bfe5-38cd589dcd01,לי הדרגת 11111 - לפי אחד,excel_import,personal_or_restricted,numeric_instruction_suffix,numeric_instruction_suffix,"""לפי אחד/אחת/שלוש"" = תבנית-הוראה חוזרת (קרוב ל""פי X""), לא ערך-מספרי כשלעצמו ולא תיאולוגיה",,ambiguous,
b1b066ad-03d9-4899-8e68-3154b5f0e2f2,אחד,entity_seed_v1,thematic_corpus,lexical_thematic_content,lexical_thematic_content,"""אחד""/""אחת"" כאן = הד תיאולוגי (שמע-ישראל ""ה' אחד""), לא בנייה מספרית — false positive של סורק המספרים-במילים",,ambiguous,
851b4457-bdce-4ed3-b779-1f6bc7193fb6,ביום ההוא יהיה יהוה אחד ושמו אחד,contribution:צבי (OPOC),research_vocabulary,lexical_thematic_content,lexical_thematic_content,"""אחד""/""אחת"" כאן = הד תיאולוגי (שמע-ישראל ""ה' אחד""), לא בנייה מספרית — false positive של סורק המספרים-במילים",,ambiguous,
1b702d00-047e-4fb0-8837-e998960e09d8,יהוה אחד,זכריה יד:ט — ביום ההוא יהיה יהוה אחד ושמו אחד,public_core,lexical_thematic_content,lexical_thematic_content,"""אחד""/""אחת"" כאן = הד תיאולוגי (שמע-ישראל ""ה' אחד""), לא בנייה מספרית — false positive של סורק המספרים-במילים",,ambiguous,
