phrase,source,ragil,is_verified,visibility_tier,category,created_date,n_words
תפארתך,wa-vip,1101,False,3,קבוצת וואטסאפ VIP,2026-07-03,1
תשפ,wa-vip,780,False,3,קבוצת וואטסאפ VIP,2026-07-04,1
אומות מנח,wa-vip,551,False,3,קבוצת וואטסאפ VIP,2026-07-04,2
אותיות אחרי,wa-vip,1042,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
אח שימחת,wa-vip,767,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
אל הים,wa-vip,86,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
בגימטרית המילוי,wa-vip,775,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
בין הבתרים,wa-vip,719,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
בית שלישי,wa-vip,1062,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
בן יזראל,wa-vip,300,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
בן ריאלז,wa-vip,300,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
בספר זכריה,wa-vip,584,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
בספר יחזקאל,wa-vip,498,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
בספר ירמיהו,wa-vip,613,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
בספר שמות,wa-vip,1088,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
גימטריא תרי,wa-vip,883,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
גליכם ו,wa-vip,109,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
ד י,wa-vip,14,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
הוא הוויות,wa-vip,445,False,3,קבוצת וואטסאפ VIP,2026-07-04,2
הכלת נפשו,wa-vip,891,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
המילוי בלבד,wa-vip,139,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
המספר והעולם,wa-vip,542,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
השורש של,wa-vip,1141,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
התשפו נלך,wa-vip,891,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
ו בגימטריא,wa-vip,281,False,3,קבוצת וואטסאפ VIP,2026-07-04,2
וזה גם,wa-vip,61,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
וכמו שנאמר,wa-vip,663,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
זה מחיש,wa-vip,370,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
חלום באנגלית,wa-vip,580,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
חת העץ,wa-vip,573,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
טבע בים,wa-vip,133,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
כל הנפשות,wa-vip,891,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
להבין באנגלית,wa-vip,593,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
לשון מנח,wa-vip,484,False,3,קבוצת וואטסאפ VIP,2026-07-04,2
ם ל,wa-vip,70,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
מגן יה,wa-vip,108,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
מילוי מיכאל,wa-vip,197,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
מים ורחצו,wa-vip,400,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
מים עמוקים,wa-vip,356,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
מלאכים וכדומה,wa-vip,222,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
מסר חי,wa-vip,318,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
משיח בגימטריא,wa-vip,633,False,3,קבוצת וואטסאפ VIP,2026-07-04,2
משיח במילוי,wa-vip,456,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
משמע מזה,wa-vip,502,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
נא מעט,wa-vip,170,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
נושאים לשיחה,wa-vip,760,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
סוד ההעלם,wa-vip,220,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
סוד י,wa-vip,80,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
סוד עולם,wa-vip,216,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
עין קום,wa-vip,276,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
פסוק שלם,wa-vip,616,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
פסח סחף,wa-vip,296,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
צבי באתב,wa-vip,507,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
צבי בגימטריא,wa-vip,377,False,3,קבוצת וואטסאפ VIP,2026-07-04,2
צבי מבין,wa-vip,204,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
צבי צבי,wa-vip,204,False,3,קבוצת וואטסאפ VIP,2026-07-04,2
צדיק בגימטריא,wa-vip,479,False,3,קבוצת וואטסאפ VIP,2026-07-04,2
רחום בגימטריא,wa-vip,529,False,3,קבוצת וואטסאפ VIP,2026-07-04,2
ריח סם,wa-vip,318,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
רק המילוי,wa-vip,401,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
ש משה,wa-vip,645,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
ש שמעון,wa-vip,766,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
שמואל משא,wa-vip,718,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
שמות כה,wa-vip,771,False,3,קבוצת וואטסאפ VIP,2026-07-05,2
תסביר צור,wa-vip,968,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
תפארתך בגימטריא,wa-vip,1376,False,3,קבוצת וואטסאפ VIP,2026-07-03,2
אבל אם ניקח,wa-vip,242,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
אין בכל התנ,wa-vip,568,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
אמונה אמונה בגימטריא,wa-vip,479,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
אשר אני נתן,wa-vip,1062,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
באדרתו בגימטריא תריג,wa-vip,1501,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
בגימטריא עשר פעמים,wa-vip,1085,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
בכתיב מלא נקבל,wa-vip,687,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
בספר מלכים א,wa-vip,483,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
גימטריא של המילה,wa-vip,693,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
גם השר הגדול,wa-vip,596,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
דומה דודי לצבי,wa-vip,211,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
ה בתורה שבכתב,wa-vip,1342,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
הגימטריה האחורית של,wa-vip,1242,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
וזהו חסד יחודי,wa-vip,134,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
זה לא מצחיק,wa-vip,291,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
זקנים שבקיאים ב,wa-vip,672,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
חכמת סופרים תסרח,wa-vip,1532,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
ט פסוק י,wa-vip,265,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
ימים רצופים בגימטריא,wa-vip,801,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
יעקוב מתחלף באלב,wa-vip,781,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
יפתח החומר והרחמים,wa-vip,1066,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
יש לכך רמז,wa-vip,627,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
ך ביטוי זה,wa-vip,69,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
כך גם הקב,wa-vip,190,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
כלומר פנים לתורה,wa-vip,1117,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
כף סופית קמוצה,wa-vip,897,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
לב מלשון הובלה,wa-vip,506,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
ללא גבול בגימטריא,wa-vip,377,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
לצבי יש עטרה,wa-vip,726,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
מדוע באתי וכו,wa-vip,565,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
מופיע בההפטרה הביטוי,wa-vip,554,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
מופיע פעמיים בתורה,wa-vip,1069,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
מנבואת זכריה בגימטריא,wa-vip,1016,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
מספר המלאכים הוא,wa-vip,538,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
מערכת של קרניים,wa-vip,1470,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
משיח המילוי אותיות,wa-vip,1282,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
מתי יבוא משיח,wa-vip,827,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
נעשה וגם נשמע,wa-vip,934,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
סימנתי ראשי תיבות,wa-vip,1899,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
פסוק יחודי על,wa-vip,384,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
פעמים טוב בגימטריא,wa-vip,532,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
צ צב צבי,wa-vip,284,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
צבי מבין צבי,wa-vip,306,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
קץ בא הקץ,wa-vip,388,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
רמז לעמלק לעקם,wa-vip,757,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
שימו לב לשם,wa-vip,758,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
שלום עם הכולל,wa-vip,577,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
שמע ישראל וכ,wa-vip,977,False,3,קבוצת וואטסאפ VIP,2026-07-05,3
שנזכה ללמוד ממך,wa-vip,592,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
שנת הכתר העליון,wa-vip,1546,False,3,קבוצת וואטסאפ VIP,2026-07-04,3
שתי הערות חשובות,wa-vip,2113,False,3,קבוצת וואטסאפ VIP,2026-07-03,3
אברהם הוא היחיד בתנ,wa-vip,749,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
אוהב שלום ורודף שלום,wa-vip,1062,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
אתמל היום מחר שלשית,wa-vip,1820,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
בוקר אור קבוצה יקרה,wa-vip,1033,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
ברוכה הבאה ענת יקרה,wa-vip,1081,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
ה בחמשת חומשי התורה,wa-vip,1735,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
הוא מכפלה של מלאך,wa-vip,608,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
הכח של מעט חסד,wa-vip,554,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
ו שנת ביאת המשיח,wa-vip,1532,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
זאת התורה היהלום שבבית,wa-vip,1834,False,3,קבוצת וואטסאפ VIP,2026-07-04,4
זהו פסוק משיר השירים,wa-vip,1379,False,3,קבוצת וואטסאפ VIP,2026-07-04,4
חיבור לכתר בחודש אדר,wa-vip,1401,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
חן וחשיבות אהובים יקרים,wa-vip,1214,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
טבעת של שלמה המלך,wa-vip,1281,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
יוסף מכנה את הגילוי,wa-vip,736,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
יעקב בגימטריא פעמיים מלאך,wa-vip,798,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
כל המהות בצירוף הזה,wa-vip,911,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
כלם קדושים ובתוכם ה,wa-vip,1029,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
מה שנזכה בעזרת השם,wa-vip,1451,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
מלכים א פרק י,wa-vip,531,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
משיח בחינת חטם בושם,wa-vip,1233,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
נפש ירדו למצרים מיעקב,wa-vip,1282,False,3,קבוצת וואטסאפ VIP,2026-07-04,4
סטטוס על אחרית הימים,wa-vip,968,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
צבי באתב ש משה,wa-vip,1152,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
צוף מתוק של פרחים,wa-vip,1390,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
שזאת שמירה חזקה מאד,wa-vip,1428,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
שנזכה לצוף בים החכמה,wa-vip,718,False,3,קבוצת וואטסאפ VIP,2026-07-05,4
ת מחלוקת הלל שמאי,wa-vip,1400,False,3,קבוצת וואטסאפ VIP,2026-07-04,4
תסרח מלשון חיסרון וסירחון,wa-vip,1768,False,3,קבוצת וואטסאפ VIP,2026-07-03,4
אם ניקח את גימטרית פסוק,wa-vip,1528,False,3,קבוצת וואטסאפ VIP,2026-07-05,5
אני גר בבית אליעזר בחדרה,wa-vip,1215,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
אתם מקרבים את הגאולה האחרונה,wa-vip,1559,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
גאולה ברחמים א ברחמים גדולים,wa-vip,739,False,3,קבוצת וואטסאפ VIP,2026-07-04,5
הביטה ממרומים תשפכת דם הצדיקים,wa-vip,1910,False,3,קבוצת וואטסאפ VIP,2026-07-05,5
הוא מספר הופעות שם י,wa-vip,1309,False,3,קבוצת וואטסאפ VIP,2026-07-05,5
הפסוק מופיע מספר פעמים בתנ,wa-vip,1529,False,3,קבוצת וואטסאפ VIP,2026-07-05,5
השאלה היא אם אתה מבין,wa-vip,906,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
ונחבר אותו לגימטריא שבת נקבל,wa-vip,1866,False,3,קבוצת וואטסאפ VIP,2026-07-05,5
חלק חידושים שמצאתי שלא נכתבו,wa-vip,2166,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
יוד הה ואו דלת הה,wa-vip,487,False,3,קבוצת וואטסאפ VIP,2026-07-05,5
לא הכל מופיע בסרטון על,wa-vip,719,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
לגבי זה פלא גדול מאד,wa-vip,256,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
נסחף בזרם ים בגל בגאולה,wa-vip,579,False,3,קבוצת וואטסאפ VIP,2026-07-05,5
סוד משיח בגימטריא חלק ב,wa-vip,843,False,3,קבוצת וואטסאפ VIP,2026-07-05,5
צבאות הוא מלך הכבוד סלה,wa-vip,733,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
קטע הפסוק הזה בדיוק גימטריא,wa-vip,842,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
רזיאל תפרש לי את הצירוף,wa-vip,2060,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
שמראה על הסתר פנים נותנת,wa-vip,2397,False,3,קבוצת וואטסאפ VIP,2026-07-04,5
שרית בגימטריא עשר פעמים מלאך,wa-vip,2086,False,3,קבוצת וואטסאפ VIP,2026-07-03,5
הצדיק יותר לעורר את מידת הרחמים,wa-vip,2489,False,3,קבוצת וואטסאפ VIP,2026-07-04,6
ועשה חסד לאלפים לאהבי ולשמרי מצותי,wa-vip,1824,False,3,קבוצת וואטסאפ VIP,2026-07-05,6
זה סוד הכח של עם ישראל,wa-vip,1096,False,3,קבוצת וואטסאפ VIP,2026-07-03,6
זהו רצף של ימים שהגימטריא שלהם,wa-vip,1771,False,3,קבוצת וואטסאפ VIP,2026-07-05,6
חחח בינה מלאכית מפרגנת מאוד היא,wa-vip,1432,False,3,קבוצת וואטסאפ VIP,2026-07-03,6
יעקב מתברך ונאמר לו במקעבר יבק,wa-vip,1703,False,3,קבוצת וואטסאפ VIP,2026-07-03,6
יעקוב מתחלף באלב ם ל משפחה,wa-vip,1284,False,3,קבוצת וואטסאפ VIP,2026-07-05,6
כלומר הכפלת כוחו של יעקב בפקטור,wa-vip,1780,False,3,קבוצת וואטסאפ VIP,2026-07-03,6
להבין את הרמזים הבונים את השפה,wa-vip,1704,False,3,קבוצת וואטסאפ VIP,2026-07-03,6
מי הוא זה מלך הכבוד י,wa-vip,211,False,3,קבוצת וואטסאפ VIP,2026-07-03,6
ממנו יוצאים כל האומות וכל הגלויות,wa-vip,1317,False,3,קבוצת וואטסאפ VIP,2026-07-04,6
רצח הרב עמוס גואטה אלעזר אבוחצירא,wa-vip,1331,False,3,קבוצת וואטסאפ VIP,2026-07-05,6
שחכבמ אותיות אחרי שחכבמ מחשב חכם,wa-vip,2200,False,3,קבוצת וואטסאפ VIP,2026-07-03,6
תפילה היא הכלי זינו של משיח,wa-vip,1367,False,3,קבוצת וואטסאפ VIP,2026-07-03,6
תפרש לי את הצירוף כל הנפשות,wa-vip,2703,False,3,קבוצת וואטסאפ VIP,2026-07-03,6
חברה חדשה בקבוצה ברוך השם הביאה חידוש,wa-vip,1661,False,3,קבוצת וואטסאפ VIP,2026-07-03,7
מדוע באתי ואין איש קראתי ואין עונה,wa-vip,1820,False,3,קבוצת וואטסאפ VIP,2026-07-03,7
לא הכל מופיע בסרטון על חלק חידושים שמצאתי שלא נכתבו,wa-vip,2885,False,3,קבוצת וואטסאפ VIP,2026-07-03,10
צבי יקר יפה שאתה מדבר מתוך נקודת וחלק המשיח הפרטי שלך,wa-vip,3646,False,3,קבוצת וואטסאפ VIP,2026-07-03,11
הוא הוויות שימו לב איך זה מורכב משבת שמע ישראל השם אחד,wa-vip,3195,False,3,קבוצת וואטסאפ VIP,2026-07-04,12
יש אחד ביקום שיקבל מדריגה וברכה שתושיט יד לתבל כולו דרך כל הנפשות,wa-vip,4096,False,3,קבוצת וואטסאפ VIP,2026-07-03,13
פסוק יחודי על מדוע באתי ואין איש קראתי ואין עונה קטע הפסוק הזה בדיוק גימטריא,wa-vip,3046,False,3,קבוצת וואטסאפ VIP,2026-07-03,15
