# NUMERIC CLAIM LEDGER v2 — re-adjudicated under gematria_db_first_and_enrich_law v3
# DB-first (gematria_words 12,580 anchor phrases) + full registered-method sweep + historical
# operators + system-law transforms + ktiv male/haser expansion (ktiv_male_haser_repair_law v2).
# ORTHOGRAPHIC_CANDIDATE_SPECULATIVE = a GENERATED spelling that happens to hit; per ktiv law it is
# tier-C and is NOT counted as a resolution. Only ATTESTED (corpus-backed) variants resolve.
# source	class	claimed_value	phrase	detail	anchor_note	posts
# TOTALS: ENGINE_MATCH=1579 | NOT_ENGINE_REPRODUCED=1000 | SOURCE_NATIVE_VARIANT=162 | SYSTEM_LAW_APPLICATION=74 | ORTHOGRAPHIC_CANDIDATE_SPECULATIVE=30 | ORTHOGRAPHIC_VARIANT_MATCH_ATTESTED=10 | NEAR_MISS_<=3=9
eq	ENGINE_MATCH	424	דונלד טראמפ	gadol; ragil		40,44,55,86,982,1189,2600
eq	ENGINE_MATCH	67	בינה	gadol; ragil		298,1074,1295,1493,1514
eq	ENGINE_MATCH	626	קליפות	gadol; ragil		179,182,250,1074
eq	ENGINE_MATCH	474	דעת	gadol; ragil		8,1074,1109,1185,1277,1323,1328,1385
eq	ENGINE_MATCH	1333	בנימין נתניהו	gadol		182,250,298
eq	ENGINE_MATCH	776	שלמות	gadol; ragil		133,1086,1349,1354,1368,1388
eq	ENGINE_MATCH	76	בן דויד	ragil		59,1225,1277,1295,1331
eq	ENGINE_MATCH	2756	חמשת אלפים שבע מאות שבעים ושש	ragil		1240,1283,1295,1303,1368,1388
eq	ENGINE_MATCH	239	ברזל	gadol; ragil		1214,1229,1343,1344,1351
eq	ENGINE_MATCH	66	בן דוד	ragil		123,1169,1185,1229,1345,1546
eq	ENGINE_MATCH	70	סוד	gadol; ragil		977,1205,1285,1350,1420,1535
eq	ENGINE_MATCH	718	עני ורוכב על חמור	gadol; ragil		298,1185,1186,1295,1326,1395
eq	ENGINE_MATCH	261	אירן	ragil; ragil_calc		102,123,140,1361,1520
eq	ENGINE_MATCH	717	צמח דוד	kadmi; kadmi_gadol		1171,1185,1277,1317,1514
eq	ENGINE_MATCH	70	גוג ומגוג	gadol; ragil		175,1205,1247,1284,1285
eq	ENGINE_MATCH	72	חסד	gadol; ragil		102,1074,1101,1490
eq	ENGINE_MATCH	676	שער נון	ragil		248,1240,1295,1326,1368,1545
eq	ENGINE_MATCH	333	גרעין	ragil		55,182,250,298,1289
eq	ENGINE_MATCH	1692	חמש שבע שבע שש	gadol; ragil		1276,1306,1308,1331,1356
eq	ENGINE_MATCH	360	צירי הגאולה	gadol; ragil		102,133
eq	ENGINE_MATCH	33	גל	gadol; ragil		298,1125,1239,1295,1490,1654
eq	ENGINE_MATCH	477	בעתה	gadol; ragil		281,1074,1289,1309,1348,1375
eq	ENGINE_MATCH	812	בנימין	gadol		35,182,247,250
eq	ENGINE_MATCH	363	המשיח	gadol; ragil		40,1171,1186,1189,1295,1518
eq	ENGINE_MATCH	240	דולר	gadol; ragil		1340,1343,1344,1351,1359
eq	ENGINE_MATCH	434	משיח בן דויד	ragil		182,247,1185,1283,1306,1375
eq	ENGINE_MATCH	360	עזר כנגדו	gadol; ragil		102,133
eq	ENGINE_MATCH	345	משה	gadol; ragil		182,247,1074,1345,1390
eq	ENGINE_MATCH	318	בלפור	gadol; ragil		247,250
eq	SOURCE_NATIVE_VARIANT	566	הציונות	gadol-1; ragil-1		182,247,250
eq	ENGINE_MATCH	86	הטבע	gadol; ragil		197,1061,1385,1440,1720
eq	ENGINE_MATCH	600	ם	gadol		35,55,250,977,1420
eq	ENGINE_MATCH	37	יחידה	gadol; ragil; siduri		298,1033
eq	ENGINE_MATCH	223	אין עוד מלבדו	ragil; ragil_calc		993,1061,1123,1159,1169
eq	ENGINE_MATCH	552	משיח	misratar; mistater_gadol_calc		28,1074,1186,1229,1295
eq	NOT_ENGINE_REPRODUCED	26	י	ragil=10	value also held by 99 corpus anchor(s) e.g. אבוא(kadmi)	133,968,1189,1309,1762
eq	ENGINE_MATCH	111	הפוך	ragil		10,68,1316,1321,1514
eq	ENGINE_MATCH	90	מלך	ragil		197,298,1205,1520
eq	ENGINE_MATCH	1331	משיח	kadmi; kadmi_gadol		15,298,1186,1338,1345
eq	ENGINE_MATCH	441	אמת	gadol; gadol_calc; ragil; ragil_calc		8,133,228,1248,1328
eq	ENGINE_MATCH	162	בנימין	ragil		35,86,140,247
eq	ENGINE_MATCH	16	זוג	gadol; ragil; siduri		133
eq	ENGINE_MATCH	983	קרית ארבע	gadol; ragil		1277,1390
eq	ENGINE_MATCH	152	צמח דוד	gadol; ragil		1023,1049,1185,1186
eq	ENGINE_MATCH	861	בית המקדש	gadol; ragil		165,182,1058,1067,1385
eq	ENGINE_MATCH	861	ראש השנה	gadol; ragil		165,182,1058,1067,1281
eq	ENGINE_MATCH	620	כתר	gadol; ragil		1058,1067,1074,1451
eq	ENGINE_MATCH	138	צמח	gadol; ragil		28,44,298,1007
eq	ENGINE_MATCH	453	מלך המשיח	ragil		8,10,977,1333,1420
eq	ENGINE_MATCH	747	משה בן עמרם	ragil		44,50,55,123,1390
eq	ENGINE_MATCH	876	יוסף	gadol		50,250,913,1074
eq	ENGINE_MATCH	120	אליהו הנביא	gadol; gadol_calc; ragil; ragil_calc		1186,1289,1295,1514,1629
eq	ENGINE_MATCH	500	ך	gadol		35,250,977,1420
eq	ENGINE_MATCH	700	ן	gadol		250,977,1248,1420
eq	ENGINE_MATCH	800	ף	gadol; ribua_gadol_calc		35,250,977,1420
eq	ENGINE_MATCH	900	ץ	gadol		35,250,977,1420
eq	NOT_ENGINE_REPRODUCED	1234	תשפד	ragil=784	value also held by 98 corpus anchor(s) e.g. אברהם אבינו(kadmi)	123
eq	ENGINE_MATCH	780	התשע"ה	gadol; ragil		1321,1328,1333,1347
eq	ENGINE_MATCH	2936	תשע"ו	kadmi; kadmi_gadol		1283,1318,1387
eq	NOT_ENGINE_REPRODUCED	1237	תשפא	ragil=781	value also held by 105 corpus anchor(s) e.g. אהבת דוד מלך ישראל חי וקיים(ragil)	1427
eq	ENGINE_MATCH	666	התיקון הכללי	ragil		34,55,123,1074
eq	ENGINE_MATCH	570	מלך	gadol		197
eq	ENGINE_MATCH	239	כי יד על כס יה'	gadol; ragil		1340,1343,1344,1351
eq	ENGINE_MATCH	802	בנימן	gadol		35,123,250,1074
eq	ENGINE_MATCH	111	אלף	ragil; ragil_calc		44,250,1514
eq	ENGINE_MATCH	207	אור	gadol; gadol_calc; ragil; ragil_calc		977,1248,1368,1420
eq	ENGINE_MATCH	340	פרס	gadol; ragil		55,123,247,913
eq	ENGINE_MATCH	541	ישראל	gadol; ragil		44,68,123,1214
eq	ENGINE_MATCH	1000	משיח בן דויד משיח בן יוסף	ragil		44,247,1186,1514
eq	ENGINE_MATCH	651	משיח כבר כאן	ragil		44,913,1074
eq	ENGINE_MATCH	24	דויד	gadol; ragil; siduri		35,97,298,2600
eq	ENGINE_MATCH	52	אליהו	gadol; gadol_calc; ragil; ragil_calc		8,102,1295
eq	ENGINE_MATCH	988	עשרה בטבת	gadol; ragil		1283,1322,1331,1345
eq	ENGINE_MATCH	16	בבואה	gadol; gadol_calc; ragil; ragil_calc; siduri; siduri_calc		133
eq	ENGINE_MATCH	336	פורים	ragil		123,133,1508,1518
eq	ENGINE_MATCH	367	קורונה	gadol; ragil		8,936,1049,1058
eq	ENGINE_MATCH	190	קץ	ragil		1004,1074,1596
eq	ENGINE_MATCH	240	צפע	gadol; ragil		1247,1340,1343,1344
eq	ENGINE_MATCH	749	כיפת ברזל	gadol; ragil		50,182,1074
eq	ENGINE_MATCH	521	פתאם	ragil		182,1074
eq	ENGINE_MATCH	521	שרביט	gadol; ragil		182,1074
eq	ENGINE_MATCH	596	ירושלים	ragil		993,1074,1665
eq	ENGINE_MATCH	832	ארץ ישראל	ragil; ragil_calc		197,250,1390
eq	NOT_ENGINE_REPRODUCED	938	אני ה' בעתה אחישנה	ragil=917	value also held by 37 corpus anchor(s) e.g. אהרן ומשה(misratar)	182,250
eq	ENGINE_MATCH	1000	תיקון המשפט	ragil		165,182,247
eq	ENGINE_MATCH	385	שכינה	gadol; ragil		26,165,1086
eq	SOURCE_NATIVE_VARIANT	683	יום בחירות	ragil+כולל		250,1074
eq	ENGINE_MATCH	812	היום הרת עולם	ragil		35,250
eq	NOT_ENGINE_REPRODUCED	776	ה	ragil=5	value also held by 270 corpus anchor(s) e.g. אגלה אותך בקרוב(ragil)	1368,1388
eq	ENGINE_MATCH	676	משולש	gadol; ragil		1240,1326,1368
eq	ENGINE_MATCH	26	הוי"ה	gadol; ragil; siduri		1163,1368,1388
eq	SYSTEM_LAW_APPLICATION	1	אחת	SPELLED_NUMERAL_IDENTITY		1348
eq	ENGINE_MATCH	666	ליל שמורים	ragil		34,55,123
eq	ENGINE_MATCH	988	אור התשע"ו	gadol; gadol_calc; misratar; mistater_calc; mistater_gadol_calc; ragil; ragil_calc		1322,1345
eq	ENGINE_MATCH	776	הכל מתחבר כאן	ragil		133,1251,1345
eq	ENGINE_MATCH	776	למעני למעני אעשה	gadol; ragil		133,1322,1331
eq	ENGINE_MATCH	13	אחד	gadol; gadol_calc; ragil; ragil_calc; siduri; siduri_calc		17,86,133
eq	ENGINE_MATCH	464	חותים	ragil		28
eq	ENGINE_MATCH	780	תשעה באב	gadol; ragil		1328,1333,1347
eq	NOT_ENGINE_REPRODUCED	222	להים	ragil=85	value also held by 106 corpus anchor(s) e.g. אדמה לעליון(misratar)	982,1198,1720
eq	NOT_ENGINE_REPRODUCED	776	תסיים את דרכה בשנת	ragil=1902	value also held by 270 corpus anchor(s) e.g. אגלה אותך בקרוב(ragil)	1340,1343,1344
eq	ENGINE_MATCH	223	הבריאה	gadol; ragil		993,1061,1123
eq	SYSTEM_LAW_APPLICATION	20	כתר	gadol mod100; ragil mod100; stair_triangle_calc mod100		1074,1451,1545
eq	ENGINE_MATCH	28	כח	gadol; ragil		197,1074
eq	ENGINE_MATCH	844	התגלות	gadol; ragil		133,250
eq	NOT_ENGINE_REPRODUCED	785	אתבש	ragil=703	value also held by 61 corpus anchor(s) e.g. אהוביך הכפלה(kadmi)	35,250
eq	ENGINE_MATCH	613	תרי"ג	gadol; ragil		250,1080
eq	ENGINE_MATCH	207	רז	gadol; ragil		977,1248,1420
eq	ENGINE_MATCH	75	בטחון	ragil		8,197,298
eq	ENGINE_MATCH	96	סוד הויה	gadol; ragil		133,298
eq	ENGINE_MATCH	702	שבת	gadol; ragil		250,298,1295
eq	ENGINE_MATCH	123	ענג	gadol; ragil		298,1074,1309
eq	ENGINE_MATCH	1820	ההסכם שלשים לשישי יכשל	ragil		1345,1347,2600
eq	ENGINE_MATCH	24	ביבי	gadol; misratar; ragil; siduri		35,55,2600
eq	ENGINE_MATCH	247	רמז	gadol; ragil		1049,1420,1753
eq	ENGINE_MATCH	604	משיח בן דוד	misratar		28,102,2600
eq	NOT_ENGINE_REPRODUCED	1236	משיח	ragil=358	value also held by 48 corpus anchor(s) e.g. איש שדה(ribua)	28,1301,1302
eq	ENGINE_MATCH	50	הגאולה	gadol; ragil		10,1185,1225
eq	ENGINE_MATCH	18	חי	gadol; ragil; siduri		102,1186,1518
eq	ENGINE_MATCH	156	יוסף	ragil		982,1382,1767
eq	ENGINE_MATCH	356	אמריקה	gadol; gadol_calc; ragil		197,1340,1359
eq	ENGINE_MATCH	781	התשע"ו	gadol; ragil		1214,1340,1343
eq	ENGINE_MATCH	718	התשובה	gadol; ragil		250,1074
eq	SOURCE_NATIVE_VARIANT	626	הכתר	gadol+כולל; gadol+מילים; ragil+כולל; ragil+מילים		250,1074
eq	SOURCE_NATIVE_VARIANT	749	נבצרות	gadol+כולל; gadol+מילים; ragil+כולל; ragil+מילים		182,1074
eq	ENGINE_MATCH	670	כנרת	gadol; ragil		1074,1252
eq	ENGINE_MATCH	280	פר	gadol; ragil		1074
eq	ENGINE_MATCH	280	סכר	gadol; ragil		1074
eq	ENGINE_MATCH	939	מוצאי שביעית	gadol; ragil		179,182,1074
eq	ENGINE_MATCH	380	מצרים	misratar; ragil		165,1074,1086
eq	ENGINE_MATCH	64	דין	ragil		28,1074
eq	ENGINE_MATCH	749	חמת אש	gadol; ragil		50,182,1074
eq	ENGINE_MATCH	109	דוד המלך	ragil		298,1074,1654
eq	NOT_ENGINE_REPRODUCED	91	הויה אד	ragil=31	value also held by 153 corpus anchor(s) e.g. אהבה וחסד(ragil)	977,1074,1420
eq	ENGINE_MATCH	1202	בראשית ברא אלהים	ragil		182,250
eq	ENGINE_MATCH	318	אליעזר	gadol; gadol_calc; ragil; ragil_calc		247,250
eq	ENGINE_MATCH	673	בנימן נתניהו	ragil		182,250
eq	ENGINE_MATCH	938	הדחת נתניהו	gadol; ragil		182,250
eq	ENGINE_MATCH	938	כח' תשרי	gadol; ragil		182,250
eq	ENGINE_MATCH	318	וישב	gadol; ragil		247,250
eq	ENGINE_MATCH	673	מלך פורץ גדר	ragil		182,250
eq	SYSTEM_LAW_APPLICATION	1000	אלף	SPELLED_NUMERAL_IDENTITY		182,250,1007
eq	ENGINE_MATCH	1000	שר משפיע	gadol; ragil		182,247,250
eq	ENGINE_MATCH	1333	שניאורסון	gadol		182
eq	ENGINE_MATCH	67	יבנה	gadol; ragil		1098,1165,1295
eq	SYSTEM_LAW_APPLICATION	5776	תשע"ו	gadol+5000 millennium-prefix; ragil+5000 millennium-prefix		1349,1382,1390
eq	ENGINE_MATCH	277	גימטריה	gadol; ragil		1186,1399,1770
eq	ENGINE_MATCH	277	עזר	gadol; ragil		1186,1399,1770
eq	ENGINE_MATCH	111	גילוי אליהו	gadol; ragil		1186,1395,1429
eq	ENGINE_MATCH	776	תשעו	gadol; ragil		281,1385,1397
eq	ENGINE_MATCH	50	ים	atbash; fn_milui_only; ragil		10,17,1079
eq	ENGINE_MATCH	222	דיבור	gadol; ragil		982,1198,1720
eq	SYSTEM_LAW_APPLICATION	20	עשרים	SPELLED_NUMERAL_IDENTITY; ragil mod100		1074,1451
eq	ENGINE_MATCH	620	עשרים	ragil		1074,1451
eq	ENGINE_MATCH	844	הקטן יהיה	gadol		250
eq	ENGINE_MATCH	785	עד אשית	gadol; ragil		35,250
eq	SOURCE_NATIVE_VARIANT	613	ז' מר חשון	ragil+2כוללים		250
eq	ENGINE_MATCH	613	משה רבינו	gadol; ragil		250
eq	NOT_ENGINE_REPRODUCED	1334	בחירות רביעיות	ragil=1324	value also held by 29 corpus anchor(s) e.g. אברהם לוט(ribua_gadol)	250
eq	ENGINE_MATCH	207	אין סוף	ragil; ragil_calc		1248,1368
eq	ENGINE_MATCH	2015	שנת התגלות אליהו והמשיח	gadol; ragil		1285,1368
eq	ENGINE_MATCH	776	פריעת חוב	gadol; ragil		1345,1368
eq	ENGINE_MATCH	566	תיקון	ragil		182,247
eq	NOT_ENGINE_REPRODUCED	1237	תשפה	ragil=785	value also held by 105 corpus anchor(s) e.g. אהבת דוד מלך ישראל חי וקיים(ragil)	44,68
eq	NOT_ENGINE_REPRODUCED	588	התשפ"ו	ragil=791	value also held by 86 corpus anchor(s) e.g. אור פנימי(atbash)	44
eq	NOT_ENGINE_REPRODUCED	1237	תשפו	ragil=786	value also held by 105 corpus anchor(s) e.g. אהבת דוד מלך ישראל חי וקיים(ragil)	44
eq	SOURCE_NATIVE_VARIANT	477	בריבוע	albam+3כוללים		1348,1375
eq	ENGINE_MATCH	679	כי לא דבר רק הוא מכם"	ragil		977,1420
eq	ENGINE_MATCH	679	גימטריאות	gadol; ragil		977,1420
eq	ENGINE_MATCH	453	גנת	gadol; ragil		977,1420
eq	ENGINE_MATCH	137	קבלה	gadol; ragil		298
eq	ENGINE_MATCH	414	אור אין סוף	ragil; ragil_calc		298
eq	NOT_ENGINE_REPRODUCED	424	דיויד פרידמן	ragil=418	value also held by 102 corpus anchor(s) e.g. אבל אשמים(ragil)	298,982
eq	ENGINE_MATCH	384	משיח הויה	gadol; ragil		123,1649
eq	ENGINE_MATCH	453	תמוז	gadol; ragil		8,1333
eq	ENGINE_MATCH	75	למה	gadol; ragil		8,197
eq	ENGINE_MATCH	75	מה יהיה	gadol; ragil		8,197
eq	NOT_ENGINE_REPRODUCED	2504	באחרית הימים" אירן אובמה י באב	ragil=1056	value also held by 11 corpus anchor(s) e.g. איפוס השעון(ribua_gadol)	1345,1347
eq	ENGINE_MATCH	1245	אלפיים חמש מאות וארבע	ragil; ragil_calc		1345,1347
eq	NOT_ENGINE_REPRODUCED	5775	התשע"ה	ragil=780	value also held by 1 corpus anchor(s) e.g. התרסקות הבורסה(kadmi)	1345,1347
eq	ENGINE_MATCH	176	מנוף	ragil		1295
eq	ENGINE_MATCH	52	בן	ragil		1295
eq	ENGINE_MATCH	622	הר הבית	gadol; ragil		1295,1665
eq	ORTHOGRAPHIC_CANDIDATE_SPECULATIVE	776	אלהי אברהם אלהי יצחק ואלהי יעקב	GOVERNED_ORTHOGRAPHIC_CANDIDATE «אלהי אברהם אלהי יצחק אלהי יעקב» (ragil)		133,1322
eq	ENGINE_MATCH	776	שובו אלי ואשובה אליכם	ragil		133,1354
eq	ENGINE_MATCH	878	עולם הפוך ראיתי	ragil		102,133
eq	SOURCE_NATIVE_VARIANT	86	להים	ragil+כולל; ragil+מילים		133,1061
eq	NOT_ENGINE_REPRODUCED	247	ר	ragil=200	value also held by 75 corpus anchor(s) e.g. אבן העזר(albam)	1420
eq	ENGINE_MATCH	444	מקדש	gadol; ragil		1328,1331
eq	ENGINE_MATCH	849	פסגת האש	gadol; ragil		28
eq	SOURCE_NATIVE_VARIANT	424	התאגיד	gadol+כולל; gadol+מילים; ragil+כולל; ragil+מילים		1185,1186
eq	SYSTEM_LAW_APPLICATION	11	פלא	fn_milui_only digit-sum; gadol mod100; hakpala_calc digit-sum		1186,1536
eq	SOURCE_NATIVE_VARIANT	1237	תשע"ו	stair_triangle_calc+3כוללים; triangle_reverse_calc+3כוללים		1301,1302
eq	ENGINE_MATCH	63	נובה	gadol; ragil		102
eq	ENGINE_MATCH	97	זמן	ragil		27,102
eq	ENGINE_MATCH	851	בעתה אחישנה	gadol; ragil		102,1248
eq	NOT_ENGINE_REPRODUCED	360	רמזי עזר כנגדו	ragil=617	value also held by 142 corpus anchor(s) e.g. אספתי(albam)	102,140
eq	ENGINE_MATCH	13	אהבה	gadol; gadol_calc; ragil; ragil_calc; siduri; siduri_calc		86,1322
eq	ENGINE_MATCH	873	מהירות האור	gadol; ragil		1086,1545
eq	ENGINE_MATCH	216	גבורה	gadol; ragil		10,1572
eq	ENGINE_MATCH	611	אדום	gadol; gadol_calc		55
eq	ENGINE_MATCH	611	תורה	gadol; ragil		55,139
eq	NEAR_MISS_<=3	555	קדוש קדוש קדוש"	atbash=558(-3)	value also held by 84 corpus anchor(s) e.g. אדם ישר(ragil)	1128,1130
eq	NOT_ENGINE_REPRODUCED	11	ארץ ארץ ארץ"	ragil=873	value also held by 61 corpus anchor(s) e.g. אבד(ribua)	1128,1130
eq	NOT_ENGINE_REPRODUCED	999	עוה עוה עוה"	ragil=243	value also held by 54 corpus anchor(s) e.g. א קצבמן(miluy)	1128,1130
eq	NOT_ENGINE_REPRODUCED	8	קו לקו קו לקו	ragil=484	value also held by 55 corpus anchor(s) e.g. אבא(ribua)	1128,1130
eq	SYSTEM_LAW_APPLICATION	6	זעיר שם זעיר שם	triangle_word_calc mod100		1128,1130
eq	NOT_ENGINE_REPRODUCED	575	דוד בן ישי	ragil=386	value also held by 58 corpus anchor(s) e.g. אור חשך(atbash)	1128,1130
eq	ENGINE_MATCH	502	בראק חוסיין אובאמה	ragil		1251,1284
eq	ENGINE_MATCH	800	שנת הגאולה	gadol; ragil		1284,1385
eq	NOT_ENGINE_REPRODUCED	314	י	ragil=10	value also held by 74 corpus anchor(s) e.g. אגס(miluy)	1163,1388
eq	ENGINE_MATCH	356	ברק אובמה	gadol; ragil		1340,1359
eq	ENGINE_MATCH	356	שנאה	gadol; ragil		1340,1359
eq	ENGINE_MATCH	356	כופרים	ragil		1340,1359
eq	ENGINE_MATCH	781	מלחמות יה בעמלק	gadol; ragil		1340,1343
eq	NOT_ENGINE_REPRODUCED	781	וה ילחם עם איתני הטבע	ragil=766	value also held by 103 corpus anchor(s) e.g. אבות(atbash)	1340,1343
eq	NOT_ENGINE_REPRODUCED	781	ה האלהים	ragil=96	value also held by 103 corpus anchor(s) e.g. אבות(atbash)	1340,1343
eq	ENGINE_MATCH	781	דויד מלך ישראל ואליהו הנביא	ragil		1340,1343
eq	ENGINE_MATCH	781	המקדש ירד בימינו	gadol; ragil		1340,1343
eq	ENGINE_MATCH	477	בעתה"	gadol; ragil		1488,1718
eq	SYSTEM_LAW_APPLICATION	5	גאולה	miluy mod100		1007
eq	SYSTEM_LAW_APPLICATION	1400	דוד	aiq_bekar_calcx10 decimal-scaling		1004,1007
eq	ENGINE_MATCH	152	ביצים	ragil		1023,1049
eq	ENGINE_MATCH	424	תרנגול	misratar		1023,1049
eq	ENGINE_MATCH	26	הויה	gadol; ragil; siduri		1058,1067
eq	ENGINE_MATCH	1234	התגלות השכינה	gadol; ragil		17,248
eq	NOT_ENGINE_REPRODUCED	239	כידוע אנו מזכירים הרבה את עניין הברזל	ragil=1541	value also held by 51 corpus anchor(s) e.g. אומלל(ribua)	1214,1304
eq	ENGINE_MATCH	240	אל אחר	gadol; gadol_calc; ragil; ragil_calc		1343,1344
eq	ENGINE_MATCH	220	טהור	gadol; ragil		1074
eq	ENGINE_MATCH	220	וירד	gadol; ragil		1074
eq	ENGINE_MATCH	1100	מסתתר	gadol; ragil		250,1074
eq	ENGINE_MATCH	713	אלף ארבעים וארבע	ragil; ragil_calc		1074
eq	ENGINE_MATCH	713	תשובה	gadol; ragil		1074,1080
eq	SYSTEM_LAW_APPLICATION	1044	אלף ארבעים וארבע	SPELLED_NUMERAL_IDENTITY		1074
eq	ENGINE_MATCH	227	זכר	gadol; ragil		1074,1392
eq	ENGINE_MATCH	226	טבריה	gadol; ragil		1074,1252
eq	ENGINE_MATCH	226	צפון	ragil		1074,1347
eq	ENGINE_MATCH	550	אליהו הנביא ומשיח בן דוד	ragil; ragil_calc		1074,1171
eq	ENGINE_MATCH	1202	תורה נביאים כתובים	ragil		182,1074
eq	ENGINE_MATCH	277	זרע	gadol; ragil		1074
eq	ENGINE_MATCH	277	יצחק אבינו	gadol; ragil		1074
eq	ENGINE_MATCH	280	מנצפך	ragil		1074
eq	ENGINE_MATCH	335	פרה אדמה	gadol; ragil		250,1074
eq	ENGINE_MATCH	1026	השר נתניהו	gadol; ragil		250,1074
eq	ENGINE_MATCH	696	שמשון	ragil		50,1074
eq	ENGINE_MATCH	651	תרומה	gadol; ragil		913,1074
eq	ENGINE_MATCH	651	אלה פקודי המשכן	ragil; ragil_calc		913,1074
eq	NOT_ENGINE_REPRODUCED	651	ה' ילחם לכם ואתם	ragil=630	value also held by 62 corpus anchor(s) e.g. אבוקדו(kadmi)	913,1074
eq	SOURCE_NATIVE_VARIANT	651	עלינו לשבח לאדון הכל	ragil-1		913,1074
eq	ENGINE_MATCH	919	הירדן	gadol		247,1074
eq	SOURCE_NATIVE_VARIANT	521	אלה המשפטים	ragil+כולל; ragil_calc+כולל		1074
eq	ENGINE_MATCH	352	סכר דגניה	gadol; ragil		1074
eq	SOURCE_NATIVE_VARIANT	876	אין עוד מלבדו	gadol+3כוללים; gadol+מילים; gadol_calc+3כוללים; gadol_calc+מילים		913,1074
eq	ENGINE_MATCH	274	מרדכי	gadol; ragil		1074
eq	ENGINE_MATCH	274	נווה אור	gadol; ragil		1074
eq	ENGINE_MATCH	474	ערב רב	gadol; ragil		1074,1109
eq	ENGINE_MATCH	208	יצחק	gadol; ragil		1074
eq	ENGINE_MATCH	208	ארבה	gadol; gadol_calc; ragil; ragil_calc		1074
eq	ENGINE_MATCH	208	הבאר	gadol; ragil		1074
eq	NOT_ENGINE_REPRODUCED	208	צלפחד	ragil=212	value also held by 97 corpus anchor(s) e.g. אסור עשה(albam)	1074
eq	ENGINE_MATCH	893	מואב מול בית פעור	gadol; ragil		1074,1390
eq	SOURCE_NATIVE_VARIANT	670	פנחס רוטנברג	gadol+2כוללים; gadol+מילים; ragil+2כוללים; ragil+מילים		1074
eq	ENGINE_MATCH	208	ארה"ב	gadol; gadol_calc; ragil; ragil_calc		1033,1074
eq	ENGINE_MATCH	661	תיקון הכללי	ragil		1074,1284
