# content_old vs content delta layer — all 510 residual posts where the two differ.
# Verified outcome: 467 media/URL migration only, 35 media-shortcode removal, 5 whitespace,
# 2 embedder-title metadata loss (posts 231, 1034), 1 genuine semantic rewrite with material
# loss (post 1079 / wp19498) where 79 claim-strings survive ONLY in content_old.
# post	wp	class	old_len	new_len	delta	similarity	urls_removed	urls_added	claims_only_in_old
1198	10732	MEDIA_URL_MIGRATION_ONLY	4348	4348	0	1.0	57	17	0
1201	9772	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	88	11	0
1202	9761	MEDIA_URL_MIGRATION_ONLY	21	21	0	1.0	54	6	0
1203	9745	MEDIA_URL_MIGRATION_ONLY	315	315	0	1.0	2	1	0
1204	9719	MEDIA_URL_MIGRATION_ONLY	101	101	0	1.0	20	2	0
1205	9710	MEDIA_URL_MIGRATION_ONLY	3625	3625	0	1.0	29	3	0
1206	9708	MEDIA_URL_MIGRATION_ONLY	222	222	0	1.0	2	1	0
1207	9690	MEDIA_URL_MIGRATION_ONLY	4	4	0	1.0	45	5	0
1208	9681	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	54	6	0
1209	9675	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	27	3	0
1210	9666	MEDIA_URL_MIGRATION_ONLY	13	13	0	1.0	54	6	0
1211	9658	MEDIA_URL_MIGRATION_ONLY	5278	5278	0	1.0	7	1	0
1215	9604	MEDIA_URL_MIGRATION_ONLY	124	124	0	1.0	6	2	0
1216	9593	MEDIA_URL_MIGRATION_ONLY	14	14	0	1.0	9	1	0
1217	9570	MEDIA_URL_MIGRATION_ONLY	23	23	0	1.0	90	10	0
1219	9521	MEDIA_URL_MIGRATION_ONLY	4150	4150	0	1.0	6	2	0
1221	9511	MEDIA_URL_MIGRATION_ONLY	373	373	0	1.0	16	4	0
1227	9442	MEDIA_URL_MIGRATION_ONLY	2316	2316	0	1.0	7	2	0
1229	9377	MEDIA_URL_MIGRATION_ONLY	1983	1983	0	1.0	14	2	0
1235	9315	MEDIA_URL_MIGRATION_ONLY	857	857	0	1.0	21	3	0
1237	9298	MEDIA_URL_MIGRATION_ONLY	323	323	0	1.0	8	2	0
1239	9257	MEDIA_URL_MIGRATION_ONLY	1338	1338	0	1.0	60	8	0
1240	9219	MEDIA_URL_MIGRATION_ONLY	434	434	0	1.0	60	8	0
1241	9216	MEDIA_URL_MIGRATION_ONLY	3242	3242	0	1.0	29	4	0
1242	9201	MEDIA_URL_MIGRATION_ONLY	586	586	0	1.0	18	2	0
1243	9190	MEDIA_URL_MIGRATION_ONLY	426	426	0	1.0	8	1	0
1244	9180	MEDIA_URL_MIGRATION_ONLY	637	637	0	1.0	9	2	0
1247	9075	MEDIA_URL_MIGRATION_ONLY	1529	1529	0	1.0	6	1	0
1251	7429	MEDIA_URL_MIGRATION_ONLY	5758	5758	0	1.0	37	7	0
1254	7376	MEDIA_URL_MIGRATION_ONLY	488	488	0	1.0	34	5	0
1255	7358	MEDIA_URL_MIGRATION_ONLY	21402	21402	0	1.0	39	38	0
1257	7329	MEDIA_URL_MIGRATION_ONLY	276	276	0	1.0	18	3	0
1258	7282	MEDIA_URL_MIGRATION_ONLY	51	51	0	1.0	100	19	0
1259	7264	MEDIA_URL_MIGRATION_ONLY	932	932	0	1.0	20	4	0
1261	7212	MEDIA_URL_MIGRATION_ONLY	636	636	0	1.0	25	5	0
1262	7188	MEDIA_URL_MIGRATION_ONLY	209	209	0	1.0	14	3	0
1263	7185	MEDIA_URL_MIGRATION_ONLY	632	632	0	1.0	37	6	0
1264	7167	MEDIA_URL_MIGRATION_ONLY	147	147	0	1.0	45	5	0
1267	7063	MEDIA_URL_MIGRATION_ONLY	2038	2038	0	1.0	1	1	0
1268	7042	MEDIA_URL_MIGRATION_ONLY	346	346	0	1.0	11	2	0
1269	7019	MEDIA_URL_MIGRATION_ONLY	9556	9556	0	1.0	8	1	0
1273	6836	MEDIA_URL_MIGRATION_ONLY	1760	1760	0	1.0	11	2	0
1275	6794	MEDIA_URL_MIGRATION_ONLY	1719	1719	0	1.0	9	1	0
1276	6745	MEDIA_URL_MIGRATION_ONLY	4436	4436	0	1.0	26	5	0
1277	6684	MEDIA_URL_MIGRATION_ONLY	2497	2497	0	1.0	41	8	0
1281	6600	MEDIA_URL_MIGRATION_ONLY	885	885	0	1.0	15	3	0
1282	6578	MEDIA_URL_MIGRATION_ONLY	1239	1239	0	1.0	5	1	0
1283	6556	MEDIA_URL_MIGRATION_ONLY	2761	2761	0	1.0	35	5	0
1284	6500	MINOR_TEXT_EDIT	4292	4272	-20	0.9977	28	7	0
1285	6463	MEDIA_URL_MIGRATION_ONLY	1334	1334	0	1.0	36	6	0
1289	6262	MEDIA_URL_MIGRATION_ONLY	1114	1114	0	1.0	7	2	0
1290	6225	MEDIA_URL_MIGRATION_ONLY	2859	2859	0	1.0	14	6	0
1291	6203	MEDIA_URL_MIGRATION_ONLY	274	274	0	1.0	11	4	0
1292	6174	MEDIA_URL_MIGRATION_ONLY	550	550	0	1.0	3	2	0
1294	6132	MEDIA_URL_MIGRATION_ONLY	3441	3441	0	1.0	2	2	0
1295	6106	MEDIA_URL_MIGRATION_ONLY	6641	6641	0	1.0	109	18	0
1299	6050	MEDIA_URL_MIGRATION_ONLY	3957	3957	0	1.0	2	2	0
1301	6025	MEDIA_URL_MIGRATION_ONLY	21794	21794	0	1.0	6	1	0
1303	5935	MEDIA_URL_MIGRATION_ONLY	432	432	0	1.0	1	1	0
1304	5917	MEDIA_URL_MIGRATION_ONLY	7002	7002	0	1.0	37	6	0
1305	5854	MEDIA_URL_MIGRATION_ONLY	2279	2279	0	1.0	1	1	0
1306	5838	MEDIA_URL_MIGRATION_ONLY	463	463	0	1.0	24	5	0
1308	5791	MEDIA_URL_MIGRATION_ONLY	4402	4402	0	1.0	9	2	0
1309	5746	MEDIA_URL_MIGRATION_ONLY	3889	3889	0	1.0	37	9	0
1310	5684	MEDIA_URL_MIGRATION_ONLY	1432	1432	0	1.0	9	7	0
1311	5678	MEDIA_URL_MIGRATION_ONLY	24437	24437	0	1.0	2	2	0
1315	5511	MEDIA_URL_MIGRATION_ONLY	595	595	0	1.0	4	5	0
1316	5497	MEDIA_URL_MIGRATION_ONLY	3649	3649	0	1.0	4	1	0
1318	5467	MEDIA_URL_MIGRATION_ONLY	1052	1052	0	1.0	16	4	0
1319	5451	MEDIA_URL_MIGRATION_ONLY	263	263	0	1.0	6	2	0
1321	5405	MEDIA_URL_MIGRATION_ONLY	993	993	0	1.0	8	2	0
1322	5383	MEDIA_URL_MIGRATION_ONLY	2282	2282	0	1.0	30	6	0
1323	5366	MEDIA_URL_MIGRATION_ONLY	2456	2456	0	1.0	9	4	0
1326	5221	MEDIA_URL_MIGRATION_ONLY	3339	3339	0	1.0	59	12	0
1328	5195	MEDIA_URL_MIGRATION_ONLY	1232	1232	0	1.0	11	3	0
1331	5117	MEDIA_URL_MIGRATION_ONLY	5398	5398	0	1.0	76	17	0
1333	5077	MEDIA_URL_MIGRATION_ONLY	18154	18154	0	1.0	4	1	0
1334	5069	MEDIA_URL_MIGRATION_ONLY	314	314	0	1.0	6	3	0
1335	5051	MEDIA_URL_MIGRATION_ONLY	3147	3147	0	1.0	13	3	0
1338	4918	MEDIA_URL_MIGRATION_ONLY	2629	2629	0	1.0	11	8	0
1339	4889	MEDIA_URL_MIGRATION_ONLY	5202	5202	0	1.0	6	1	0
1340	4854	MEDIA_URL_MIGRATION_ONLY	3071	3071	0	1.0	7	1	0
1341	4786	MEDIA_URL_MIGRATION_ONLY	1115	1115	0	1.0	20	6	0
1345	4699	MEDIA_URL_MIGRATION_ONLY	16730	16730	0	1.0	121	24	0
1346	4691	MEDIA_URL_MIGRATION_ONLY	2228	2228	0	1.0	10	2	0
1347	4561	MEDIA_URL_MIGRATION_ONLY	4897	4897	0	1.0	84	15	0
1350	4494	MEDIA_URL_MIGRATION_ONLY	610	610	0	1.0	12	2	0
1352	4418	MEDIA_URL_MIGRATION_ONLY	1240	1240	0	1.0	5	3	0
1353	4408	MEDIA_URL_MIGRATION_ONLY	127	127	0	1.0	9	1	0
1354	4372	MEDIA_URL_MIGRATION_ONLY	6081	6081	0	1.0	23	4	0
1356	4281	MEDIA_URL_MIGRATION_ONLY	13579	13579	0	1.0	33	23	0
1359	4203	MEDIA_URL_MIGRATION_ONLY	1046	1046	0	1.0	5	1	0
1360	4088	MEDIA_URL_MIGRATION_ONLY	16961	16961	0	1.0	18	2	0
1361	4021	MEDIA_URL_MIGRATION_ONLY	10720	10720	0	1.0	26	4	0
1362	4000	MEDIA_URL_MIGRATION_ONLY	325	325	0	1.0	5	1	0
1365	3893	MEDIA_URL_MIGRATION_ONLY	1111	1111	0	1.0	6	1	0
1367	3874	MEDIA_URL_MIGRATION_ONLY	5094	5094	0	1.0	16	2	0
1368	3871	MEDIA_URL_MIGRATION_ONLY	26000	26000	0	1.0	116	23	0
1370	3789	MEDIA_URL_MIGRATION_ONLY	773	773	0	1.0	19	3	0
1371	3749	MEDIA_URL_MIGRATION_ONLY	12054	12054	0	1.0	15	3	0
1372	3570	MEDIA_URL_MIGRATION_ONLY	2859	2859	0	1.0	21	8	0
1373	3697	MEDIA_URL_MIGRATION_ONLY	9306	9306	0	1.0	8	1	0
1374	3676	MEDIA_URL_MIGRATION_ONLY	562	562	0	1.0	8	2	0
1376	3538	MEDIA_URL_MIGRATION_ONLY	1503	1503	0	1.0	22	6	0
1378	2552	MEDIA_URL_MIGRATION_ONLY	6234	6234	0	1.0	15	3	0
1380	3059	MEDIA_URL_MIGRATION_ONLY	1339	1339	0	1.0	23	4	0
1381	2991	MEDIA_URL_MIGRATION_ONLY	314	314	0	1.0	1	1	0
1382	2954	MEDIA_URL_MIGRATION_ONLY	2553	2553	0	1.0	9	1	0
1383	2890	MEDIA_URL_MIGRATION_ONLY	3170	3170	0	1.0	6	1	0
1385	2779	MEDIA_URL_MIGRATION_ONLY	2319	2319	0	1.0	28	5	0
1386	3038	MEDIA_URL_MIGRATION_ONLY	9721	9721	0	1.0	12	2	0
1387	2727	MEDIA_URL_MIGRATION_ONLY	1885	1885	0	1.0	6	6	0
1388	2676	MEDIA_URL_MIGRATION_ONLY	1947	1947	0	1.0	9	1	0
1390	2698	MEDIA_URL_MIGRATION_ONLY	9872	9872	0	1.0	2	2	0
1391	2945	MEDIA_URL_MIGRATION_ONLY	7724	7724	0	1.0	8	1	0
1392	2571	MEDIA_URL_MIGRATION_ONLY	1963	1963	0	1.0	15	4	0
1394	2416	MEDIA_URL_MIGRATION_ONLY	254	254	0	1.0	2	2	0
1395	2372	MEDIA_URL_MIGRATION_ONLY	3681	3681	0	1.0	36	6	0
1396	2337	MEDIA_URL_MIGRATION_ONLY	2833	2833	0	1.0	9	1	0
1397	2325	MEDIA_URL_MIGRATION_ONLY	1375	1375	0	1.0	8	1	0
1399	2042	MEDIA_URL_MIGRATION_ONLY	17000	17000	0	1.0	42	21	0
1400	1667	MEDIA_URL_MIGRATION_ONLY	455	455	0	1.0	6	1	0
1404	26160	DELETED_MATERIAL	241	192	-49	0.8868	2	2	0
1406	26049	MEDIA_URL_MIGRATION_ONLY	1313	1313	0	1.0	1	1	0
1408	25994	DELETED_MATERIAL	824	800	-24	0.9852	1	1	0
1409	25935	MEDIA_URL_MIGRATION_ONLY	72	72	0	1.0	1	1	0
1414	25788	MEDIA_URL_MIGRATION_ONLY	91	91	0	1.0	1	1	0
1420	25651	MEDIA_URL_MIGRATION_ONLY	2303	2303	0	1.0	1	1	0
1421	25597	MEDIA_URL_MIGRATION_ONLY	692	692	0	1.0	1	0	0
1422	25592	DELETED_MATERIAL	113	89	-24	0.8812	1	1	0
1424	25505	MEDIA_URL_MIGRATION_ONLY	629	629	0	1.0	1	2	0
1427	25442	DELETED_MATERIAL	854	805	-49	0.9705	1	1	0
1428	25376	MEDIA_URL_MIGRATION_ONLY	2497	2497	0	1.0	1	1	0
1429	25349	DELETED_MATERIAL	731	681	-50	0.9646	2	2	0
1440	24807	MEDIA_URL_MIGRATION_ONLY	1102	1102	0	1.0	1	1	0
1444	24615	MEDIA_URL_MIGRATION_ONLY	24	24	0	1.0	2	2	0
1449	24186	MEDIA_URL_MIGRATION_ONLY	406	406	0	1.0	1	1	0
1453	18741	DELETED_MATERIAL	263	214	-49	0.8973	1	0	0
1459	18553	MEDIA_URL_MIGRATION_ONLY	109	109	0	1.0	1	1	0
1461	18524	MEDIA_URL_MIGRATION_ONLY	543	543	0	1.0	1	1	0
1463	18474	MEDIA_URL_MIGRATION_ONLY	241	241	0	1.0	2	2	0
1464	18446	MEDIA_URL_MIGRATION_ONLY	49	49	0	1.0	1	1	0
1466	18310	SEMANTIC_CHANGE	144	46	-98	0.4842	1	1	0
1467	18293	MEDIA_URL_MIGRATION_ONLY	71	71	0	1.0	1	1	0
1469	18273	MEDIA_URL_MIGRATION_ONLY	117	117	0	1.0	1	1	0
1470	14727	MEDIA_URL_MIGRATION_ONLY	148	148	0	1.0	2	2	0
1471	10811	DELETED_MATERIAL	327	303	-24	0.9619	2	2	0
1473	18129	MEDIA_URL_MIGRATION_ONLY	6443	6443	0	1.0	1	1	0
1475	18008	MEDIA_URL_MIGRATION_ONLY	115	115	0	1.0	1	2	0
1486	17779	MEDIA_URL_MIGRATION_ONLY	122	122	0	1.0	1	1	0
1492	17658	MEDIA_URL_MIGRATION_ONLY	31	31	0	1.0	2	2	0
1494	17633	MEDIA_URL_MIGRATION_ONLY	85	85	0	1.0	1	0	0
1495	17611	MEDIA_URL_MIGRATION_ONLY	290	290	0	1.0	1	2	0
1499	17530	MEDIA_URL_MIGRATION_ONLY	39	39	0	1.0	1	1	0
1501	15948	DELETED_MATERIAL	380	330	-50	0.9296	1	1	0
1509	15745	MEDIA_URL_MIGRATION_ONLY	90	90	0	1.0	1	1	0
1510	15724	MEDIA_URL_MIGRATION_ONLY	120	120	0	1.0	2	2	0
1518	15400	DELETED_MATERIAL	799	750	-49	0.9684	1	1	0
1521	15290	DELETED_MATERIAL	168	119	-49	0.8293	1	1	0
1523	15171	DELETED_MATERIAL	730	680	-50	0.9645	1	1	0
1526	15110	DELETED_MATERIAL	305	207	-98	0.8086	2	2	0
1527	15089	MEDIA_URL_MIGRATION_ONLY	509	509	0	1.0	1	1	0
1530	14951	DELETED_MATERIAL	197	148	-49	0.858	1	1	0
1532	14893	MEDIA_URL_MIGRATION_ONLY	398	398	0	1.0	2	2	0
1533	14864	MEDIA_URL_MIGRATION_ONLY	91	91	0	1.0	3	3	0
1540	14643	SEMANTIC_CHANGE	48	0	-48	0.0	2	2	0
1542	14608	MEDIA_URL_MIGRATION_ONLY	361	361	0	1.0	1	1	0
1543	14604	MEDIA_URL_MIGRATION_ONLY	59	59	0	1.0	1	1	0
1551	14332	SEMANTIC_CHANGE	48	0	-48	0.0	2	2	0
1553	14296	SEMANTIC_CHANGE	48	0	-48	0.0	1	1	0
1555	14206	MEDIA_URL_MIGRATION_ONLY	8	8	0	1.0	1	1	0
1567	13726	MEDIA_URL_MIGRATION_ONLY	411	411	0	1.0	1	1	0
1569	13716	DELETED_MATERIAL	155	105	-50	0.8077	1	1	0
1570	13706	MEDIA_URL_MIGRATION_ONLY	376	376	0	1.0	1	1	0
1577	13527	MEDIA_URL_MIGRATION_ONLY	40	40	0	1.0	2	2	0
1581	13420	MEDIA_URL_MIGRATION_ONLY	834	834	0	1.0	1	1	0
1582	13413	MEDIA_URL_MIGRATION_ONLY	351	351	0	1.0	1	1	0
1584	13363	DELETED_MATERIAL	210	160	-50	0.8649	0	0	0
1585	13351	MEDIA_URL_MIGRATION_ONLY	41	41	0	1.0	2	2	0
1587	13325	MEDIA_URL_MIGRATION_ONLY	123	123	0	1.0	1	1	0
1589	13263	DELETED_MATERIAL	96	47	-49	0.6573	0	1	0
1593	13197	MEDIA_URL_MIGRATION_ONLY	505	505	0	1.0	1	1	0
1595	13179	MEDIA_URL_MIGRATION_ONLY	123	123	0	1.0	1	1	0
1597	13168	MEDIA_URL_MIGRATION_ONLY	66	66	0	1.0	1	1	0
1599	13140	MEDIA_URL_MIGRATION_ONLY	361	361	0	1.0	1	1	0
1601	13069	MEDIA_URL_MIGRATION_ONLY	49	49	0	1.0	2	2	0
1602	13061	MEDIA_URL_MIGRATION_ONLY	66	66	0	1.0	1	1	0
1603	13052	MEDIA_URL_MIGRATION_ONLY	177	177	0	1.0	1	1	0
1605	12988	MEDIA_URL_MIGRATION_ONLY	207	207	0	1.0	2	2	0
1607	12739	DELETED_MATERIAL	496	447	-49	0.948	1	1	0
1611	12682	MEDIA_URL_MIGRATION_ONLY	68	68	0	1.0	2	2	0
1613	12648	MEDIA_URL_MIGRATION_ONLY	148	148	0	1.0	1	1	0
