# סוד החשמל — מסרים (messages) register, extracted from post id=1255 (wp_id=7358, 2015-11-12)
# Each row = one numbered message source unit with its stated attribution.
# parsed=329 distinct=328 range=0-360 gaps=33
# READ-ONLY extraction. Attributions are SOURCE CLAIMS as published, not verified biography.
# msg_no	stated_source
204	הגר"ח ציגלר זצ"ל היה תלמידו של המקובל רבי לוי סעדיה נחמני זצ"ל ופרסם קיצים בשמו
203	הגר"ח ציגלר זצ"ל הראה לפני 15 שנה חשבון על מלחמת גוג ומגוג שתפרוץ בשנת תשע"ו
202	הגר"ח קניבסקי שליט"א
201	דבריו של הרה"צ ר' מנדל שטייגר שליט"א על הפרדות אנגליה מהאיחוד האירופי
200	דברי הג"ר משה שטרנבוך שליט"א בענין הכוכב
199	דברי הג"ר דוד אבוחצירא שליט"א
198	הגר"ח קניבסקי שליט"א להג"ר אריה שכטר שליט"א ללמוד זוהר הכנה למשיח – לחץ כאן לגימטריה בנושא
197	שאלת המשגיח ר' נתן וכטפויגל זצ"ל את הגרח"פ שינברג זצ"ל איפה המשיח
196	דברי הדיבוק לרבי חיים ויטל כשסוריא תחרב יבוא משיח
195	הגר"מ שטרנבוך שליט"א
194	הגר"ח קניבסקי שליט"א להג"ר שמחה קוק שליט"א לא לעזוב את הארץ
193	המסורת מהג"ר אליהו שווי זצ"ל מה שאמר הג"ר אלחנן וסרמן על 70 שנה אחרי השואה
192	האדמו"ר מלעלוב שליט"א הדולר הולך לאבד את ערכו
191	הגר"ח קניבסקי שליט"א המשיח כבר עבר את מפתן הדלת
190	דברי המקובל בן 112 שעוד מעט כולנו נצחק
189	דברי רבי ניסים טהרני שליט"א בשם הג"ר יצחק כדורי זצ"ל על שנת תשע"ו
188	דברי האדמו"ר מפרימישלאן שליט"א בשביעי של פסח תשע"ו
187	דברי הגר"ח קניבסקי שליט"א לרבה של קנדה להשאר בארץ
186	דברי הג"ר יעקב מאיר שכטר שליט"א
185	דברי הג"ר דב קוק שליט"א שלפי חשבונו משיח אמור להגיע השנה
184	דברי הג"ר דב קוק שליט"א שלפי חשבונו משיח אמור להגיע השנה
183	דברי האדמו"ר מסערט ויז'ניץ שליט"א שמשיח מאד מאד קרוב
182	דברי מרן הגר"ח קניבסקי שליט"א מה שאמר להג"ר משה שטרנבוך שליט"א בערב פסח תשע"ו
181	האדמו"ר מצאנז שליט"א מנתניה מורה לתלמידו לא לחזור לארה"ב לפסח כי משיח עומד להגיע
180	הגאון המקובל רבי דוד חיים שטרן שליט"א על המצב היום שהוא כמו קודם המבול שהיה בזמן נח
179	דברי מרן הגר"ח קניבסקי שליט"א בשושן פורים תשע"ו
178	דברי הג"ר משה שטרנבוך שליט"א בענין הכוכב
177	דברי המשגיח רבי דוב יפה שליט"א
176	מה שאמר הנועם אלימלך שיהיה עד 10 דורות ממנו, וכעת אנו בדור ה11
175	תגובת מרן הגר"ח קניבסקי שליט"א לתאונה הנוראה בכביש ירושלים תל אביב
174	הויכוח בין הרב הוברמן זצ"ל לבית ישראל מגור אם תפרוץ מלחמת עולם שלישית לפני ביאת המשיח
173	האדמו"ר מנדבורנא זצ"ל אמר לפני פטירתו שמשיח קרוב מאד
171	האדמו"ר מסקוירא שליט"א שבפעם הבאה יבוא לארץ כשמשיח יבוא
170	דברי הג"ר יהודה ברכה שליט"א על דברי הגר"ח קניבסקי שליט"א
169	דברי האדמו"ר מקרטשניף שליט"א
168	המשגיח הג"ר דב יפה שליט"א
167	מסר מהאדמו"ר רבי דוד אבוחצירא שליט"א
166	הג"ר נתן רוטשילד שליט"א מביא מסר מהגר"ש ואזנר זצ"ל
165	המקובל החלבן רבי חיים כהן שליט"א: הגאולה כבר התחילה ואף אחד לא יוכל לעצור את זה
164	שיחה עם הג"ר דב קוק שליט"א
163	מסר מהרב הצדיק רבי בן ציון שכטר שליט"א מרמת ויז'ניץ בחיפה
162	מרן הגר"ח קניבסקי שליט"א משיב מדוע יהודי חו"ל צריכים לעלות לארץ ישראל, והאם ללמוד קבלה
161	הבבא סאלי זצ"ל אמר בתשל"ח שהמשיח בו שנתיים
160	דברי הרה"ג רבי ישראל יעקב לוגאסי שליט"א
159	הג"ר ליב מינצברג שליט"א מרמז שאנו קרובים למלחמת גוג ומגוג
158	הרב דניאל עשור שליט"א מביא מדברי הגאון המקובל רבי דוד חיים שטרן שליט"א
157	הגאון המקובל רבי דוד חיים שטרן שליט"א משיח צדקינו נמצא בירושלים והוא כבן 50 ומקבל הוראות מאליהו הנביא
156	הג"ר מרדכי שינברגר שליט"א חושש מאד ממלחמה בצפון הארץ בחודשים שבט אדר תשע"ו
155	הג"ר אליעזר ברלנד שליט"א משיח יבוא בט"ו בשבט תשע"ו
154	האדמו"ר משומרי אמונים שליט"א אם אאמו"ר זצ"ל היה חי היום לא היה מוריד השטריימל מעל ראשו
153	האדמו"ר מויז'ניץ שליט"א מרמז על ביאת המשיח בקרוב
152	מקובל מפרס שניבא על נפילת התאומים, ניבא שבסוף הקדנציה השניה של אובמה תיפול הכלכלה של אמריקה
151	הגאון הצדיק רבי אשר פריינד זצ"ל: שנת תשע"ו היא הקץ האחרון
150	מרן הגר"ח קניבסקי שליט"א מזרז את כתיבת הספר תורה לכבוד דוד המלך
149	הג"ר שמעון בעדני שליט"א אנו נמצאים בתקופה של ערב ביאת המשיח
148	ההתייחסות הנכונה לתאריכי גאולה שאומרים הצדיקים
147	הקלטה מהאדמו"ר מקלויזנבורג ארה"ב שליט"א שמדבר על מלכויות מתגרות זו בזו צפה לרגלו של משיח
146	הצדיק נסתר רבי דוד בר נתן שליט"א: אליהו הנביא עומד להתגלות
145	האדמו"ר רבי דוד אבוחצירא שליט"א: משיח עומד להגיע
144	מרן הגר"ח קניבסקי שליט"א מבטל את הודעת הותיקן שלא לנצר יהודים וכו'
143	דברי הג"ר דן סגל שליט"א
142	דברי הג"ר מנשה ישראל רייזמאן שליט"א
141	הגר"ח משיקובסקי שליט"א בשם הגר"ח קניבסקי שליט"א משיח נמצא
140	הגר"ח קניבסקי שליט"א רמז להרב הראשי ר' דוד לאו שליט"א שעד עשרה בטבת תשע"ו יבוא משיח
139	האדמו"ר מויז'ניץ שליט"א סיים בחנוכה את הדברי תורה שנזכה לגאולה בנוסח מיוחד שאינו רגיל על לשונו
138	האדמו"ר מגור שליט"א סיים בחנוכה את הדברי תורה שנזכה לגאולה בזמן הקרוב ביותר בנוסח מיוחד שאינו רגיל על לשונו
137	המקובל רבי דוד חיים שטרן שליט"א: עד סוף שנת תשע"ח יגמר התהליך של ביאת המשיח ובנין בית המקדש השלישי
136	הקלטה ממרן הגר"ח קניבסקי שליט"א שקורא לכל יהודי חו"ל לעלות לארץ ישראל
135	דבריו של הרה"צ ר' מנדל שטייגר שליט"א על התגרות טורקיה ורוסיה שהקב"ה יכריח אותם לצאת למלחמה בקרוב
134	האדמו"ר מפרימשלאן שליט"א משיח כבר מגיע ולא נשאר זמן
133	האדמו"ר מלעלוב ניקלשבורג ר' פנחס בידרמן שליט"א משיח כבר נמצא פה הוא כבר מגיע מרגישים את זה שכבר יורד האור
132	האדמו"ר הבבא סאלי זצ"ל אמר שלפני ביאת המשיח יהיו שינויים קיצונים במזג האויר
131	הרבנית כהנמן מספרת ששמעה מחמיה הרב מפונביז' זצ"ל שבאמריקה לא תהיה שואה ליהודים בזכות החסד שהם עושים
130	מסורת מהרבי ר' העשיל מקרקא זצ"ל שלפני ביאת המשיח תהיה מלחמה בין רוסיה לטורקיה
129	האדמו"ר ר' שלמה מזוויעהל זצ"ל אמר על קבוצת ילדים שיזכו לראות את המשיח
128	האדמו"ר מקרטשניף זצ"ל מרחובות אמר שמשיח יבוא ברחמים
127	מסר מהצדיק ר' עוזי משולם זצ"ל בענין יהודי ארה"ב
126	דברי המקובל רבי יעקב מאיר שכטר שליט"א
125	מסורת מהאדמו"ר הבית ישראל מגור זצ"ל ומהגאון ר' משה סולוביציק זצ"ל
124	דברי האדמו"ר מסלונים שליט"א על ההתגרות בין טורקיה לרוסיה שמשיח כבר כאן
123	מסורת מהרה"ח ר' חיים ברנט זצ"ל מלפני יותר מחמישים שנה בענין טורקיה ורוסיה
122	הקלטה ממרן הגר"ח קניבסקי שליט"א
121	דברי הגר"מ שטרנבוך שליט"א ביום כ' כסליו תשע"ו על ההתגרות בין טורקיה לרוסיה
120	האדמו"ר מאלכסנדר שליט"א בשנת תשע"ז כבר נהיה יחד עם המשיח
119	מסורת מהצדיק ר' אברהם ברדקי זצ"ל שיש בה רמז על שנת תשע"ו
118	מרן הגר"ח קניבסקי שליט"א להגר"י אפרתי שליט"א אל תיסע לחו"ל משיח כבר כאן
117	דבריו של האדמו"ר ממכנובקא זצ"ל על התגלות משיח בקדנציה שניה של נשיא שחור בארה"ב
116	הגר"י גרוסמן זצ"ל בשם הפרנקפורטר זצ"ל שכשיהיה פחד בפריז, והרוסים יכנסו לתורכיה ויפול הדולר יבוא משיח
115	דבריו של הרה"צ ר' מנדל שטייגר שליט"א על התגרות טורקיה ורוסיה
114	רמזים מהאדמו"ר מבעלזא שליט"א על אובמה
113	הג"ר שלמה ברעודה זצ"ל אמר שאובמה הוא סטרא אחרא ממש
112	הג"ר שמחה וסרמן זצ"ל אמר לג"ר פסח קראהן זצ"ל שיש לו מזל שהוא חי בדור שיראה את המשיח
111	המקובל ר' יוסף וולטוך זצ"ל לפני עשרות שנים משיח יבוא אחרי שנת תש"ע
110	הרה"ג ר' יוסף ברגר שליט"א מביא את דברים ששמע מהאדמו"ר רבי דוד אבוחצירא שליט"א שהשנה נזכה לראות את המשיח
109	מרן הגר"ח קניבסקי שליט"א מורה לא ליסוע לחו"ל בגלל הסכנה שבדבר
108	דברי הג"ר שלמה ברעודה זצ"ל על מלחמות גדולות שצפויות בתקופת אובמה
107	החזיון שראה הג"ר יורם אברג'יל על דעאש שישתלטו על אמריקה
106	החזיון שראה הג"ר יורם אברג'יל לפני פטירתו על עשרה בטבת תשע"ו (כידוע הרב התחיל לדבר על התאריך י' טבת אחרי שקיבל מאיתנו את הספר משיח בתשע"ו לפני כשנה)
105	דברי הגאון המקובל ר' ישראל אליהו וינטרוב זצ"ל שכבר עברו ה70 שנה של חבלי משיח ודבריו על הסכנה שיש מאובמה וממלחמת גוג ומגוג כפי ששמע ממנו תלמידו ר' יצחק לוינשטיין
104	האדמו"ר הפני מנחם מגור זצ"ל אמר ליהודי שהנכדים שלו יאכלו תרומה
103	הרה"צ ר' מנדל שטייגר שליט"א אומר שהפיגועים בצרפת הם תחילת מלחמת גוג ומגוג
102	האדמו"ר הבית ישראל מגור זצ"ל אמר למשמשו ר' חנינה שיף זצ"ל שמדינת ישראל תחזיק מעמד עד ביאת המשיח
101	הגאון ר' משה סולבייצ'יק זצ"ל משוייץ אמר שארץ ישראל היא המקום הבטוח ביותר בעולם
100	האדמו"ר מחב"ד אמר לבנימין נתניהו שמשיח יבוא כשהוא יהיה ראש הממשלה
99	מרן הגר"ח קניבסקי שליט"א מאשר במכתב את מה שאמרו בשמו שהמשיח בפתח
98	המשך ההודעה מהאדמו"ר מצאנז זצ"ל ומה שהוסיף האדמו"ר מצאנז שליט"א
97	האדמו"ר מלעלוב זצ"ל אמר שהפצצות אטום לא יזיקו לישראל.
96	האדמו"ר מצאנז זצ"ל אמר שהפצצות אטום שיש למדינת ישראל יבואו לידי שימוש ולא יהיה צרה לישראל ח"ו, וכן אבני האלגביש יפלו מהשמים על מטוסים שיבואו מסוריא להפציץ בישרא
95	האדמו"ר ר' שמעון נתן נטע מלעלוב זצ"ל ערך תפילה מסתורית בגבול סוריא כמה ימים לפני פטירתו, וגם רמזים על הקשר של סוריא לגאולה מהאדמו"ר מקלויזנבורג זצ"ל
94	רמזים מהאדמורי"ם ה'לב שמחה' וה'פני מנחם' מגור זצ"ל
93	האדמו"ר ר' יוחנן מטלאנא זצ"ל חלם שאתחלתא דגאולה קשורה עם מלחמה בסוריא
92	נכדו של המקובל רבי לוי נחמני זצ"ל מספר מה אמר סבו על צפון קוריאה שממנה תתחיל המלחמה האחרונה
91	הרה"צ ר' מנדל שטייגר שליט"א אומר שהפלת המטוס הרוסי בסיני תוביל למלחמת גוג ומגוג ועוד ענינים בשם האדמו"ר הבית ישראל מגור
90	האדמו"ר מבעלזא שליט"א כבר עבר זמן דבעיתה
89	ההוכחה לדברי מרן הגר"ח קנייבסקי שליט"א ממה שהורה במלחמת המפרץ
88	רמזים מפרקי התהילים שאמר האדמו"ר מבעלזא שליט"א על ציון אביו
87	הצדיק ר' משה אהרן הכהן בן בתיה שליט"א הזמן האחרון הוא בתשע"ח
86	הצדיק ר' דוד חיים שטרן שליט"א הגאולה תהיה בתשע"ו
85	רמזים מהרב מבריסק על השנים הללו שיבוא המשיח
84	דברי המקובל ר' יהודה שינפלד שליט"א שכבר עבר זמן של בעיתה
83	רמזים מה'בית ישראל' וה'פני מנחם' על שנים אלו
82	מה ענה מרן הגר"ח קניבסקי שליט"א מדוע הוא מדבר על הקץ האחרון
81	דברי המקובל הרב זוסמן זצ"ל שתשע"ו הוא קץ האחרון
80	דברי האדמו"ר מרחמסטריווקא שליט"א שאף אחד לא יודע מתי יבוא משיח
79	סיפורים ממקור ראשון ממרן הגר"ח קניבסקי שליט"א שלא ליסוע לחו"ל והוראת הג"ר יעקב אידלשטיין שליט"א
78	דברי המקובל החלבן על שנת תשע"ו
77	הוראות מרן הגר"ח קניבסקי שליט"א לא לצאת מארץ ישראל בשום אופן
76	הרה"ג ר' מנחם שטיין שליט"א בשם מרן הגר"ח קניבסקי שליט"א
75	הרה"ג ר' דניאל זר שליט"א בשם מרן הגר"ח קניבסקי שליט"א מה שאמר לרבנית קוק מטבריה 75 וסולמית
74	מרן הגראי"ל שטיינמן שליט"א להרב יגן לא ליסוע לחו"ל כי משיח מגיע
72	הרה"ג ר' חזקיהו מישקובסקי שליט"א בשם מרן הגר"ח קניבסקי שליט"א
70	הרה"ג ר' שלמה בויאר שליט"א בשם מרן הגר"ח קניבסקי שליט"א
69	האדמו"ר מסערט ויז'ניץ זצ"ל חושש מפצצת אטום
68	האדמו"ר מבעלזא שליט"א חושש שאמריקה תביא שואה ומרמז ליהודי ארה"ב לעלות לישראל
67	מסורת מהינוקא מקרלין על שנת תשע"ה, תשע"ו
66	הרה"ג ר' יוסף ברגר שליט"א מביא את דברי ה'חפץ חיים זצ"ל שגדולי ישראל יבשרו על ביאת המשיח לפני ביאתו
64	המקובל רבי משה הימיני זצ"ל על המלחמה האחרונה
63	הרה"צ ר' מנדל שטייגר שליט"א חושש מאסון גדול בשנת תשע"ו
62	בן משפחתו של מרן הגר"ח קניבסקי שליט"א מנתח האם חל שינוי אצל מרן בשנים האחרונות בענין הגאולה
61	מרן הגר"ח קניבסקי שליט"א מורה לראש ישיבה לא ליסוע לחו"ל כי משיח עומד להגיע בכל רגע
60	הרה"ג ר' יצחק יפונה שליט"א מספר על הוראת מרן הגר"ח קניבסקי שליט"א לקרובי משפחתו לעלות לישראל
59	הראב"ד ר' משה שטרנבוך שליט"א ראה על הלבנה בליל הושענא רבה שצפויים השנה דברים גדולים
57	האדמו"ר ר' רפאל אבוחצירא שליט"א צפוייה הארה גדולה בקרוב ותשקוט הארץ ארבעים שנה
56	האדמו"ר ר' רפאל אבוחצירא שליט"א שנת תשע"ו תתחיל קשה ובהמשך תהיה הארת פנים גדולה
55	הרה"ג ר' ברוך רוזנבלום שליט"א בשם המשגיח ר' נתן וכטפויגל זצ"ל: מלחמת גוג ומגוג תתחיל כשרוסיה תלחם בסוריא
54	מסורת מצדיק נסתר שחי בירושלים שאמר שלפני ביאת המשיח יהיה פחד מסכינים ברחובות
53	מסורת מהסבא ר' יוסף שורץ זצ"ל מנתניה שמלחמת גוג ומגוג תתחיל כשיהיו דקירות סכינים ברחובות
52	האדמו"ר רבי אלעזר אבוחצירא זצ"ל שמשיח כבר נמצא בשערי ירושלים, ושלפני התגלות המשיח יהיה פחד לצאת לרחוב
51	המקובל ר' דוד חיים שטרן שליט"א בשם המקובל ר' יוסף ולטוך זצ"ל: הגאולה תתחיל כשרוסיה תלחם בסוריא
50	דברי המקובל הגרי"מ מורגנשטרן שליט"א שדברי הצדיק ר' יענקלה מפשוורסק זצ"ל שמשיח יבוא בשנת תשע"ו, הוא קיבל מאליהו הנביא זכור לטוב
49	הרה"צ ר' מנדל שטייגר שליט"א
48	הרה"צ ר' מנדל שטייגר שליט"א חושש מצפון קוריאה שתזרוק פצצות אטום בשנת תשע"ו
47	האדמו"ר ר' מרדכי מזוויעהל זצ"ל ניבא על הציונים שיבנו את ארץ ישראל ומשיח יקח מהם
46	האוהב ישראל מאפטא זצ"ל ניבא שיהודים שאינם שומרי תורה יבנו את הארץ כהכנה לגאולה וכן דברים מהפני מנחם מגור זצ"ל
45	ה'חפץ חיים' לר' יעקב יוסף הרמן זצ"ל: אתה תראה את הדור שיראה את המשיח
44	מסורת מהבעש"ט שכשהרוסים יעברו את הדרדנלים זה סימן שהמשיח מגיע
43	הרבנית גניחובסקי תחי' מספרת על בעלה הרב זצ"ל שהתגלה אליה אחרי פטירתה ובישר לה שבקרוב הוא חוזר בתחית המתים
42	הצדיק ר' יענקלה מפשוורסק זצ"ל אמר בשנת תשמ"ט שמשיח יבוא בשנת תשע"ו
41	הרה"צ ר' מנדל שטייגר שליט"א אומר שאפשר כבר לקנות בגד חדש לכבוד ביאת המשיח
40	דברי מרן הגר"ח קניבסקי שליט"א לרב קצין מפנמה להשאר בארץ
39	הרבנית בת שבע קניבסקי באה בחלום לבתה שלא תיגע בבגדים שלה כי היא חוזרת בקרוב בתחית המתים
38	יהודי בעל תפילה בימים נוראים בצרפת מספר את הוראת מרן הגר"ח קניבסקי שליט"א לא ליסוע לחו"ל כי המשיח מגיע
36	מסורת מהרב מפונובי'ז זצ"ל רמז על שנת תשע"ו שהיא שנת ביאת המשיח
34	האמרי אמת מגור אמנם עודד את החסידים לעלות לארץ ישראל לפני השואה, ומצד שני הוא רמז שהעלימו ממנו את השואה, ודברי ה'לב שמחה' על אביו
33	האדמו"ר מטהאש זצ"ל רמז לפני ארבעים שנה שהמשיח יבוא בשנת תשע"ו
32	האדמו"ר מסטרופקוב שליט"א שנת תשע"ו מרומזת ב'שועת עניים אתה תשמע'
31	האדמו"ר ה'בית ישראל' מגור זצ"ל צפה את הסכמי אוסלו וחשש מהחזרת הגולן והר הזיתים לערבים
30	סיפורים ממרן הגר"ח קניבסקי שליט"א
29	האדמו"ר מקלויזנבורג זצ"ל משיח יבוא בהסח הדעת של הסטרא אחרא
28	חלומו של הג"ר שכנה זאהן על החפץ חיים במוצאי שמיטה של תשס"ח
27	הג"ר ישראל אליהו וינטרויב זצ"ל אמר על אובמה שהוא חיבור של עשו וישמעאל והוא סכנה גדולה לכלל ישראל
26	האדמו"ר ר' שלמה מזוויעהל זצ"ל אמר על גב' אנשין תחי' כשהיתה קטנה שהיא תזכה לראות את המשיח
25	הג"ר שמואל שינקר זצ"ל שהיה לו את המסורת מהגר"א מתי יבוא המשיח, הצביע על ילדים קטנים שהיום הם בגיל 65 שהם יהיו החיילים של המשיח
