candidate_label,alias_form,source_row_id,source_phrase,claimed_value,reconstructed_algorithm,lifecycle_status,definition_evidence,rows_explained,rows_unexplained,existing_method_collision,composition_candidate,verification_result,confidence,human_gate_required,notes
"ר""ת (רת)",רת,8764e97b-bbdb-4f96-8bc2-0826274a5e22,צמח דוד 644 - רת,644,"H1: first Hebrew letter of each word -> acronym ""צד"" -> run through live registry methods",unresolved_historical_method,"anchor cluster: 644 recurs 6x across ""צמח דוד""/""צמח דויד"" spelling variants, spelling-invariant",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,medium,yes,H1 tested and does NOT match this row (anchor cluster)
"ר""ת (רת)",רת,a1656908-cc14-47cd-98b8-6f9deb615618,רגיל רת,|,(no parseable expression),insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ר""ת (רת)",רת,b5e47069-d7eb-4d3f-8d0e-85253fc99397,בשורת הגאולה על ידי אליהו הנביא - רת,,"H1: first Hebrew letter of each word -> acronym ""בהעיאה"" -> run through live registry methods",insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,no claimed_value to test
"ר""ת (רת)",רת,ba9536f8-de36-4bba-bcc6-067740f0c9af,מתי אתגלה ב22 12 -רת-לפי אחת,12,"H1: first Hebrew letter of each word -> acronym ""מאב"" -> run through live registry methods",insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ר""ת (רת)",רת,cb08e6dc-166e-4954-831a-5fc42f3b790a,644 צמח דוד - רת,,"H1: first Hebrew letter of each word -> acronym ""צד"" -> run through live registry methods",unresolved_historical_method,"anchor cluster: 644 recurs 6x across ""צמח דוד""/""צמח דויד"" spelling variants, spelling-invariant",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,medium,yes,H1 tested and does NOT match this row (anchor cluster)
"ר""ת (רת)",רת,d96b8d93-ab64-4061-88e2-20a9c83ed1bc,צמח דוד 644- רת,644,"H1: first Hebrew letter of each word -> acronym ""צד"" -> run through live registry methods",unresolved_historical_method,"anchor cluster: 644 recurs 6x across ""צמח דוד""/""צמח דויד"" spelling variants, spelling-invariant",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,medium,yes,H1 tested and does NOT match this row (anchor cluster)
"ר""ת (רת)",רת,dc5b6ecc-220c-4289-9050-62f93b92f59b,בחרתי אותך לגאול את עם ישראל -רת סת,|,"H1: first Hebrew letter of each word -> acronym ""באלאעי"" -> run through live registry methods",insufficient_definition,"isolated occurrence, no cross-row anchor",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ר""ת (רת)",רת,e8d216ff-b3de-4af3-aa4f-cbc0c17acbca,צמח דוד רת,,"H1: first Hebrew letter of each word -> acronym ""צד"" -> run through live registry methods",unresolved_historical_method,"anchor cluster: 644 recurs 6x across ""צמח דוד""/""צמח דויד"" spelling variants, spelling-invariant",1/18,17/18,"none of the 13 active methods operate on an extracted acronym substring -- if H1 were confirmed it would be a NEW preprocessing step, not an existing method","yes -- (acronym-extraction) composed with an existing canonical method (רגיל/גדול), not a new atomic method",no_fit,medium,yes,H1 tested and does NOT match this row (anchor cluster)
"ס""ת (סת)",סת,19ecac59-5322-4379-bcb4-8ffaac46e616,ביאת המשיח 2756- סת,2756,"H1: last Hebrew letter of each word -> acronym ""תח"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,43a3d1e3-9441-474f-a4f1-8e32f8ae1aa5,נשמתי תעלה 11111- סת - לפי אחד,11111,"H1: last Hebrew letter of each word -> acronym ""יה"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,4abb0de5-ef2d-4189-9438-f7e93a618c98,רוח אלהים מרחפת על פני 717- לפני -5140-סת =פי 5,5140,"H1: last Hebrew letter of each word -> acronym ""חםתליי"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,523a577e-0b65-4dc6-a093-d88b568f8085,בית המקדש המקדש ירד ב2016 - סת,2016,"H1: last Hebrew letter of each word -> acronym ""תששדב"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,5298a246-499a-46f6-804a-d0f31ffe2dbb,1335 1290 22 12 - רת -7810-גדול ומלים -1202- סת,7810||,(no parseable expression),insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,680e8248-7251-4bcf-b5c2-7524d6426c8a,זמן ביאת המשיח בספר דניאל פרק יב 1290 1335 - סת,1335,"H1: last Hebrew letter of each word -> acronym ""ןתחרלקב"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match | claimed_value 1335 recurs across 3 unrelated phrases in this label with no computed-value consistency -- likely a literal citation of Daniel 12:12s ""1335 days,"" not a computed gematria value"
"ס""ת (סת)",סת,72c33f16-4b1b-4838-846e-b623c11dc276,337 יודע סוד צמח דוד המלך -איק בכר-776-סת -1437-אתבש,1437|,"H1: last Hebrew letter of each word -> acronym ""עדחדךקר"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,84c662b5-ed48-4e82-a555-c49e26d6d3d9,1335 1290 התגלותי כבן דוד האמיתי האחרון - סת,,"H1: last Hebrew letter of each word -> acronym ""יןדין"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,919ef8fe-cac7-4c32-b17a-b71effa2b052,2216 סוד המשיח- סת -4240-רגיל ומסתתר,4240||,"H1: last Hebrew letter of each word -> acronym ""דח"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,9c915472-6765-411f-9346-43a8940b88b2,יהוה יפיל את בראק חוסיין אובאמה -590-סת,590,"H1: last Hebrew letter of each word -> acronym ""הלתקןה"" -> run through live registry methods",reconstructed_single_example,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",PLAUSIBLE_UNCONFIRMED (1 example fit; not verified per Sec.7),medium,no,H1 MATCHES this row via רגיל=590
"ס""ת (סת)",סת,b33b080c-59bc-4bad-b88d-dddbd46d4df4,בן דויד יצמח למשיח אחרון עד 22 12 = סת,,"H1: last Hebrew letter of each word -> acronym ""ןדחחןד"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,ba02e084-fd80-4a52-9069-ea2af1d8e7a5,בשורת מלך המשיח בימינו-לפני - 434- סת,434,"H1: last Hebrew letter of each word -> acronym ""תךחוי"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,bcb1da81-dd3c-46d2-b057-3cfb3629a9d1,סוד דניאל הנביא 1335- סת - לפי אחת,1335,"H1: last Hebrew letter of each word -> acronym ""דלא"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match | claimed_value 1335 recurs across 3 unrelated phrases in this label with no computed-value consistency -- likely a literal citation of Daniel 12:12s ""1335 days,"" not a computed gematria value"
"ס""ת (סת)",סת,be3d45e0-e934-4d23-b0ec-6bcedd1e6c38,באו 396- 676 סת,676,"H1: last Hebrew letter of each word -> acronym ""ו"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,dc5b6ecc-220c-4289-9050-62f93b92f59b,בחרתי אותך לגאול את עם ישראל -רת סת,|,"H1: last Hebrew letter of each word -> acronym ""יךלתםל"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,e07d5b91-d790-4f17-bcaf-e8aca8d98f3a,שורש דויד ב2015 -5520- סת,5520,"H1: last Hebrew letter of each word -> acronym ""שדב"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,f7585413-203c-4dc6-b019-d4ff14fc34fa,רָנִּי וְשִׂמְחִי בַּת־צִיוֹן כִּי הִנְנִי־בָא וְשָֽׁכַנְתִּי בְתוֹכֵךְ נְאֻם־יְהוָֽה׃ - ניקוד -- 566 סת,566,"H1: last Hebrew letter of each word -> acronym ""ייןיאיךהד"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
"ס""ת (סת)",סת,fcf63e41-27d7-4ce6-9f0f-510ee8207f12,הוא משיחכם באלפיים חמש עשרה - סת,,"H1: last Hebrew letter of each word -> acronym ""אםםשה"" -> run through live registry methods",insufficient_definition,"no recurring anchor value across rows -- claimed values vary widely (2756, 11111, 396, 776, 590, 434, 5140...)",1/18,17/18,none of the 13 active methods operate on an extracted acronym substring,"yes -- (acronym-extraction) composed with an existing canonical method, not a new atomic method",no_fit,low,no,"H1 tested, no match"
רגיל ישר והפוך,ישר והפוך,12069a1b-7e61-4b41-b988-20e0081d38d2,עד מתי קץ הפלאות (רגיל ו ∆ ישר והפוך),|,(none -- no claimed_value exists in any of the 3 occurrences to test against),insufficient_definition,"tag-only category label in all 3 occurrences; no notes, no claimed_value, no worked example anywhere in the corpus",0/3,3/3,not applicable -- no algorithm to compare,unknown -- cannot classify without a definition,NOT_TESTABLE (zero source examples with a value),low,yes,"per governance rule method_lifecycle: ""לא-שוחזר -> עצור -> אדם (אל תמציא)"" -- correctly stopped, no hypothesis fabricated"
רגיל ישר והפוך,ישר והפוך,5726230d-ed78-4787-b72b-b8cb42098666,משיח (רגיל ישר והפוך),,(none -- no claimed_value exists in any of the 3 occurrences to test against),insufficient_definition,"tag-only category label in all 3 occurrences; no notes, no claimed_value, no worked example anywhere in the corpus",0/3,3/3,not applicable -- no algorithm to compare,unknown -- cannot classify without a definition,NOT_TESTABLE (zero source examples with a value),low,yes,"per governance rule method_lifecycle: ""לא-שוחזר -> עצור -> אדם (אל תמציא)"" -- correctly stopped, no hypothesis fabricated"
רגיל ישר והפוך,ישר והפוך,e35475c6-c207-4769-8fa5-3f8cc35b8861,דויד מלך ישראל (רגיל ישר והפוך),,(none -- no claimed_value exists in any of the 3 occurrences to test against),insufficient_definition,"tag-only category label in all 3 occurrences; no notes, no claimed_value, no worked example anywhere in the corpus",0/3,3/3,not applicable -- no algorithm to compare,unknown -- cannot classify without a definition,NOT_TESTABLE (zero source examples with a value),low,yes,"per governance rule method_lifecycle: ""לא-שוחזר -> עצור -> אדם (אל תמציא)"" -- correctly stopped, no hypothesis fabricated"
